ID,triple1,triple2,triple3,question,answer,inferred triple,label
1,A is a subclass of Q.,Q is a subclass of V.,"Given the previous statements, is A a subclass of V?",Yes,A is a subclass of V.,True
2,A is a subclass of H.,H is a subclass of W.,"Given the previous statements, is A a subclass of W?",Yes,A is a subclass of W.,True
3,A is a subclass of I.,I is a subclass of U.,"Given the previous statements, is A a subclass of U?",Yes,A is a subclass of U.,True
4,A is a subclass of S.,S is a subclass of Q.,"Given the previous statements, is A a subclass of Q?",Yes,A is a subclass of Q.,True
5,A is a subclass of S.,S is a subclass of W.,"Given the previous statements, is A a subclass of W?",Yes,A is a subclass of W.,True
6,A is a subclass of G.,G is a subclass of V.,"Given the previous statements, is A a subclass of V?",Yes,A is a subclass of V.,True
7,A is a subclass of M.,M is a subclass of S.,"Given the previous statements, is A a subclass of S?",Yes,A is a subclass of S.,True
8,A is a subclass of O.,O is a subclass of S.,"Given the previous statements, is A a subclass of S?",Yes,A is a subclass of S.,True
9,A is a subclass of Z.,Z is a subclass of K.,"Given the previous statements, is A a subclass of K?",Yes,A is a subclass of K.,True
10,A is a subclass of J.,J is a subclass of S.,"Given the previous statements, is A a subclass of S?",Yes,A is a subclass of S.,True
11,A is a subclass of Q.,Q is a subclass of C.,"Given the previous statements, is A a subclass of C?",Yes,A is a subclass of C.,True
12,A is a subclass of E.,E is a subclass of M.,"Given the previous statements, is A a subclass of M?",Yes,A is a subclass of M.,True
13,A is a subclass of Q.,Q is a subclass of X.,"Given the previous statements, is A a subclass of X?",Yes,A is a subclass of X.,True
14,A is a subclass of Z.,Z is a subclass of D.,"Given the previous statements, is A a subclass of D?",Yes,A is a subclass of D.,True
15,A is a subclass of J.,J is a subclass of E.,"Given the previous statements, is A a subclass of E?",Yes,A is a subclass of E.,True
16,A is a subclass of F.,F is a subclass of N.,"Given the previous statements, is A a subclass of N?",Yes,A is a subclass of N.,True
17,A is a subclass of P.,P is a subclass of D.,"Given the previous statements, is A a subclass of D?",Yes,A is a subclass of D.,True
18,A is a subclass of B.,B is a subclass of V.,"Given the previous statements, is A a subclass of V?",Yes,A is a subclass of V.,True
19,A is a subclass of J.,J is a subclass of L.,"Given the previous statements, is A a subclass of L?",Yes,A is a subclass of L.,True
20,A is a subclass of K.,K is a subclass of L.,"Given the previous statements, is A a subclass of L?",Yes,A is a subclass of L.,True
21,A is a subclass of W.,W is a subclass of Q.,"Given the previous statements, is A a subclass of Q?",Yes,A is a subclass of Q.,True
22,A is a subclass of B.,B is a subclass of M.,"Given the previous statements, is A a subclass of M?",Yes,A is a subclass of M.,True
23,A is a subclass of U.,U is a subclass of I.,"Given the previous statements, is A a subclass of I?",Yes,A is a subclass of I.,True
24,A is a subclass of C.,C is a subclass of V.,"Given the previous statements, is A a subclass of V?",Yes,A is a subclass of V.,True
25,A is a subclass of V.,V is a subclass of J.,"Given the previous statements, is A a subclass of J?",Yes,A is a subclass of J.,True
26,A is a subclass of O.,O is a subclass of Q.,"Given the previous statements, is A a subclass of Q?",Yes,A is a subclass of Q.,True
27,A is a subclass of D.,D is a subclass of B.,"Given the previous statements, is A a subclass of B?",Yes,A is a subclass of B.,True
28,A is a subclass of U.,U is a subclass of Y.,"Given the previous statements, is A a subclass of Y?",Yes,A is a subclass of Y.,True
29,A is a subclass of R.,R is a subclass of O.,"Given the previous statements, is A a subclass of O?",Yes,A is a subclass of O.,True
30,A is a subclass of C.,C is a subclass of R.,"Given the previous statements, is A a subclass of R?",Yes,A is a subclass of R.,True
31,A is a subclass of D.,D is a subclass of I.,"Given the previous statements, is A a subclass of I?",Yes,A is a subclass of I.,True
32,A is a subclass of C.,C is a subclass of N.,"Given the previous statements, is A a subclass of N?",Yes,A is a subclass of N.,True
33,A is a subclass of E.,E is a subclass of J.,"Given the previous statements, is A a subclass of J?",Yes,A is a subclass of J.,True
34,A is a subclass of S.,S is a subclass of W.,"Given the previous statements, is A a subclass of W?",Yes,A is a subclass of W.,True
35,A is a subclass of N.,N is a subclass of H.,"Given the previous statements, is A a subclass of H?",Yes,A is a subclass of H.,True
36,A is a subclass of J.,J is a subclass of E.,"Given the previous statements, is A a subclass of E?",Yes,A is a subclass of E.,True
37,A is a subclass of I.,I is a subclass of C.,"Given the previous statements, is A a subclass of C?",Yes,A is a subclass of C.,True
38,A is a subclass of T.,T is a subclass of Q.,"Given the previous statements, is A a subclass of Q?",Yes,A is a subclass of Q.,True
39,A is a subclass of T.,T is a subclass of L.,"Given the previous statements, is A a subclass of L?",Yes,A is a subclass of L.,True
40,A is a subclass of H.,H is a subclass of S.,"Given the previous statements, is A a subclass of S?",Yes,A is a subclass of S.,True
41,A is a subclass of Y.,Y is a subclass of H.,"Given the previous statements, is A a subclass of H?",Yes,A is a subclass of H.,True
42,A is a subclass of J.,J is a subclass of K.,"Given the previous statements, is A a subclass of K?",Yes,A is a subclass of K.,True
43,A is a subclass of W.,W is a subclass of U.,"Given the previous statements, is A a subclass of U?",Yes,A is a subclass of U.,True
44,A is a subclass of Q.,Q is a subclass of O.,"Given the previous statements, is A a subclass of O?",Yes,A is a subclass of O.,True
45,B is a subclass of Z.,Z is a subclass of M.,"Given the previous statements, is B a subclass of M?",Yes,B is a subclass of M.,True
46,B is a subclass of P.,P is a subclass of O.,"Given the previous statements, is B a subclass of O?",Yes,B is a subclass of O.,True
47,B is a subclass of H.,H is a subclass of P.,"Given the previous statements, is B a subclass of P?",Yes,B is a subclass of P.,True
48,B is a subclass of V.,V is a subclass of Z.,"Given the previous statements, is B a subclass of Z?",Yes,B is a subclass of Z.,True
49,B is a subclass of E.,E is a subclass of D.,"Given the previous statements, is B a subclass of D?",Yes,B is a subclass of D.,True
50,B is a subclass of H.,H is a subclass of V.,"Given the previous statements, is B a subclass of V?",Yes,B is a subclass of V.,True
51,B is a subclass of X.,X is a subclass of O.,"Given the previous statements, is B a subclass of O?",Yes,B is a subclass of O.,True
52,B is a subclass of L.,L is a subclass of X.,"Given the previous statements, is B a subclass of X?",Yes,B is a subclass of X.,True
53,B is a subclass of K.,K is a subclass of I.,"Given the previous statements, is B a subclass of I?",Yes,B is a subclass of I.,True
54,B is a subclass of U.,U is a subclass of Z.,"Given the previous statements, is B a subclass of Z?",Yes,B is a subclass of Z.,True
55,B is a subclass of O.,O is a subclass of C.,"Given the previous statements, is B a subclass of C?",Yes,B is a subclass of C.,True
56,B is a subclass of D.,D is a subclass of V.,"Given the previous statements, is B a subclass of V?",Yes,B is a subclass of V.,True
57,B is a subclass of S.,S is a subclass of G.,"Given the previous statements, is B a subclass of G?",Yes,B is a subclass of G.,True
58,B is a subclass of G.,G is a subclass of M.,"Given the previous statements, is B a subclass of M?",Yes,B is a subclass of M.,True
59,B is a subclass of R.,R is a subclass of X.,"Given the previous statements, is B a subclass of X?",Yes,B is a subclass of X.,True
60,B is a subclass of N.,N is a subclass of V.,"Given the previous statements, is B a subclass of V?",Yes,B is a subclass of V.,True
61,B is a subclass of G.,G is a subclass of U.,"Given the previous statements, is B a subclass of U?",Yes,B is a subclass of U.,True
62,B is a subclass of Q.,Q is a subclass of V.,"Given the previous statements, is B a subclass of V?",Yes,B is a subclass of V.,True
63,B is a subclass of T.,T is a subclass of A.,"Given the previous statements, is B a subclass of A?",Yes,B is a subclass of A.,True
64,B is a subclass of I.,I is a subclass of A.,"Given the previous statements, is B a subclass of A?",Yes,B is a subclass of A.,True
65,B is a subclass of Z.,Z is a subclass of K.,"Given the previous statements, is B a subclass of K?",Yes,B is a subclass of K.,True
66,B is a subclass of K.,K is a subclass of T.,"Given the previous statements, is B a subclass of T?",Yes,B is a subclass of T.,True
67,B is a subclass of G.,G is a subclass of V.,"Given the previous statements, is B a subclass of V?",Yes,B is a subclass of V.,True
68,B is a subclass of Q.,Q is a subclass of H.,"Given the previous statements, is B a subclass of H?",Yes,B is a subclass of H.,True
69,B is a subclass of M.,M is a subclass of L.,"Given the previous statements, is B a subclass of L?",Yes,B is a subclass of L.,True
70,B is a subclass of Q.,Q is a subclass of W.,"Given the previous statements, is B a subclass of W?",Yes,B is a subclass of W.,True
71,B is a subclass of F.,F is a subclass of S.,"Given the previous statements, is B a subclass of S?",Yes,B is a subclass of S.,True
72,B is a subclass of Q.,Q is a subclass of G.,"Given the previous statements, is B a subclass of G?",Yes,B is a subclass of G.,True
73,B is a subclass of K.,K is a subclass of P.,"Given the previous statements, is B a subclass of P?",Yes,B is a subclass of P.,True
74,B is a subclass of O.,O is a subclass of M.,"Given the previous statements, is B a subclass of M?",Yes,B is a subclass of M.,True
75,B is a subclass of N.,N is a subclass of Y.,"Given the previous statements, is B a subclass of Y?",Yes,B is a subclass of Y.,True
76,B is a subclass of A.,A is a subclass of Y.,"Given the previous statements, is B a subclass of Y?",Yes,B is a subclass of Y.,True
77,B is a subclass of Z.,Z is a subclass of K.,"Given the previous statements, is B a subclass of K?",Yes,B is a subclass of K.,True
78,B is a subclass of W.,W is a subclass of D.,"Given the previous statements, is B a subclass of D?",Yes,B is a subclass of D.,True
79,B is a subclass of Z.,Z is a subclass of K.,"Given the previous statements, is B a subclass of K?",Yes,B is a subclass of K.,True
80,B is a subclass of H.,H is a subclass of L.,"Given the previous statements, is B a subclass of L?",Yes,B is a subclass of L.,True
81,B is a subclass of T.,T is a subclass of V.,"Given the previous statements, is B a subclass of V?",Yes,B is a subclass of V.,True
82,B is a subclass of D.,D is a subclass of L.,"Given the previous statements, is B a subclass of L?",Yes,B is a subclass of L.,True
83,B is a subclass of P.,P is a subclass of W.,"Given the previous statements, is B a subclass of W?",Yes,B is a subclass of W.,True
84,B is a subclass of I.,I is a subclass of Z.,"Given the previous statements, is B a subclass of Z?",Yes,B is a subclass of Z.,True
85,B is a subclass of X.,X is a subclass of D.,"Given the previous statements, is B a subclass of D?",Yes,B is a subclass of D.,True
86,B is a subclass of T.,T is a subclass of V.,"Given the previous statements, is B a subclass of V?",Yes,B is a subclass of V.,True
87,B is a subclass of U.,U is a subclass of X.,"Given the previous statements, is B a subclass of X?",Yes,B is a subclass of X.,True
88,B is a subclass of V.,V is a subclass of P.,"Given the previous statements, is B a subclass of P?",Yes,B is a subclass of P.,True
89,C is a subclass of Q.,Q is a subclass of S.,"Given the previous statements, is C a subclass of S?",Yes,C is a subclass of S.,True
90,C is a subclass of S.,S is a subclass of B.,"Given the previous statements, is C a subclass of B?",Yes,C is a subclass of B.,True
91,C is a subclass of M.,M is a subclass of V.,"Given the previous statements, is C a subclass of V?",Yes,C is a subclass of V.,True
92,C is a subclass of G.,G is a subclass of Q.,"Given the previous statements, is C a subclass of Q?",Yes,C is a subclass of Q.,True
93,C is a subclass of J.,J is a subclass of T.,"Given the previous statements, is C a subclass of T?",Yes,C is a subclass of T.,True
94,C is a subclass of N.,N is a subclass of I.,"Given the previous statements, is C a subclass of I?",Yes,C is a subclass of I.,True
95,C is a subclass of U.,U is a subclass of F.,"Given the previous statements, is C a subclass of F?",Yes,C is a subclass of F.,True
96,C is a subclass of G.,G is a subclass of Y.,"Given the previous statements, is C a subclass of Y?",Yes,C is a subclass of Y.,True
97,C is a subclass of W.,W is a subclass of V.,"Given the previous statements, is C a subclass of V?",Yes,C is a subclass of V.,True
98,C is a subclass of U.,U is a subclass of K.,"Given the previous statements, is C a subclass of K?",Yes,C is a subclass of K.,True
99,C is a subclass of O.,O is a subclass of Y.,"Given the previous statements, is C a subclass of Y?",Yes,C is a subclass of Y.,True
100,C is a subclass of B.,B is a subclass of W.,"Given the previous statements, is C a subclass of W?",Yes,C is a subclass of W.,True
101,C is a subclass of D.,D is a subclass of I.,"Given the previous statements, is C a subclass of I?",Yes,C is a subclass of I.,True
102,C is a subclass of W.,W is a subclass of H.,"Given the previous statements, is C a subclass of H?",Yes,C is a subclass of H.,True
103,C is a subclass of S.,S is a subclass of O.,"Given the previous statements, is C a subclass of O?",Yes,C is a subclass of O.,True
104,C is a subclass of D.,D is a subclass of B.,"Given the previous statements, is C a subclass of B?",Yes,C is a subclass of B.,True
105,C is a subclass of M.,M is a subclass of R.,"Given the previous statements, is C a subclass of R?",Yes,C is a subclass of R.,True
106,C is a subclass of D.,D is a subclass of V.,"Given the previous statements, is C a subclass of V?",Yes,C is a subclass of V.,True
107,C is a subclass of B.,B is a subclass of J.,"Given the previous statements, is C a subclass of J?",Yes,C is a subclass of J.,True
108,C is a subclass of A.,A is a subclass of X.,"Given the previous statements, is C a subclass of X?",Yes,C is a subclass of X.,True
109,C is a subclass of U.,U is a subclass of W.,"Given the previous statements, is C a subclass of W?",Yes,C is a subclass of W.,True
110,C is a subclass of J.,J is a subclass of U.,"Given the previous statements, is C a subclass of U?",Yes,C is a subclass of U.,True
111,C is a subclass of G.,G is a subclass of M.,"Given the previous statements, is C a subclass of M?",Yes,C is a subclass of M.,True
112,C is a subclass of N.,N is a subclass of F.,"Given the previous statements, is C a subclass of F?",Yes,C is a subclass of F.,True
113,C is a subclass of I.,I is a subclass of Q.,"Given the previous statements, is C a subclass of Q?",Yes,C is a subclass of Q.,True
114,C is a subclass of R.,R is a subclass of D.,"Given the previous statements, is C a subclass of D?",Yes,C is a subclass of D.,True
115,C is a subclass of X.,X is a subclass of O.,"Given the previous statements, is C a subclass of O?",Yes,C is a subclass of O.,True
116,C is a subclass of X.,X is a subclass of J.,"Given the previous statements, is C a subclass of J?",Yes,C is a subclass of J.,True
117,C is a subclass of O.,O is a subclass of Z.,"Given the previous statements, is C a subclass of Z?",Yes,C is a subclass of Z.,True
118,C is a subclass of X.,X is a subclass of Q.,"Given the previous statements, is C a subclass of Q?",Yes,C is a subclass of Q.,True
