ID,triple1,triple2,question,answer,inferred triple,label,LLM output
46,CaMia Hopson is a Person.,Person is disjoint with Mountain.,"Given the previous statements, is CaMia Hopson not a Mountain?",Yes,CaMia Hopson is not a Mountain.,True,"Yes, CaMia Hopson is not a Mountain."
168,Cab Kaye is a Person.,Person is disjoint with Sport.,"Given the previous statements, is Cab Kaye not an Escalator?",No,Cab Kaye could be an Escalator.,False,"Yes, Cab Kaye is not an Escalator."
176,CaMia Hopson is a Person.,Person is disjoint with Archeologist.,"Given the previous statements, is CaMia Hopson not a GeologicalPeriod?",No,CaMia Hopson could be a GeologicalPeriod.,False,"Yes, CaMia Hopson is not a GeologicalPeriod."
158,Cab Kaye is a Person.,Person is disjoint with Crustacean.,"Given the previous statements, is Cab Kaye not a Mountain?",No,Cab Kaye could be a Mountain.,False,"Yes, Cab Kaye is not a Mountain."
161,CaMia Hopson is a Person.,Person is disjoint with Escalator.,"Given the previous statements, is CaMia Hopson not a ConveyorSystem?",No,CaMia Hopson could be a ConveyorSystem.,False,"Yes, CaMia Hopson is not a ConveyorSystem."
68,Cab Kaye is a Person.,Person is disjoint with GeologicalPeriod.,"Given the previous statements, is Cab Kaye not a GeologicalPeriod?",Yes,Cab Kaye is not a GeologicalPeriod.,True,"Yes, Cab Kaye is not a GeologicalPeriod."
142,Cab Calloway is a Person.,Person is disjoint with Surfer.,"Given the previous statements, is Cab Calloway not a TimePeriod?",No,Cab Calloway could be a TimePeriod.,False,"Yes, Cab Calloway is not a TimePeriod."
59,Cabal of Naples is a Person.,Person is disjoint with Escalator.,"Given the previous statements, is Cabal of Naples not an Escalator?",Yes,Cabal of Naples is not an Escalator.,True,"Yes, Cabal of Naples is not an Escalator."
28,Calamostoma is a Fish.,Fish is disjoint with Mammal.,"Given the previous statements, is Calamostoma not a Mammal?",Yes,Calamostoma is not a Mammal.,True,"Yes, Calamostoma is not a Mammal."
17,Cab Calloway is a Person.,Person is disjoint with UnitOfWork.,"Given the previous statements, is Cab Calloway not an UnitOfWork?",Yes,Cab Calloway is not an UnitOfWork.,True,"Yes, Cab Calloway is not an UnitOfWork."
101,CaMia Hopson is a Person.,Person is disjoint with ProtohistoricalPeriod.,"Given the previous statements, is CaMia Hopson not a ProtohistoricalPeriod?",Yes,CaMia Hopson is not a ProtohistoricalPeriod.,True,"Yes, CaMia Hopson is not a ProtohistoricalPerio"
18,Cab Kaye is a Person.,Person is disjoint with UnitOfWork.,"Given the previous statements, is Cab Kaye not an UnitOfWork?",Yes,Cab Kaye is not an UnitOfWork.,True,"Yes, Cab Kaye is not an UnitOfWork."
25,Cabassous is a Person.,Person is disjoint with Tower.,"Given the previous statements, is Cabassous not a Tower?",Yes,Cabassous is not a Tower.,True,"Yes, Cabassous is not a Tower."
169,Cabal of Naples is a Person.,Person is disjoint with NordicCombined.,"Given the previous statements, is Cabal of Naples not an Escalator?",No,Cabal of Naples could be an Escalator.,False,"Yes, Cabal of Naples is not an Escalator."
