ID,triple1,triple2,question,answer,inferred triple,label,LLM output
814,Caatinga is a Dam.,Dam is an equivalent class of Vein.,"Given the previous statements, is Caatinga a Q12323?",No,Caatinga is not a Q12323.,False,No
382,"Cabana District, Ancash is an AdministrativeRegion.",AdministrativeRegion is an equivalent class of AdministrativeArea.,"Given the previous statements, is Cabana District, Ancash an AdministrativeArea?",Yes,"Cabana District, Ancash is an AdministrativeArea.",True,No
705,Cameron Cuffe is an Actor.,Actor is an equivalent class of VolleyballPlayer.,"Given the previous statements, is Cameron Cuffe a Q33999?",No,Cameron Cuffe is not a Q33999.,False,No
170,Carel Reyniersz is a Governor.,Governor is an equivalent class of Q132050.,"Given the previous statements, is Carel Reyniersz a Q132050?",Yes,Carel Reyniersz is a Q132050.,True,No
1179,Cagayan Provincial Board is a Legislature.,Legislature is an equivalent class of GrandPrix.,"Given the previous statements, is Cagayan Provincial Board a Q11204?",No,Cagayan Provincial Board is not a Q11204.,False,No
313,Cabalian Volcano is a Volcano.,Volcano is an equivalent class of Q8072.,"Given the previous statements, is Cabalian Volcano a Q8072?",Yes,Cabalian Volcano is a Q8072.,True,No
53,Calatayud Ladies Open is a Tournament.,Tournament is an equivalent class of Q500834.,"Given the previous statements, is Calatayud Ladies Open a Q500834?",Yes,Calatayud Ladies Open is a Q500834.,True,No
925,Caliban upon Setebos is a Poem.,Poem is an equivalent class of VaccinationStatistics.,"Given the previous statements, is Caliban upon Setebos a Q5185279?",No,Caliban upon Setebos is not a Q5185279.,False,No
923,Carl J. Lomen is a Photographer.,Photographer is an equivalent class of ChristianBishop.,"Given the previous statements, is Carl J. Lomen a Q33231?",No,Carl J. Lomen is not a Q33231.,False,No
27,Cable Video Store is a Broadcaster.,Broadcaster is an equivalent class of Q15265344.,"Given the previous statements, is Cable Video Store a Q15265344?",Yes,Cable Video Store is a Q15265344.,True,No
666,Callahan Tunnel is a RoadTunnel.,RoadTunnel is an equivalent class of Q2354973.,"Given the previous statements, is Callahan Tunnel a Q2354973?",Yes,Callahan Tunnel is a Q2354973.,True,No
1023,Canadian Radio Broadcasting Commission is a BroadcastNetwork.,BroadcastNetwork is an equivalent class of HighDiver.,"Given the previous statements, is Canadian Radio Broadcasting Commission a Q141683?",No,Canadian Radio Broadcasting Commission is not a Q141683.,False,No
1234,Caatinga Ecological Corridor is a ProtectedArea.,ProtectedArea is an equivalent class of Museum.,"Given the previous statements, is Caatinga Ecological Corridor a Q473972?",No,Caatinga Ecological Corridor is not a Q473972.,False,No
148,Caecocypris basimi is a Fish.,Fish is an equivalent class of Q152.,"Given the previous statements, is Caecocypris basimi a Q152?",Yes,Caecocypris basimi is a Q152.,True,No
367,Cali Underground is a MusicFestival.,MusicFestival is an equivalent class of Festival.,"Given the previous statements, is Cali Underground a Festival?",Yes,Cali Underground is a Festival.,True,No
