ID,triple1,question,answer,inferred triple,label,LLM output
700,Carly Phillips is different from Carnie Wilson.,"Given the previous statement, is Carnie Wilson an Carly Phillips?",Yes,Carnie Wilson is different from Carly Phillips.,True,The answer is no
1759,Carrascalejo is different from Carrascalejo.,"Given the previous statement, is El Carrascalejo an Carrascalejo?",No,El Carrascalejo is not different from Carrascalejo.,False,The first two questions
917,Amco is different from Amoco.,"Given the previous statement, is Amoco an Amco?",Yes,Amoco is different from Amco.,True,The answer is no
472,"Cape Woolamai, Victoria is different from Victoria.","Given the previous statement, is Victoria an Cape Woolamai, Victoria?",Yes,"Victoria is different from Cape Woolamai, Victoria.",True,The Castle of L
1201,"Cambria, New York is different from Cambria, New York.","Given the previous statement, is Cambria Heights an Cambria, New York?",No,"Cambria Heights is not different from Cambria, New York.",False,The answer to your
1719,Carnegie Medal is different from Carnegie Medal.,"Given the previous statement, is Andrew Carnegie Medals for Excellence an Carnegie Medal?",No,Andrew Carnegie Medals for Excellence is not different from Carnegie Medal.,False,The first one is
1499,Capital punishment is different from Capital punishment.,"Given the previous statement, is Corporal punishment an Capital punishment?",No,Corporal punishment is not different from Capital punishment.,False,The answer is no
1011,Cabrillo National Monument is different from Cabrillo National Monument.,"Given the previous statement, is Point Cabrillo Light an Cabrillo National Monument?",No,Point Cabrillo Light is not different from Cabrillo National Monument.,False,The answer is no
1689,Carlos Valverde is different from Carlos Valverde.,"Given the previous statement, is Carlos Javier Valverde Doblado an Carlos Valverde?",No,Carlos Javier Valverde Doblado is not different from Carlos Valverde.,False,The answer is no
1417,Canon EOS 7D is different from Canon EOS 7D.,"Given the previous statement, is Canon EOS 70D an Canon EOS 7D?",No,Canon EOS 70D is not different from Canon EOS 7D.,False,The Canton Tower
1534,Carahasani is different from Carahasani.,"Given the previous statement, is Karahasan an Carahasani?",No,Karahasan is not different from Carahasani.,False,The answer to the
1671,Carlos Martínez is different from Carlos Martínez.,"Given the previous statement, is Carlos Martínez (pitcher an Carlos Martínez?",No,Carlos Martínez (pitcher is not different from Carlos Martínez.,False,The answer is no
1235,Camero is different from Camero.,"Given the previous statement, is Chevrolet Camaro an Camero?",No,Chevrolet Camaro is not different from Camero.,False,The answer is no
79,Calabazar de Sagua is different from Calabazar.,"Given the previous statement, is Calabazar an Calabazar de Sagua?",Yes,Calabazar is different from Calabazar de Sagua.,True,The Castillo San
13,Cabó is different from Cabo.,"Given the previous statement, is Cabo an Cabó?",Yes,Cabo is different from Cabó.,True,The answer is no
1059,Cain at Abel is different from Cain at Abel.,"Given the previous statement, is Abel an Cain at Abel?",No,Abel is not different from Cain at Abel.,False,The answer to the
174,"Calvert, Maryland is different from Calvert County.","Given the previous statement, is Calvert County an Calvert, Maryland?",Yes,"Calvert County is different from Calvert, Maryland.",True,The first one is
1384,Cannon is different from Cannon.,"Given the previous statement, is Cannons an Cannon?",No,Cannons is not different from Cannon.,False,The first one is
1152,Call of the Wild is different from Call of the Wild.,"Given the previous statement, is The Call of the Wild an Call of the Wild?",No,The Call of the Wild is not different from Call of the Wild.,False,The answer to the
1362,Canice is different from Canice.,"Given the previous statement, is Candice an Canice?",No,Candice is not different from Canice.,False,The first one is
1026,Cadillac-en-Fronsadais is different from Cadillac-en-Fronsadais.,"Given the previous statement, is Cadillac an Cadillac-en-Fronsadais?",No,Cadillac is not different from Cadillac-en-Fronsadais.,False,The first two are
1343,Canary Row is different from Canary Row.,"Given the previous statement, is Cannery Row an Canary Row?",No,Cannery Row is not different from Canary Row.,False,"Yes, the first"
978,American University of London is different from Richmond.,"Given the previous statement, is Richmond an American University of London?",Yes,Richmond is different from American University of London.,True,The answer is no
1045,Caesium is different from Caesium.,"Given the previous statement, is Cerium an Caesium?",No,Cerium is not different from Caesium.,False,The question is not
407,Canon is different from Canon.,"Given the previous statement, is Canon an Canon?",Yes,Canon is different from Canon.,True,The answer is no
19,Cacoma is different from Cocama.,"Given the previous statement, is Cocama an Cacoma?",Yes,Cocama is different from Cacoma.,True,The answer is no
1487,Capital Normal University is different from Capital Normal University.,"Given the previous statement, is Capital University of Economics an Capital Normal University?",No,Capital University of Economics is not different from Capital Normal University.,False,The first sentence is
730,Carol Bartha is different from Iosif Bartha.,"Given the previous statement, is Iosif Bartha an Carol Bartha?",Yes,Iosif Bartha is different from Carol Bartha.,True,The answer is no
554,"Carbost, Loch Harport is different from Trotternish.","Given the previous statement, is Trotternish an Carbost, Loch Harport?",Yes,"Trotternish is different from Carbost, Loch Harport.",True,The answer is no
1897,Castra of Buciumi is different from Castra of Buciumi.,"Given the previous statement, is Castra of Bucium an Castra of Buciumi?",No,Castra of Bucium is not different from Castra of Buciumi.,False,"Yes, the Canon"
12,Cabugao is different from Kabugao.,"Given the previous statement, is Kabugao an Cabugao?",Yes,Kabugao is different from Cabugao.,True,The answer is yes
1035,Cadillac V-12 is different from Cadillac V-12.,"Given the previous statement, is 370 an Cadillac V-12?",No,370 is not different from Cadillac V-12.,False,The answer is no
1476,Capestrano is different from Capestrano.,"Given the previous statement, is Capistrano an Capestrano?",No,Capistrano is not different from Capestrano.,False,The first one is
1377,Cannabis edible is different from Cannabis edible.,"Given the previous statement, is Hash browns an Cannabis edible?",No,Hash browns is not different from Cannabis edible.,False,The first sentence is
1771,Carrington Park is different from Carrington Park.,"Given the previous statement, is Carlington Park an Carrington Park?",No,Carlington Park is not different from Carrington Park.,False,The answer is no
1041,Caernarfonshire is different from Caernarfonshire.,"Given the previous statement, is Carmarthenshire an Caernarfonshire?",No,Carmarthenshire is not different from Caernarfonshire.,False,The first one is
294,Can't Get You Out of My Head is different from Can't Get It Out of My Head.,"Given the previous statement, is Can't Get It Out of My Head an Can't Get You Out of My Head?",Yes,Can't Get It Out of My Head is different from Can't Get You Out of My Head.,True,The first one is
881,Castle of Lousã is different from Castelo da Lousa.,"Given the previous statement, is Castelo da Lousa an Castle of Lousã?",Yes,Castelo da Lousa is different from Castle of Lousã.,True,The first two are
1929,American Academy of Arts is different from American Academy of Arts.,"Given the previous statement, is Sciences an American Academy of Arts?",No,Sciences is not different from American Academy of Arts.,False,The first sentence is
238,Cameron is different from Kamran.,"Given the previous statement, is Kamran an Cameron?",Yes,Kamran is different from Cameron.,True,The answer is no
1000,Aminata Diallo Glez is different from Aminata Diallo.,"Given the previous statement, is Aminata Diallo an Aminata Diallo Glez?",Yes,Aminata Diallo is different from Aminata Diallo Glez.,True,The answer is no
888,Castlefield is different from Castlefields.,"Given the previous statement, is Castlefields an Castlefield?",Yes,Castlefields is different from Castlefield.,True,The answer is no
182,Camaleona is different from Camaleones.,"Given the previous statement, is Camaleones an Camaleona?",Yes,Camaleones is different from Camaleona.,True,The first two are
1841,Casey Walker is different from Casey Walker.,"Given the previous statement, is Casey Walker an Casey Walker?",No,Casey Walker is not different from Casey Walker.,False,The answer is no
1206,Cambrian Line is different from Cambrian Line.,"Given the previous statement, is Cumbrian Coast Line an Cambrian Line?",No,Cumbrian Coast Line is not different from Cambrian Line.,False,The first two are
925,Amenemopet is different from Amenemopet.,"Given the previous statement, is Amenemopet an Amenemopet?",Yes,Amenemopet is different from Amenemopet.,True,The answer is no
1211,Cambrian substrate revolution is different from Cambrian substrate revolution.,"Given the previous statement, is Agricultural revolution an Cambrian substrate revolution?",No,Agricultural revolution is not different from Cambrian substrate revolution.,False,The first one is
1094,"Caldecott, Northamptonshire is different from Caldecott, Northamptonshire.","Given the previous statement, is Caldecote an Caldecott, Northamptonshire?",No,"Caldecote is not different from Caldecott, Northamptonshire.",False,The answer is no
775,"Carroll, Ohio is different from Ohio.","Given the previous statement, is Ohio an Carroll, Ohio?",Yes,"Ohio is different from Carroll, Ohio.",True,The answer is no
1805,Cartoon is different from Cartoon.,"Given the previous statement, is Animated cartoon an Cartoon?",No,Animated cartoon is not different from Cartoon.,False,The answer is no
828,Cascada is different from Kaskade.,"Given the previous statement, is Kaskade an Cascada?",Yes,Kaskade is different from Cascada.,True,The answer is no
422,Canon RF lens mount is different from Contax RF-mount.,"Given the previous statement, is Contax RF-mount an Canon RF lens mount?",Yes,Contax RF-mount is different from Canon RF lens mount.,True,The California Academy of
104,"Caledon, Ontario is different from Caledonia.","Given the previous statement, is Caledonia an Caledon, Ontario?",Yes,"Caledonia is different from Caledon, Ontario.",True,The answer is no
458,Cape Cod Central Railroad is different from Cape Cod Rail Trail.,"Given the previous statement, is Cape Cod Rail Trail an Cape Cod Central Railroad?",Yes,Cape Cod Rail Trail is different from Cape Cod Central Railroad.,True,The snake is a
546,Carbohydrate is different from Hydrocarbon.,"Given the previous statement, is Hydrocarbon an Carbohydrate?",Yes,Hydrocarbon is different from Carbohydrate.,True,The answer is no
1669,Carlos Marighella is different from Carlos Marighella.,"Given the previous statement, is Marighella an Carlos Marighella?",No,Marighella is not different from Carlos Marighella.,False,The answer is no
1860,Castelló is different from Castelló.,"Given the previous statement, is Castelló de la Plana an Castelló?",No,Castelló de la Plana is not different from Castelló.,False,The answer is no
1010,"Cabool, Missouri is different from Cabool, Missouri.","Given the previous statement, is Kabul an Cabool, Missouri?",No,"Kabul is not different from Cabool, Missouri.",False,The answer is no
694,Carlota Perez is different from Carlota Pérez-Reverte.,"Given the previous statement, is Carlota Pérez-Reverte an Carlota Perez?",Yes,Carlota Pérez-Reverte is different from Carlota Perez.,True,"Yes, the answer"
1007,"Cabinet Secretary for Social Justice, Housing and Local Government is different from Cabinet Secretary for Social Justice, Housing and Local Government.","Given the previous statement, is Cabinet Secretary for Justice an Cabinet Secretary for Social Justice, Housing and Local Government?",No,"Cabinet Secretary for Justice is not different from Cabinet Secretary for Social Justice, Housing and Local Government.",False,The first sentence is
