ID,triple1,triple2,question,answer,inferred triple,label,LLM output
1254,Alfred Høy is a RoadJunction.,Alfred Høy is the same as m.01084shd.,"Given the previous statements, is m.01084shd an Eukaryote?",No,m.01084shd is not an Eukaryote.,False,No
1265,Saphenista chanostium is an Image.,Saphenista chanostium is the same as m.0108bp8h.,"Given the previous statements, is m.0108bp8h a Species?",No,m.0108bp8h is not a Species.,False,No
625,Sports 11 is a TelevisionStation.,Sports 11 is the same as m.010hnvx2.,"Given the previous statements, is m.010hnvx2 a TelevisionStation?",Yes,m.010hnvx2 is a TelevisionStation.,True,Yes
1148,Generation Opportunity is a Biomolecule.,Generation Opportunity is the same as m.0102kch3.,"Given the previous statements, is m.0102kch3 an Organisation?",No,m.0102kch3 is not an Organisation.,False,No
1034,Federal Republic of Mindanao is a Battery.,Federal Republic of Mindanao is the same as m.0100l0s7.,"Given the previous statements, is m.0100l0s7 a PopulatedPlace?",No,m.0100l0s7 is not a PopulatedPlace.,False,No
1928,Battalia apheles is a Vodka.,Battalia apheles is the same as m.010r6lzj.,"Given the previous statements, is m.010r6lzj an Eukaryote?",No,m.010r6lzj is not an Eukaryote.,False,No
709,Harinath Dey is an Eukaryote.,Harinath Dey is the same as m.010lwd67.,"Given the previous statements, is m.010lwd67 an Eukaryote?",Yes,m.010lwd67 is a Eukaryote.,True,Yes
1280,Fly Rasta is a MotorsportSeason.,Fly Rasta is the same as m.0108h55q.,"Given the previous statements, is m.0108h55q an Album?",No,m.0108h55q is not an Album.,False,No
1868,Erik Glemme is an Embryology.,Erik Glemme is the same as m.010ql2nt.,"Given the previous statements, is m.010ql2nt a Person?",No,m.010ql2nt is not a Person.,False,No
323,Marc Jousset is an Athlete.,Marc Jousset is the same as m.010f4pmf.,"Given the previous statements, is m.010f4pmf an Athlete?",Yes,m.010f4pmf is a Athlete.,True,Yes
335,Sacred Falls is an Eukaryote.,Sacred Falls is the same as m.010f5p99.,"Given the previous statements, is m.010f5p99 an Eukaryote?",Yes,m.010f5p99 is a Eukaryote.,True,Yes
1206,Ivargal Varungala Thoongal is a GovernmentalAdministrativeRegion.,Ivargal Varungala Thoongal is the same as m.0105mw11.,"Given the previous statements, is m.0105mw11 a Film?",No,m.0105mw11 is not a Film.,False,No
264,Saphenista chanostium is an Eukaryote.,Saphenista chanostium is the same as m.0108bp8h.,"Given the previous statements, is m.0108bp8h an Eukaryote?",Yes,m.0108bp8h is a Eukaryote.,True,Yes
46,MMM Toamasina is an Organisation.,MMM Toamasina is the same as m.0100pzmg.,"Given the previous statements, is m.0100pzmg an Organisation?",Yes,m.0100pzmg is a Organisation.,True,Yes
1714,Ascalenia centropselia is a VolleyballLeague.,Ascalenia centropselia is the same as m.010lx5n3.,"Given the previous statements, is m.010lx5n3 a Species?",No,m.010lx5n3 is not a Species.,False,No
1020,Roenis Elías is a PoliticalParty.,Roenis Elías is the same as m.0100dt86.,"Given the previous statements, is m.0100dt86 an Animal?",No,m.0100dt86 is not an Animal.,False,No
1886,Sarma cave is an InlineHockeyLeague.,Sarma cave is the same as m.010qmjyx.,"Given the previous statements, is m.010qmjyx a Place?",No,m.010qmjyx is not a Place.,False,No
812,Eumenodora encrypta is a Species.,Eumenodora encrypta is the same as m.010ppk51.,"Given the previous statements, is m.010ppk51 a Species?",Yes,m.010ppk51 is a Species.,True,Yes
1038,Tabitha Peterson is an Athletics.,Tabitha Peterson is the same as m.0100ng8g.,"Given the previous statements, is m.0100ng8g an Athlete?",No,m.0100ng8g is not an Athlete.,False,Yes
15,Spilosoma heterogenea is an Insect.,Spilosoma heterogenea is the same as m.0100cymv.,"Given the previous statements, is m.0100cymv an Insect?",Yes,m.0100cymv is a Insect.,True,Yes
961,Dakota Hotels is an Organisation.,Dakota Hotels is the same as m.010rbdpl.,"Given the previous statements, is m.010rbdpl an Organisation?",Yes,m.010rbdpl is a Organisation.,True,Yes
1137,New Pacific Academy is a Depth.,New Pacific Academy is the same as m.0102jh9s.,"Given the previous statements, is m.0102jh9s an AcademicConference?",No,m.0102jh9s is not an AcademicConference.,False,No
1115,Knotts Creek-Belleville Archeological Site is a ClericalOrder.,Knotts Creek-Belleville Archeological Site is the same as m.0102bmnc.,"Given the previous statements, is m.0102bmnc a Place?",No,m.0102bmnc is not a Place.,False,No
495,Mao Xiaobing is an OfficeHolder.,Mao Xiaobing is the same as m.010fjhyx.,"Given the previous statements, is m.010fjhyx an OfficeHolder?",Yes,m.010fjhyx is a OfficeHolder.,True,Yes
