ID,triple1,triple2,question,answer,inferred triple,label
1,"Bonham, Texas is a Place.","Bonham, Texas is the same as m.0100 b.","Given the previous statements, is m.0100 b a Place?",Yes,m.0100 b is a Place.,True
2,"Bonham, Texas is a Location.","Bonham, Texas is the same as m.0100 b.","Given the previous statements, is m.0100 b a Location?",Yes,m.0100 b is a Location.,True
3,"Bonham, Texas is a PopulatedPlace.","Bonham, Texas is the same as m.0100 b.","Given the previous statements, is m.0100 b a PopulatedPlace?",Yes,m.0100 b is a PopulatedPlace.,True
4,Sthenognatha cinda is an Insect.,Sthenognatha cinda is the same as m.0100b5jm.,"Given the previous statements, is m.0100b5jm an Insect?",Yes,m.0100b5jm is a Insect.,True
5,Symphlebia aryllis is an Animal.,Symphlebia aryllis is the same as m.0100b6gn.,"Given the previous statements, is m.0100b6gn an Animal?",Yes,m.0100b6gn is a Animal.,True
6,Symphlebia aryllis is an Eukaryote.,Symphlebia aryllis is the same as m.0100b6gn.,"Given the previous statements, is m.0100b6gn an Eukaryote?",Yes,m.0100b6gn is a Eukaryote.,True
7,Symphlebia aryllis is a Species.,Symphlebia aryllis is the same as m.0100b6gn.,"Given the previous statements, is m.0100b6gn a Species?",Yes,m.0100b6gn is a Species.,True
8,Ali Shilatifard is a Person.,Ali Shilatifard is the same as m.0100bl00.,"Given the previous statements, is m.0100bl00 a Person?",Yes,m.0100bl00 is a Person.,True
9,Ali Shilatifard is an Animal.,Ali Shilatifard is the same as m.0100bl00.,"Given the previous statements, is m.0100bl00 an Animal?",Yes,m.0100bl00 is a Animal.,True
10,Ali Shilatifard is an Eukaryote.,Ali Shilatifard is the same as m.0100bl00.,"Given the previous statements, is m.0100bl00 an Eukaryote?",Yes,m.0100bl00 is a Eukaryote.,True
11,Lauren Cornell is a Person.,Lauren Cornell is the same as m.0100c2bq.,"Given the previous statements, is m.0100c2bq a Person?",Yes,m.0100c2bq is a Person.,True
12,Lauren Cornell is an Animal.,Lauren Cornell is the same as m.0100c2bq.,"Given the previous statements, is m.0100c2bq an Animal?",Yes,m.0100c2bq is a Animal.,True
