ID,triple1,triple2,question,answer,inferred triple,label,LLM output
641,G T Y.,T has range W.,"Given the previous statements, is Y a W?",Yes,Y is a W.,True,Yes
1369,D W N.,W has range I.,"Given the previous statements, is N a G?",No,N is not a G.,False,No
659,G S Q.,S has range Y.,"Given the previous statements, is Q a Y?",Yes,Q is a Y.,True,Yes
1699,G Q N.,Q has range U.,"Given the previous statements, is N a I?",No,N is not a I.,False,No
1969,J F W.,F has range L.,"Given the previous statements, is W a X?",No,W is not a X.,False,No
1131,B D A.,D has range T.,"Given the previous statements, is A a F?",No,A is not a F.,False,No
790,H S K.,S has range I.,"Given the previous statements, is K a I?",Yes,K is a I.,True,Yes
1531,F Q P.,Q has range L.,"Given the previous statements, is P a C?",No,P is not a C.,False,No
745,H U G.,U has range W.,"Given the previous statements, is G a W?",Yes,G is a W.,True,Yes
57,A R C.,R has range D.,"Given the previous statements, is C a D?",Yes,C is a D.,True,Yes
1299,C X Q.,X has range A.,"Given the previous statements, is Q a T?",No,Q is not a T.,False,No
36,A W R.,W has range O.,"Given the previous statements, is R a O?",Yes,R is a O.,True,Yes
1404,E D N.,D has range W.,"Given the previous statements, is N a J?",No,N is not a J.,False,No
1795,H A R.,A has range W.,"Given the previous statements, is R a Y?",No,R is not a Y.,False,Yes
682,G B R.,B has range Q.,"Given the previous statements, is R a Q?",Yes,R is a Q.,True,Yes
1792,H N B.,N has range I.,"Given the previous statements, is B a M?",No,B is not a M.,False,Yes
1661,G L O.,L has range D.,"Given the previous statements, is O a Y?",No,O is not a Y.,False,Yes
896,I Z V.,Z has range X.,"Given the previous statements, is V a X?",Yes,V is a X.,True,Yes
1035,A V G.,V has range K.,"Given the previous statements, is G a R?",No,G is not a R.,False,No
1747,H D O.,D has range U.,"Given the previous statements, is O a V?",No,O is not a V.,False,No
1247,C V W.,V has range E.,"Given the previous statements, is W a F?",No,W is not a F.,False,No
732,H K S.,K has range Y.,"Given the previous statements, is S a Y?",Yes,S is a Y.,True,Yes
1899,I L W.,L has range U.,"Given the previous statements, is W a H?",No,W is not a H.,False,No
1297,C J P.,J has range B.,"Given the previous statements, is P a T?",No,P is not a T.,False,No
1566,F Z L.,Z has range D.,"Given the previous statements, is L a J?",No,L is not a J.,False,No
1983,J I F.,I has range C.,"Given the previous statements, is F a V?",No,F is not a V.,False,No
1930,J L O.,L has range W.,"Given the previous statements, is O a H?",No,O is not a H.,False,No
1756,H M R.,M has range W.,"Given the previous statements, is R a V?",No,R is not a V.,False,No
1736,H N Q.,N has range I.,"Given the previous statements, is Q a F?",No,Q is not a F.,False,No
1310,D N O.,N has range U.,"Given the previous statements, is O a L?",No,O is not a L.,False,No
757,H I F.,I has range K.,"Given the previous statements, is F a K?",Yes,F is a K.,True,Yes
1963,J L Z.,L has range O.,"Given the previous statements, is Z a Q?",No,Z is not a Q.,False,Yes
1774,H Y S.,Y has range T.,"Given the previous statements, is S a V?",No,S is not a V.,False,No
1920,J S Y.,S has range H.,"Given the previous statements, is Y a U?",No,Y is not a U.,False,No
1125,B E Z.,E has range D.,"Given the previous statements, is Z a R?",No,Z is not a R.,False,No
1258,C P G.,P has range T.,"Given the previous statements, is G a V?",No,G is not a V.,False,No
1721,H D N.,D has range Y.,"Given the previous statements, is N a K?",No,N is not a K.,False,No
550,F Q M.,Q has range Y.,"Given the previous statements, is M a Y?",Yes,M is a Y.,True,Yes
1894,I U C.,U has range L.,"Given the previous statements, is C a P?",No,C is not a P.,False,No
1454,E T L.,T has range W.,"Given the previous statements, is L a R?",No,L is not a R.,False,No
890,I J N.,J has range K.,"Given the previous statements, is N a K?",Yes,N is a K.,True,Yes
1536,F X C.,X has range O.,"Given the previous statements, is C a Q?",No,C is not a Q.,False,No
78,A W I.,W has range F.,"Given the previous statements, is I a F?",Yes,I is a F.,True,Yes
112,B M F.,M has range G.,"Given the previous statements, is F a G?",Yes,F is a G.,True,Yes
1189,B G I.,G has range R.,"Given the previous statements, is I a E?",No,I is not a E.,False,Yes
904,J G I.,G has range A.,"Given the previous statements, is I a A?",Yes,I is a A.,True,Yes
304,D R G.,R has range O.,"Given the previous statements, is G a O?",Yes,G is a O.,True,Yes
475,E P G.,P has range N.,"Given the previous statements, is G a N?",Yes,G is a N.,True,Yes
876,I R U.,R has range O.,"Given the previous statements, is U a O?",Yes,U is a O.,True,Yes
1546,F E T.,E has range V.,"Given the previous statements, is T a J?",No,T is not a J.,False,No
402,E W S.,W has range T.,"Given the previous statements, is S a T?",Yes,S is a T.,True,Yes
144,B X E.,X has range F.,"Given the previous statements, is E a F?",Yes,E is a F.,True,Yes
1710,H M G.,M has range C.,"Given the previous statements, is G a A?",No,G is not a A.,False,No
927,J E Z.,E has range Y.,"Given the previous statements, is Z a Y?",Yes,Z is a Y.,True,Yes
200,B X U.,X has range M.,"Given the previous statements, is U a M?",Yes,U is a M.,True,Yes
1642,G J Y.,J has range E.,"Given the previous statements, is Y a T?",No,Y is not a T.,False,No
888,I E R.,E has range V.,"Given the previous statements, is R a V?",Yes,R is a V.,True,No
1794,H G Z.,G has range W.,"Given the previous statements, is Z a Q?",No,Z is not a Q.,False,Yes
532,F K G.,K has range Z.,"Given the previous statements, is G a Z?",Yes,G is a Z.,True,Yes
58,A G F.,G has range X.,"Given the previous statements, is F a X?",Yes,F is a X.,True,Yes
1635,G E S.,E has range K.,"Given the previous statements, is S a Y?",No,S is not a Y.,False,Yes
754,H Z M.,Z has range Q.,"Given the previous statements, is M a Q?",Yes,M is a Q.,True,Yes
639,G P T.,P has range U.,"Given the previous statements, is T a U?",Yes,T is a U.,True,Yes
1932,J H Q.,H has range L.,"Given the previous statements, is Q a O?",No,Q is not a O.,False,Yes
1557,F W E.,W has range K.,"Given the previous statements, is E a N?",No,E is not a N.,False,No
1488,E J G.,J has range L.,"Given the previous statements, is G a A?",No,G is not a A.,False,Yes
911,J S Q.,S has range M.,"Given the previous statements, is Q a M?",Yes,Q is a M.,True,Yes
1267,C J G.,J has range E.,"Given the previous statements, is G a H?",No,G is not a H.,False,No
67,A T D.,T has range N.,"Given the previous statements, is D a N?",Yes,D is a N.,True,Yes
1483,E W Z.,W has range A.,"Given the previous statements, is Z a R?",No,Z is not a R.,False,Yes
613,G A R.,A has range M.,"Given the previous statements, is R a M?",Yes,R is a M.,True,Yes
1939,J P K.,P has range W.,"Given the previous statements, is K a Y?",No,K is not a Y.,False,Yes
391,D L B.,L has range E.,"Given the previous statements, is B a E?",Yes,B is a E.,True,Yes
464,E X K.,X has range G.,"Given the previous statements, is K a G?",Yes,K is a G.,True,Yes
1962,J M T.,M has range S.,"Given the previous statements, is T a P?",No,T is not a P.,False,No
557,F I A.,I has range B.,"Given the previous statements, is A a B?",Yes,A is a B.,True,Yes
1174,B W K.,W has range R.,"Given the previous statements, is K a X?",No,K is not a X.,False,No
330,D P U.,P has range V.,"Given the previous statements, is U a V?",Yes,U is a V.,True,Yes
897,I X H.,X has range W.,"Given the previous statements, is H a W?",Yes,H is a W.,True,Yes
202,C Q P.,Q has range J.,"Given the previous statements, is P a J?",Yes,P is a J.,True,No
119,B O C.,O has range R.,"Given the previous statements, is C a R?",Yes,C is a R.,True,Yes
1560,F Y A.,Y has range D.,"Given the previous statements, is A a V?",No,A is not a V.,False,No
907,J C V.,C has range X.,"Given the previous statements, is V a X?",Yes,V is a X.,True,Yes
854,I N W.,N has range M.,"Given the previous statements, is W a M?",Yes,W is a M.,True,Yes
