ID,triple1,triple2,question,answer,inferred triple,label,LLM output
666,Canis Major Overdensity is a Galaxy.,Galaxy is a subclass of CelestialBody.,"Given the previous statements, is Canis Major Overdensity a CelestialBody?",Yes,Canis Major Overdensity is a CelestialBody.,True,No
518,Carlos Aldunate Lyon is a Priest.,Priest is a subclass of Cleric.,"Given the previous statements, is Carlos Aldunate Lyon a Cleric?",Yes,Carlos Aldunate Lyon is a Cleric.,True,No
758,Roberto Piazza is a VolleyballCoach.,VolleyballCoach is a subclass of Coach.,"Given the previous statements, is Roberto Piazza a Coach?",Yes,Roberto Piazza is a Coach.,True,No
804,Bazzania bhutanica is a Moss.,Moss is a subclass of Plant.,"Given the previous statements, is Bazzania bhutanica a Plant?",Yes,Bazzania bhutanica is a Plant.,True,No
1861,Cab Calloway is an Artist.,Artist is a subclass of Mammal.,"Given the previous statements, is Cab Calloway a Person?",No,Cab Calloway is not a Person.,False,No
1151,Carlo Paalam is an AmateurBoxer.,AmateurBoxer is a subclass of VolleyballPlayer.,"Given the previous statements, is Carlo Paalam a Boxer?",No,Carlo Paalam is not a Boxer.,False,No
1633,Micrasterias furcata is a GreenAlga.,GreenAlga is a subclass of VicePresident.,"Given the previous statements, is Micrasterias furcata a Plant?",No,Micrasterias furcata is not a Plant.,False,Mic
1578,Cabralzinho is a SoccerManager.,SoccerManager is a subclass of Media.,"Given the previous statements, is Cabralzinho a SportsManager?",No,Cabralzinho is not a SportsManager.,False,No
1921,Proctor and Bergman is a ComedyGroup.,ComedyGroup is a subclass of ChemicalCompound.,"Given the previous statements, is Proctor and Bergman a Group?",No,Proctor and Bergman is not a Group.,False,No
1473,Caitlin Shaw is a NascarDriver.,NascarDriver is a subclass of MountainPass.,"Given the previous statements, is Caitlin Shaw a RacingDriver?",No,Caitlin Shaw is not a RacingDriver.,False,No
899,Cafe Little Wish is a Book.,Book is a subclass of WrittenWork.,"Given the previous statements, is Cafe Little Wish a WrittenWork?",Yes,Cafe Little Wish is a WrittenWork.,True,No
1398,Preformed metal crown is a HorseTrainer.,HorseTrainer is a subclass of VicePrimeMinister.,"Given the previous statements, is Preformed metal crown a Person?",No,Preformed metal crown is not a Person.,False,No
1692,John Peter El Hajj is a ChristianPatriarch.,ChristianPatriarch is a subclass of SportCompetitionResult.,"Given the previous statements, is John Peter El Hajj a Cleric?",No,John Peter El Hajj is not a Cleric.,False,No
1714,Metathorax is a Ligament.,Ligament is a subclass of Nebula.,"Given the previous statements, is Metathorax an AnatomicalStructure?",No,Metathorax is not an AnatomicalStructure.,False,No
413,Camilla Long is a Journalist.,Journalist is a subclass of Person.,"Given the previous statements, is Camilla Long a Person?",Yes,Camilla Long is a Person.,True,No
138,Canterbury Park is a RaceTrack.,RaceTrack is a subclass of SportFacility.,"Given the previous statements, is Canterbury Park a SportFacility?",Yes,Canterbury Park is a SportFacility.,True,No
1498,Eleanor Rees is a Poet.,Poet is a subclass of Family.,"Given the previous statements, is Eleanor Rees a Writer?",No,Eleanor Rees is not a Writer.,False,No
930,Caerleon Arts Festival is a Convention.,Convention is a subclass of SocietalEvent.,"Given the previous statements, is Caerleon Arts Festival a SocietalEvent?",Yes,Caerleon Arts Festival is a SocietalEvent.,True,No
1624,Calatayud is a WineRegion.,WineRegion is a subclass of GrossDomesticProductPerCapita.,"Given the previous statements, is Calatayud a Place?",No,Calatayud is not a Place.,False,No
9,Cameron Cuffe is an Actor.,Actor is a subclass of Artist.,"Given the previous statements, is Cameron Cuffe an Artist?",Yes,Cameron Cuffe is an Artist.,True,No
912,Caacupé is a City.,City is a subclass of Settlement.,"Given the previous statements, is Caacupé a Settlement?",Yes,Caacupé is a Settlement.,True,No
1654,Romford Bombers is a SpeedwayTeam.,SpeedwayTeam is a subclass of Egyptologist.,"Given the previous statements, is Romford Bombers a SportsTeam?",No,Romford Bombers is not a SportsTeam.,False,No
296,Rose Brothers Ground is a CricketGround.,CricketGround is a subclass of SportFacility.,"Given the previous statements, is Rose Brothers Ground a SportFacility?",Yes,Rose Brothers Ground is a SportFacility.,True,No
574,Cain Dingle is a SoapCharacter.,SoapCharacter is a subclass of FictionalCharacter.,"Given the previous statements, is Cain Dingle a FictionalCharacter?",Yes,Cain Dingle is a FictionalCharacter.,True,No
1041,Carbonic anhydrase 12 is a Gene.,Gene is a subclass of AnimangaCharacter.,"Given the previous statements, is Carbonic anhydrase 12 a Biomolecule?",No,Carbonic anhydrase 12 is not a Biomolecule.,False,No
227,Bender–Knuth involution is a Brain.,Brain is a subclass of AnatomicalStructure.,"Given the previous statements, is Bender–Knuth involution an AnatomicalStructure?",Yes,Bender–Knuth involution is an AnatomicalStructure.,True,No
