ID,triple1,question,answer,inferred triple,label,LLM output
1282,Campeonato Brasileiro Série D is different from Campeonato Brasileiro Série D.,"Given the previous statement, is Serie D an Campeonato Brasileiro Série D?",No,Serie D is not different from Campeonato Brasileiro Série D.,False,No
1639,Carlos Abaunza is different from Carlos Abaunza.,"Given the previous statement, is Carlos Alberto Abaunza an Carlos Abaunza?",No,Carlos Alberto Abaunza is not different from Carlos Abaunza.,False,No
1144,"California State University, Los Angeles is different from California State University, Los Angeles.","Given the previous statement, is Los Angeles an California State University, Los Angeles?",No,"Los Angeles is not different from California State University, Los Angeles.",False,No
579,Caretaker is different from The Caretaker.,"Given the previous statement, is The Caretaker an Caretaker?",Yes,The Caretaker is different from Caretaker.,True,No
464,Cape Sideros is different from Sidari.,"Given the previous statement, is Sidari an Cape Sideros?",Yes,Sidari is different from Cape Sideros.,True,No
588,Carl-Georg Andersson is different from Carl Andersson.,"Given the previous statement, is Carl Andersson an Carl-Georg Andersson?",Yes,Carl Andersson is different from Carl-Georg Andersson.,True,No
1277,Campbell Court Hotel is different from Campbell Court Hotel.,"Given the previous statement, is Campbell Hotel an Campbell Court Hotel?",No,Campbell Hotel is not different from Campbell Court Hotel.,False,No
83,Calauag is different from Calauan.,"Given the previous statement, is Calauan an Calauag?",Yes,Calauan is different from Calauag.,True,No
562,Card is different from Penalty card.,"Given the previous statement, is Penalty card an Card?",Yes,Penalty card is different from Card.,True,No
1249,Camerota is different from Camerota.,"Given the previous statement, is Camerota an Camerota?",No,Camerota is not different from Camerota.,False,No
1090,"Caldecote, Buckinghamshire is different from Caldecote, Buckinghamshire.","Given the previous statement, is Caldecotte an Caldecote, Buckinghamshire?",No,"Caldecotte is not different from Caldecote, Buckinghamshire.",False,No
1888,Castlefield is different from Castlefield.,"Given the previous statement, is Castlefields an Castlefield?",No,Castlefields is not different from Castlefield.,False,Castle
1431,Canstruct International is different from Canstruct International.,"Given the previous statement, is Canstruction an Canstruct International?",No,Canstruction is not different from Canstruct International.,False,No
1399,Canon is different from Canon.,"Given the previous statement, is Cañon an Canon?",No,Cañon is not different from Canon.,False,No
1439,Canton Tower is different from Canton Tower.,"Given the previous statement, is Guangzhou TV Tower an Canton Tower?",No,Guangzhou TV Tower is not different from Canton Tower.,False,No
766,Carrickmore railway station is different from Carrickmore railway station.,"Given the previous statement, is Carrickmore railway station an Carrickmore railway station?",Yes,Carrickmore railway station is different from Carrickmore railway station.,True,No
