ID,triple1,triple2,triple3,question,answer,inferred triple,label
1,A Z 9.,X Z 9.,Z is a functional property.,"Given the previous statements, is X the same as A?",Yes,X is the same as A.,True
2,A J 69.,W J 69.,J is a functional property.,"Given the previous statements, is W the same as A?",Yes,W is the same as A.,True
3,A F 18.,P F 18.,F is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True
4,A N 56.,O N 56.,N is a functional property.,"Given the previous statements, is O the same as A?",Yes,O is the same as A.,True
5,A C 18.,B C 18.,C is a functional property.,"Given the previous statements, is B the same as A?",Yes,B is the same as A.,True
6,A W 93.,S W 93.,W is a functional property.,"Given the previous statements, is S the same as A?",Yes,S is the same as A.,True
7,A W 65.,F W 65.,W is a functional property.,"Given the previous statements, is F the same as A?",Yes,F is the same as A.,True
8,A L 25.,P L 25.,L is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True
9,A H 20.,M H 20.,H is a functional property.,"Given the previous statements, is M the same as A?",Yes,M is the same as A.,True
10,A F 41.,U F 41.,F is a functional property.,"Given the previous statements, is U the same as A?",Yes,U is the same as A.,True
11,A Q 33.,N Q 33.,Q is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True
12,A U 69.,X U 69.,U is a functional property.,"Given the previous statements, is X the same as A?",Yes,X is the same as A.,True
13,A F 20.,T F 20.,F is a functional property.,"Given the previous statements, is T the same as A?",Yes,T is the same as A.,True
14,A K 98.,N K 98.,K is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True
15,A G 59.,N G 59.,G is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True
16,A Z 46.,X Z 46.,Z is a functional property.,"Given the previous statements, is X the same as A?",Yes,X is the same as A.,True
17,A E 35.,D E 35.,E is a functional property.,"Given the previous statements, is D the same as A?",Yes,D is the same as A.,True
18,A H 45.,P H 45.,H is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True
19,A Q 63.,N Q 63.,Q is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True
20,A C 53.,B C 53.,C is a functional property.,"Given the previous statements, is B the same as A?",Yes,B is the same as A.,True
21,A Q 69.,C Q 69.,Q is a functional property.,"Given the previous statements, is C the same as A?",Yes,C is the same as A.,True
22,A Y 6.,K Y 6.,Y is a functional property.,"Given the previous statements, is K the same as A?",Yes,K is the same as A.,True
23,A Y 27.,Q Y 27.,Y is a functional property.,"Given the previous statements, is Q the same as A?",Yes,Q is the same as A.,True
24,A W 48.,G W 48.,W is a functional property.,"Given the previous statements, is G the same as A?",Yes,G is the same as A.,True
25,A R 60.,P R 60.,R is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True
26,A E 38.,W E 38.,E is a functional property.,"Given the previous statements, is W the same as A?",Yes,W is the same as A.,True
27,A P 24.,E P 24.,P is a functional property.,"Given the previous statements, is E the same as A?",Yes,E is the same as A.,True
28,A G 25.,H G 25.,G is a functional property.,"Given the previous statements, is H the same as A?",Yes,H is the same as A.,True
29,A W 40.,G W 40.,W is a functional property.,"Given the previous statements, is G the same as A?",Yes,G is the same as A.,True
30,A F 88.,O F 88.,F is a functional property.,"Given the previous statements, is O the same as A?",Yes,O is the same as A.,True
31,A N 5.,R N 5.,N is a functional property.,"Given the previous statements, is R the same as A?",Yes,R is the same as A.,True
32,A Y 9.,X Y 9.,Y is a functional property.,"Given the previous statements, is X the same as A?",Yes,X is the same as A.,True
33,A N 73.,X N 73.,N is a functional property.,"Given the previous statements, is X the same as A?",Yes,X is the same as A.,True
34,A I 75.,B I 75.,I is a functional property.,"Given the previous statements, is B the same as A?",Yes,B is the same as A.,True
35,A O 34.,V O 34.,O is a functional property.,"Given the previous statements, is V the same as A?",Yes,V is the same as A.,True
36,A E 26.,P E 26.,E is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True
37,A X 56.,N X 56.,X is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True
38,A C 2.,B C 2.,C is a functional property.,"Given the previous statements, is B the same as A?",Yes,B is the same as A.,True
39,A K 44.,R K 44.,K is a functional property.,"Given the previous statements, is R the same as A?",Yes,R is the same as A.,True
40,A B 52.,I B 52.,B is a functional property.,"Given the previous statements, is I the same as A?",Yes,I is the same as A.,True
41,A M 75.,S M 75.,M is a functional property.,"Given the previous statements, is S the same as A?",Yes,S is the same as A.,True
42,A S 53.,X S 53.,S is a functional property.,"Given the previous statements, is X the same as A?",Yes,X is the same as A.,True
43,A U 20.,F U 20.,U is a functional property.,"Given the previous statements, is F the same as A?",Yes,F is the same as A.,True
44,A P 39.,M P 39.,P is a functional property.,"Given the previous statements, is M the same as A?",Yes,M is the same as A.,True
45,A B 83.,N B 83.,B is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True
46,A M 27.,Q M 27.,M is a functional property.,"Given the previous statements, is Q the same as A?",Yes,Q is the same as A.,True
47,A W 15.,F W 15.,W is a functional property.,"Given the previous statements, is F the same as A?",Yes,F is the same as A.,True
48,A Q 65.,S Q 65.,Q is a functional property.,"Given the previous statements, is S the same as A?",Yes,S is the same as A.,True
49,A F 25.,M F 25.,F is a functional property.,"Given the previous statements, is M the same as A?",Yes,M is the same as A.,True
50,A W 58.,Y W 58.,W is a functional property.,"Given the previous statements, is Y the same as A?",Yes,Y is the same as A.,True
51,A I 61.,P I 61.,I is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True
52,A R 41.,O R 41.,R is a functional property.,"Given the previous statements, is O the same as A?",Yes,O is the same as A.,True
53,A R 48.,E R 48.,R is a functional property.,"Given the previous statements, is E the same as A?",Yes,E is the same as A.,True
54,A N 24.,R N 24.,N is a functional property.,"Given the previous statements, is R the same as A?",Yes,R is the same as A.,True
55,A K 53.,D K 53.,K is a functional property.,"Given the previous statements, is D the same as A?",Yes,D is the same as A.,True
56,A X 43.,O X 43.,X is a functional property.,"Given the previous statements, is O the same as A?",Yes,O is the same as A.,True
57,A S 4.,K S 4.,S is a functional property.,"Given the previous statements, is K the same as A?",Yes,K is the same as A.,True
58,A F 18.,Y F 18.,F is a functional property.,"Given the previous statements, is Y the same as A?",Yes,Y is the same as A.,True
59,A C 54.,H C 54.,C is a functional property.,"Given the previous statements, is H the same as A?",Yes,H is the same as A.,True
60,A I 25.,Y I 25.,I is a functional property.,"Given the previous statements, is Y the same as A?",Yes,Y is the same as A.,True
61,A M 20.,T M 20.,M is a functional property.,"Given the previous statements, is T the same as A?",Yes,T is the same as A.,True
62,A S 29.,I S 29.,S is a functional property.,"Given the previous statements, is I the same as A?",Yes,I is the same as A.,True
63,A C 74.,G C 74.,C is a functional property.,"Given the previous statements, is G the same as A?",Yes,G is the same as A.,True
64,A D 67.,T D 67.,D is a functional property.,"Given the previous statements, is T the same as A?",Yes,T is the same as A.,True
65,A Y 84.,O Y 84.,Y is a functional property.,"Given the previous statements, is O the same as A?",Yes,O is the same as A.,True
66,A D 10.,G D 10.,D is a functional property.,"Given the previous statements, is G the same as A?",Yes,G is the same as A.,True
67,A J 53.,L J 53.,J is a functional property.,"Given the previous statements, is L the same as A?",Yes,L is the same as A.,True
68,A V 2.,J V 2.,V is a functional property.,"Given the previous statements, is J the same as A?",Yes,J is the same as A.,True
69,A W 89.,J W 89.,W is a functional property.,"Given the previous statements, is J the same as A?",Yes,J is the same as A.,True
70,A S 13.,Y S 13.,S is a functional property.,"Given the previous statements, is Y the same as A?",Yes,Y is the same as A.,True
71,A I 7.,N I 7.,I is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True
