ID,triple1,triple2,question,answer,inferred triple,label
1,Elena Cornaro Piscopia birthPlace Ca' Loredan.,birthPlace has domain Animal.,"Given the previous statements, is Elena Cornaro Piscopia an Animal?",Yes,Elena Cornaro Piscopia is an Animal.,True
2,Belén Alderete birthPlace Caacupé.,birthPlace has domain Animal.,"Given the previous statements, is Belén Alderete an Animal?",Yes,Belén Alderete is an Animal.,True
3,Derlis Florentín birthPlace Caacupé.,birthPlace has domain Animal.,"Given the previous statements, is Derlis Florentín an Animal?",Yes,Derlis Florentín is an Animal.,True
4,Juan Bautista Agüero deathPlace Caacupé.,deathPlace has domain Animal.,"Given the previous statements, is Juan Bautista Agüero an Animal?",Yes,Juan Bautista Agüero is an Animal.,True
5,"Manuel Manahan deathPlace Caba, La Union.",deathPlace has domain Animal.,"Given the previous statements, is Manuel Manahan an Animal?",Yes,Manuel Manahan is an Animal.,True
6,"Laura Yasán deathPlace Caballito, Buenos Aires.",deathPlace has domain Animal.,"Given the previous statements, is Laura Yasán an Animal?",Yes,Laura Yasán is an Animal.,True
7,Aphrodisius deathDate 0065-04-28.,deathDate has domain Animal.,"Given the previous statements, is Aphrodisius an Animal?",Yes,Aphrodisius is an Animal.,True
8,Lucan deathDate 0065-04-30.,deathDate has domain Animal.,"Given the previous statements, is Lucan an Animal?",Yes,Lucan is an Animal.,True
9,Felix and Constantia deathDate 0068-09-19.,deathDate has domain Animal.,"Given the previous statements, is Felix and Constantia an Animal?",Yes,Felix and Constantia is an Animal.,True
10,CaMia Hopson birthDate 1969-06-19.,birthDate has domain Animal.,"Given the previous statements, is CaMia Hopson an Animal?",Yes,CaMia Hopson is an Animal.,True
11,Cab Calloway birthDate 1907-12-25.,birthDate has domain Animal.,"Given the previous statements, is Cab Calloway an Animal?",Yes,Cab Calloway is an Animal.,True
12,Cab Kaye birthDate 1921-09-03.,birthDate has domain Animal.,"Given the previous statements, is Cab Kaye an Animal?",Yes,Cab Kaye is an Animal.,True
13,Carin Göring restingPlacePosition Carin Göring  restingPlacePosition  1.,restingPlacePosition has domain Person.,"Given the previous statements, is Carin Göring a Person?",Yes,Carin Göring is a Person.,True
14,Carlo Gimach restingPlacePosition Carlo Gimach  restingPlacePosition  1.,restingPlacePosition has domain Person.,"Given the previous statements, is Carlo Gimach a Person?",Yes,Carlo Gimach is a Person.,True
15,Carlo Zimech restingPlacePosition Carlo Zimech  restingPlacePosition  1.,restingPlacePosition has domain Person.,"Given the previous statements, is Carlo Zimech a Person?",Yes,Carlo Zimech is a Person.,True
16,Panther Creek mouthPosition Panther Creek   mouthPosition  1.,mouthPosition has domain River.,"Given the previous statements, is Panther Creek a River?",Yes,Panther Creek is a River.,True
17,"Carlton County, Minnesota congressionalDistrict Minnesota's 8th congressional district.",congressionalDistrict has domain AdministrativeRegion.,"Given the previous statements, is Carlton County, Minnesota an AdministrativeRegion?",Yes,"Carlton County, Minnesota is an AdministrativeRegion.",True
18,"Carver County, Minnesota congressionalDistrict Minnesota's 3rd congressional district.",congressionalDistrict has domain AdministrativeRegion.,"Given the previous statements, is Carver County, Minnesota an AdministrativeRegion?",Yes,"Carver County, Minnesota is an AdministrativeRegion.",True
19,"Carver County, Minnesota congressionalDistrict Minnesota's 6th congressional district.",congressionalDistrict has domain AdministrativeRegion.,"Given the previous statements, is Carver County, Minnesota an AdministrativeRegion?",Yes,"Carver County, Minnesota is an AdministrativeRegion.",True
20,Cadillac AOC growingGrape Muscadelle.,growingGrape has domain WineRegion.,"Given the previous statements, is Cadillac AOC a WineRegion?",Yes,Cadillac AOC is a WineRegion.,True
