ID,triple1,triple2,question,answer,inferred triple,label
1,A is a H.,A is the same as P.,"Given the previous statements, is P a H?",Yes,P is a H.,True
2,A is a H.,A is the same as X.,"Given the previous statements, is X a H?",Yes,X is a H.,True
3,A is a G.,A is the same as Y.,"Given the previous statements, is Y a G?",Yes,Y is a G.,True
4,A is a F.,A is the same as V.,"Given the previous statements, is V a F?",Yes,V is a F.,True
5,A is a X.,A is the same as G.,"Given the previous statements, is G a X?",Yes,G is a X.,True
6,A is a J.,A is the same as Z.,"Given the previous statements, is Z a J?",Yes,Z is a J.,True
7,A is a R.,A is the same as E.,"Given the previous statements, is E a R?",Yes,E is a R.,True
8,A is a U.,A is the same as Z.,"Given the previous statements, is Z a U?",Yes,Z is a U.,True
9,A is a C.,A is the same as X.,"Given the previous statements, is X a C?",Yes,X is a C.,True
10,A is a B.,A is the same as Y.,"Given the previous statements, is Y a B?",Yes,Y is a B.,True
11,A is a W.,A is the same as K.,"Given the previous statements, is K a W?",Yes,K is a W.,True
12,A is a P.,A is the same as K.,"Given the previous statements, is K a P?",Yes,K is a P.,True
13,A is a S.,A is the same as Q.,"Given the previous statements, is Q a S?",Yes,Q is a S.,True
14,A is a V.,A is the same as D.,"Given the previous statements, is D a V?",Yes,D is a V.,True
15,A is a U.,A is the same as O.,"Given the previous statements, is O a U?",Yes,O is a U.,True
16,A is a S.,A is the same as G.,"Given the previous statements, is G a S?",Yes,G is a S.,True
17,A is a S.,A is the same as R.,"Given the previous statements, is R a S?",Yes,R is a S.,True
18,A is a V.,A is the same as K.,"Given the previous statements, is K a V?",Yes,K is a V.,True
19,A is a V.,A is the same as R.,"Given the previous statements, is R a V?",Yes,R is a V.,True
20,A is a F.,A is the same as Y.,"Given the previous statements, is Y a F?",Yes,Y is a F.,True
21,A is a K.,A is the same as Z.,"Given the previous statements, is Z a K?",Yes,Z is a K.,True
22,A is a D.,A is the same as M.,"Given the previous statements, is M a D?",Yes,M is a D.,True
23,A is a Z.,A is the same as S.,"Given the previous statements, is S a Z?",Yes,S is a Z.,True
24,A is a F.,A is the same as I.,"Given the previous statements, is I a F?",Yes,I is a F.,True
25,A is a N.,A is the same as S.,"Given the previous statements, is S a N?",Yes,S is a N.,True
26,A is a N.,A is the same as Z.,"Given the previous statements, is Z a N?",Yes,Z is a N.,True
27,A is a P.,A is the same as J.,"Given the previous statements, is J a P?",Yes,J is a P.,True
28,A is a U.,A is the same as F.,"Given the previous statements, is F a U?",Yes,F is a U.,True
29,A is a J.,A is the same as N.,"Given the previous statements, is N a J?",Yes,N is a J.,True
30,A is a Z.,A is the same as J.,"Given the previous statements, is J a Z?",Yes,J is a Z.,True
31,A is a K.,A is the same as M.,"Given the previous statements, is M a K?",Yes,M is a K.,True
32,A is a Y.,A is the same as E.,"Given the previous statements, is E a Y?",Yes,E is a Y.,True
33,A is a N.,A is the same as E.,"Given the previous statements, is E a N?",Yes,E is a N.,True
34,A is a M.,A is the same as N.,"Given the previous statements, is N a M?",Yes,N is a M.,True
35,A is a Z.,A is the same as G.,"Given the previous statements, is G a Z?",Yes,G is a Z.,True
36,A is a R.,A is the same as C.,"Given the previous statements, is C a R?",Yes,C is a R.,True
37,A is a C.,A is the same as V.,"Given the previous statements, is V a C?",Yes,V is a C.,True
38,A is a L.,A is the same as U.,"Given the previous statements, is U a L?",Yes,U is a L.,True
39,A is a P.,A is the same as Y.,"Given the previous statements, is Y a P?",Yes,Y is a P.,True
40,A is a B.,A is the same as D.,"Given the previous statements, is D a B?",Yes,D is a B.,True
41,A is a Y.,A is the same as J.,"Given the previous statements, is J a Y?",Yes,J is a Y.,True
42,A is a N.,A is the same as P.,"Given the previous statements, is P a N?",Yes,P is a N.,True
43,A is a T.,A is the same as W.,"Given the previous statements, is W a T?",Yes,W is a T.,True
44,A is a T.,A is the same as J.,"Given the previous statements, is J a T?",Yes,J is a T.,True
45,A is a I.,A is the same as G.,"Given the previous statements, is G a I?",Yes,G is a I.,True
46,A is a J.,A is the same as U.,"Given the previous statements, is U a J?",Yes,U is a J.,True
