ID,triple1,triple2,triple3,question,answer,inferred triple,label,LLM output
582,Hydra-class sloop length 50.292.,Cabalva length 50.292.,length is a functional property.,"Given the previous statements, is Hydra-class sloop the same as Cabalva?",Yes,Hydra-class sloop is the same as Cabalva.,True,The answer is no
1034,Dolores Hitchens birthDate 1907-12-25.,Cab Calloway birthDate 0001.,birthDate is a functional property.,"Given the previous statements, is Dolores Hitchens the same as Cab Calloway?",No,Dolores Hitchens is not the same as Cab Calloway.,False,The answer is no
1205,Saint Serapia birthYear 0001.,Bartholomew the Apostle birthYear 2003-09-10.,birthYear is a functional property.,"Given the previous statements, is Saint Serapia the same as Bartholomew the Apostle?",No,Saint Serapia is not the same as Bartholomew the Apostle.,False,The first statement is
1712,Brazilian ironclad Brasil topSpeed 19.446.,Cabral-class ironclad topSpeed 2012-02-02.,topSpeed is a functional property.,"Given the previous statements, is Brazilian ironclad Brasil the same as Cabral-class ironclad?",No,Brazilian ironclad Brasil is not the same as Cabral-class ironclad.,False,The first statement is
548,Zlib  zlib  1 latestReleaseDate 2022-10-13.,Caddy latestReleaseDate 2022-10-13.,latestReleaseDate is a functional property.,"Given the previous statements, is Zlib  zlib  1 the same as Caddy?",Yes,Zlib  zlib  1 is the same as Caddy.,True,The answer is no
1834,George Naoupu weight 124000.0.,Cabous Eloff weight 372.85.,weight is a functional property.,"Given the previous statements, is George Naoupu the same as Cabous Eloff?",No,George Naoupu is not the same as Cabous Eloff.,False,The answer is no
67,Catur Pamungkas birthDate 1989-07-19.,Cabbrini Foncette birthDate 1989-07-19.,birthDate is a functional property.,"Given the previous statements, is Catur Pamungkas the same as Cabbrini Foncette?",Yes,Catur Pamungkas is the same as Cabbrini Foncette.,True,The answer is no
607,Cal Islet populationTotal 0.,Cachée Island populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Cal Islet the same as Cachée Island?",Yes,Cal Islet is the same as Cachée Island.,True,The USS DuPage
476,Samira Suleman height 0.0.,Cardel Benbow height 0.0.,height is a functional property.,"Given the previous statements, is Samira Suleman the same as Cardel Benbow?",Yes,Samira Suleman is the same as Cardel Benbow.,True,The answer is no
102,Citroën XM  Citroën XM  1  2.0 i Turbo CT  1 acceleration 9.8.,Renault Koleos  First generation HY  1  2.0 L dCi  2 acceleration 9.8.,acceleration is a functional property.,"Given the previous statements, is Citroën XM  Citroën XM  1  2.0 i Turbo CT  1 the same as Renault Koleos  First generation HY  1  2.0 L dCi  2?",Yes,Citroën XM  Citroën XM  1  2.0 i Turbo CT  1 is the same as Renault Koleos  First generation HY  1  2.0 L dCi  2.,True,The answer is yes
394,Brackett diameter 9000.0.,Cajal diameter 9000.0.,diameter is a functional property.,"Given the previous statements, is Brackett the same as Cajal?",Yes,Brackett is the same as Cajal.,True,The answer to your
1533,Rod Laver height 0.0.,Carly McNaul height 1971-05-12.,height is a functional property.,"Given the previous statements, is Rod Laver the same as Carly McNaul?",No,Rod Laver is not the same as Carly McNaul.,False,The answer is no
262,Carlo Fonseka deathYear 2019.,Cacho Castaña deathYear 2019.,deathYear is a functional property.,"Given the previous statements, is Carlo Fonseka the same as Cacho Castaña?",Yes,Carlo Fonseka is the same as Cacho Castaña.,True,The answer is no
1632,"Calhoun, Kansas populationTotal 0.","Cadia, New South Wales populationTotal 3.409E8.",populationTotal is a functional property.,"Given the previous statements, is Calhoun, Kansas the same as Cadia, New South Wales?",No,"Calhoun, Kansas is not the same as Cadia, New South Wales.",False,The answer is no
1636,"Campbelltown, Guyana populationTotal 0.","Cadia, New South Wales populationTotal 359.292.",populationTotal is a functional property.,"Given the previous statements, is Campbelltown, Guyana the same as Cadia, New South Wales?",No,"Campbelltown, Guyana is not the same as Cadia, New South Wales.",False,The answer is no
194,Anu Ramamoorthy birthYear 0001.,Bartholomew the Apostle birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Anu Ramamoorthy the same as Bartholomew the Apostle?",Yes,Anu Ramamoorthy is the same as Bartholomew the Apostle.,True,The first statement is
1879,Cameron O'Brien weight 96000.0.,Cadan Murley weight 31.484.,weight is a functional property.,"Given the previous statements, is Cameron O'Brien the same as Cadan Murley?",No,Cameron O'Brien is not the same as Cadan Murley.,False,The answer is no
953,Reksta width 1500.0.,Cabahan width 1500.0.,width is a functional property.,"Given the previous statements, is Reksta the same as Cabahan?",Yes,Reksta is the same as Cabahan.,True,The answer is no
1055,Oonah Shannahan birthDate 1921-09-03.,Cab Kaye birthDate 2000-03-26.,birthDate is a functional property.,"Given the previous statements, is Oonah Shannahan the same as Cab Kaye?",No,Oonah Shannahan is not the same as Cab Kaye.,False,The answer is no
1113,45  Rover 45  1  997–2005  1 acceleration 9.3.,Renault Koleos  First generation HY  1  2.5 L 16V  1 acceleration 31.484.,acceleration is a functional property.,"Given the previous statements, is 45  Rover 45  1  997–2005  1 the same as Renault Koleos  First generation HY  1  2.5 L 16V  1?",No,45  Rover 45  1  997–2005  1 is not the same as Renault Koleos  First generation HY  1  2.5 L 16V  1.,False,The answer is no
691,Caher Island populationTotal 0.,Cala Iris Islet populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Caher Island the same as Cala Iris Islet?",Yes,Caher Island is the same as Cala Iris Islet.,True,The answer is no
397,Theophrastus diameter 9000.0.,Cajal diameter 9000.0.,diameter is a functional property.,"Given the previous statements, is Theophrastus the same as Cajal?",Yes,Theophrastus is the same as Cajal.,True,The answer is no
539,Samira Suleman height 0.0.,Carly McNaul height 0.0.,height is a functional property.,"Given the previous statements, is Samira Suleman the same as Carly McNaul?",Yes,Samira Suleman is the same as Carly McNaul.,True,The answer is no
1744,USS Winchester topSpeed 59.264.,Cabrini-class patrol boat topSpeed 1.72e+09.,topSpeed is a functional property.,"Given the previous statements, is USS Winchester the same as Cabrini-class patrol boat?",No,USS Winchester is not the same as Cabrini-class patrol boat.,False,The answer is no
796,Scenic Eclipse topSpeed 31.484.,Cagni-class submarine topSpeed 31.484.,topSpeed is a functional property.,"Given the previous statements, is Scenic Eclipse the same as Cagni-class submarine?",Yes,Scenic Eclipse is the same as Cagni-class submarine.,True,The answer to your
1880,Cameron Zurhaar weight 96000.0.,Cadan Murley weight 85000.0.,weight is a functional property.,"Given the previous statements, is Cameron Zurhaar the same as Cadan Murley?",No,Cameron Zurhaar is not the same as Cadan Murley.,False,The answer is no
