ID,triple1,triple2,question,answer,inferred triple,label
1,A V Z.,V has domain E.,"Given the previous statements, is A a E?",Yes,A is a E.,True
2,A M N.,M has domain G.,"Given the previous statements, is A a G?",Yes,A is a G.,True
3,A E K.,E has domain N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
4,A E N.,E has domain Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
5,A I S.,I has domain F.,"Given the previous statements, is A a F?",Yes,A is a F.,True
6,A J T.,J has domain K.,"Given the previous statements, is A a K?",Yes,A is a K.,True
7,A B V.,B has domain W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
8,A K H.,K has domain G.,"Given the previous statements, is A a G?",Yes,A is a G.,True
9,A L T.,L has domain F.,"Given the previous statements, is A a F?",Yes,A is a F.,True
10,A F R.,F has domain Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
11,A X N.,X has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
12,A V Y.,V has domain W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
13,A U F.,U has domain H.,"Given the previous statements, is A a H?",Yes,A is a H.,True
14,A J Q.,J has domain C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
15,A K X.,K has domain W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
16,A N U.,N has domain O.,"Given the previous statements, is A a O?",Yes,A is a O.,True
17,A P S.,P has domain C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
18,A H W.,H has domain B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
19,A N L.,N has domain T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
20,A K H.,K has domain Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
21,A H U.,H has domain D.,"Given the previous statements, is A a D?",Yes,A is a D.,True
22,A J D.,J has domain F.,"Given the previous statements, is A a F?",Yes,A is a F.,True
23,A X R.,X has domain C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
24,A Y U.,Y has domain G.,"Given the previous statements, is A a G?",Yes,A is a G.,True
25,A I T.,I has domain E.,"Given the previous statements, is A a E?",Yes,A is a E.,True
26,A H Q.,H has domain N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
27,A U J.,U has domain W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
28,A E B.,E has domain H.,"Given the previous statements, is A a H?",Yes,A is a H.,True
29,A X R.,X has domain T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
30,A C J.,C has domain I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
31,A F B.,F has domain T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
