ID,triple1,question,answer,inferred triple,label
1,Cabagan is different from Cabangan.,"Given the previous statement, is Cabangan an Cabagan?",Yes,Cabangan is different from Cabagan.,True
2,Caballos Formation is different from Caballos Novaculite.,"Given the previous statement, is Caballos Novaculite an Caballos Formation?",Yes,Caballos Novaculite is different from Caballos Formation.,True
3,Cabanada is different from Cabanagem.,"Given the previous statement, is Cabanagem an Cabanada?",Yes,Cabanagem is different from Cabanada.,True
4,Cabanagem is different from Cabanada.,"Given the previous statement, is Cabanada an Cabanagem?",Yes,Cabanada is different from Cabanagem.,True
5,Cabangan is different from Cabagan.,"Given the previous statement, is Cabagan an Cabangan?",Yes,Cabagan is different from Cabangan.,True
6,Cabestany is different from Cavestany.,"Given the previous statement, is Cavestany an Cabestany?",Yes,Cavestany is different from Cabestany.,True
7,"Cabinet Secretary for Social Justice, Housing and Local Government is different from Cabinet Secretary for Justice.","Given the previous statement, is Cabinet Secretary for Justice an Cabinet Secretary for Social Justice, Housing and Local Government?",Yes,"Cabinet Secretary for Justice is different from Cabinet Secretary for Social Justice, Housing and Local Government.",True
8,Cabinet of François Fillon is different from Fillon Government.,"Given the previous statement, is Fillon Government an Cabinet of François Fillon?",Yes,Fillon Government is different from Cabinet of François Fillon.,True
9,Cable Building is different from Commercial Cable Company Building.,"Given the previous statement, is Commercial Cable Company Building an Cable Building?",Yes,Commercial Cable Company Building is different from Cable Building.,True
10,"Cabool, Missouri is different from Kabul.","Given the previous statement, is Kabul an Cabool, Missouri?",Yes,"Kabul is different from Cabool, Missouri.",True
11,Cabrillo National Monument is different from Point Cabrillo Light.,"Given the previous statement, is Point Cabrillo Light an Cabrillo National Monument?",Yes,Point Cabrillo Light is different from Cabrillo National Monument.,True
12,Cabugao is different from Kabugao.,"Given the previous statement, is Kabugao an Cabugao?",Yes,Kabugao is different from Cabugao.,True
13,Cabó is different from Cabo.,"Given the previous statement, is Cabo an Cabó?",Yes,Cabo is different from Cabó.,True
14,Cachalote is different from Cacholote.,"Given the previous statement, is Cacholote an Cachalote?",Yes,Cacholote is different from Cachalote.,True
15,Cachalote is different from Cachalot.,"Given the previous statement, is Cachalot an Cachalote?",Yes,Cachalot is different from Cachalote.,True
16,Cache replacement policies is different from Cache placement policies.,"Given the previous statement, is Cache placement policies an Cache replacement policies?",Yes,Cache placement policies is different from Cache replacement policies.,True
17,Cacls is different from Calc.exe.,"Given the previous statement, is Calc.exe an Cacls?",Yes,Calc.exe is different from Cacls.,True
18,Cacoma is different from Cacama.,"Given the previous statement, is Cacama an Cacoma?",Yes,Cacama is different from Cacoma.,True
19,Cacoma is different from Cocama.,"Given the previous statement, is Cocama an Cacoma?",Yes,Cocama is different from Cacoma.,True
20,Cacoo is different from Cacao.,"Given the previous statement, is Cacao an Cacoo?",Yes,Cacao is different from Cacoo.,True
21,"Caddo, Oklahoma is different from Oklahoma.","Given the previous statement, is Oklahoma an Caddo, Oklahoma?",Yes,"Oklahoma is different from Caddo, Oklahoma.",True
22,"Caddo, Oklahoma is different from Caddo County.","Given the previous statement, is Caddo County an Caddo, Oklahoma?",Yes,"Caddo County is different from Caddo, Oklahoma.",True
23,Cadet College Murree is different from Military College Murree.,"Given the previous statement, is Military College Murree an Cadet College Murree?",Yes,Military College Murree is different from Cadet College Murree.,True
24,"Cadillac, Cadillac is different from Cadillac.","Given the previous statement, is Cadillac an Cadillac, Cadillac?",Yes,"Cadillac is different from Cadillac, Cadillac.",True
25,"Cadillac, Gironde is different from Cadillac-en-Fronsadais.","Given the previous statement, is Cadillac-en-Fronsadais an Cadillac, Gironde?",Yes,"Cadillac-en-Fronsadais is different from Cadillac, Gironde.",True
26,Cadillac-en-Fronsadais is different from Cadillac.,"Given the previous statement, is Cadillac an Cadillac-en-Fronsadais?",Yes,Cadillac is different from Cadillac-en-Fronsadais.,True
27,Cadillac-en-Fronsadais is different from Gironde.,"Given the previous statement, is Gironde an Cadillac-en-Fronsadais?",Yes,Gironde is different from Cadillac-en-Fronsadais.,True
28,Cadillac Brougham is different from Holden Brougham.,"Given the previous statement, is Holden Brougham an Cadillac Brougham?",Yes,Holden Brougham is different from Cadillac Brougham.,True
29,Cadillac CT5 is different from Cadillac CTS.,"Given the previous statement, is Cadillac CTS an Cadillac CT5?",Yes,Cadillac CTS is different from Cadillac CT5.,True
30,Cadillac CTS is different from Cadillac CT5.,"Given the previous statement, is Cadillac CT5 an Cadillac CTS?",Yes,Cadillac CT5 is different from Cadillac CTS.,True
31,Cadillac Escala is different from Cadillac Escalade.,"Given the previous statement, is Cadillac Escalade an Cadillac Escala?",Yes,Cadillac Escalade is different from Cadillac Escala.,True
32,Cadillac Escalade is different from Cadillac Escala.,"Given the previous statement, is Cadillac Escala an Cadillac Escalade?",Yes,Cadillac Escala is different from Cadillac Escalade.,True
33,Cadillac Ranch is different from Cadillac Ranch.,"Given the previous statement, is Cadillac Ranch an Cadillac Ranch?",Yes,Cadillac Ranch is different from Cadillac Ranch.,True
34,Cadillac Seville is different from Cadillac de Ville series.,"Given the previous statement, is Cadillac de Ville series an Cadillac Seville?",Yes,Cadillac de Ville series is different from Cadillac Seville.,True
35,Cadillac V-12 is different from 370.,"Given the previous statement, is 370 an Cadillac V-12?",Yes,370 is different from Cadillac V-12.,True
36,Cadillac V-12 is different from IBM System.,"Given the previous statement, is IBM System an Cadillac V-12?",Yes,IBM System is different from Cadillac V-12.,True
37,Cadillac de Ville series is different from Cadillac Seville.,"Given the previous statement, is Cadillac Seville an Cadillac de Ville series?",Yes,Cadillac Seville is different from Cadillac de Ville series.,True
38,Cadú is different from Born 1981).,"Given the previous statement, is Born 1981) an Cadú?",Yes,Born 1981) is different from Cadú.,True
39,Cadú is different from Cadú (footballer.,"Given the previous statement, is Cadú (footballer an Cadú?",Yes,Cadú (footballer is different from Cadú.,True
40,Caen is different from Cannes.,"Given the previous statement, is Cannes an Caen?",Yes,Cannes is different from Caen.,True
41,Caernarfonshire is different from Carmarthenshire.,"Given the previous statement, is Carmarthenshire an Caernarfonshire?",Yes,Carmarthenshire is different from Caernarfonshire.,True
42,Caesarean section is different from Vivisection.,"Given the previous statement, is Vivisection an Caesarean section?",Yes,Vivisection is different from Caesarean section.,True
