ID,triple1,triple2,triple3,question,answer,inferred triple,label,LLM output
1387,Lacus Luxuriae diameter 50000.0.,Cailleux diameter 216.931.,diameter is a functional property.,"Given the previous statements, is Lacus Luxuriae the same as Cailleux?",No,Lacus Luxuriae is not the same as Cailleux.,False,"No, Lacus Luxuriae is not the same as Cailleux."
1972,Richard Odabashian Bridge width 24.384.,Cable Bridge width 6437.38.,width is a functional property.,"Given the previous statements, is Richard Odabashian Bridge the same as Cable Bridge?",No,Richard Odabashian Bridge is not the same as Cable Bridge.,False,"Yes, Richard Odabashian Bridge and Cable Bridge are the same."
394,Brackett diameter 9000.0.,Cajal diameter 9000.0.,diameter is a functional property.,"Given the previous statements, is Brackett the same as Cajal?",Yes,Brackett is the same as Cajal.,True,no
1032,Helen Twelvetrees birthDate 1907-12-25.,Cab Calloway birthDate 1.23718e+15.,birthDate is a functional property.,"Given the previous statements, is Helen Twelvetrees the same as Cab Calloway?",No,Helen Twelvetrees is not the same as Cab Calloway.,False,"No, Helen Twelvetrees is not the same as Cab Calloway."
525,Caroline Abbé height 0.0.,Carly McNaul height 0.0.,height is a functional property.,"Given the previous statements, is Caroline Abbé the same as Carly McNaul?",Yes,Caroline Abbé is the same as Carly McNaul.,True,"No, Carly McNaul is not the same as Caroline Abbé."
1723,USS Radnor topSpeed 19.446.,Cabral-class ironclad topSpeed 420.304.,topSpeed is a functional property.,"Given the previous statements, is USS Radnor the same as Cabral-class ironclad?",No,USS Radnor is not the same as Cabral-class ironclad.,False,"No, USS Radnor is not the same as Cabral-class ironclad"
1380,Möbius diameter 50000.0.,Cailleux diameter 0.0.,diameter is a functional property.,"Given the previous statements, is Möbius the same as Cailleux?",No,Möbius is not the same as Cailleux.,False,"No, Möbius is not the same as Cailleux."
15,Hermat Gangapersad birthDate 1969-06-19.,CaMia Hopson birthDate 1969-06-19.,birthDate is a functional property.,"Given the previous statements, is Hermat Gangapersad the same as CaMia Hopson?",Yes,Hermat Gangapersad is the same as CaMia Hopson.,True,"No, Hermat Gangapersad is not the same as CaMia Hop"
359,Engelʹgardt diameter 43000.0.,Cai Lun diameter 43000.0.,diameter is a functional property.,"Given the previous statements, is Engelʹgardt the same as Cai Lun?",Yes,Engelʹgardt is the same as Cai Lun.,True,"Yes, Engelgardt and Cai Lun are the same."
661,"Canuck, Saskatchewan populationTotal 0.",Caher Island populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Canuck, Saskatchewan the same as Caher Island?",Yes,"Canuck, Saskatchewan is the same as Caher Island.",True,"No, Canuck, Saskatchewan is not the same as Caher Island."
730,USS Stars and Stripes topSpeed 19.446.,Cabral-class ironclad topSpeed 19.446.,topSpeed is a functional property.,"Given the previous statements, is USS Stars and Stripes the same as Cabral-class ironclad?",Yes,USS Stars and Stripes is the same as Cabral-class ironclad.,True,"No, USS Stars and Stripes is not the same as Cabral-class"
304,Carmen Silva deathYear 2008.,Cachupoy deathYear 2008.,deathYear is a functional property.,"Given the previous statements, is Carmen Silva the same as Cachupoy?",Yes,Carmen Silva is the same as Cachupoy.,True,"No, Carmen Silva is not the same as Cachupoy."
298,Carl Aschan deathYear 2008.,Cachupoy deathYear 2008.,deathYear is a functional property.,"Given the previous statements, is Carl Aschan the same as Cachupoy?",Yes,Carl Aschan is the same as Cachupoy.,True,"No, Carl Aschan is not the same as Cachupoy."
697,Camp Hazen populationTotal 0.,Cala Iris Islet populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Camp Hazen the same as Cala Iris Islet?",Yes,Camp Hazen is the same as Cala Iris Islet.,True,"No, Camp Hazen is not the same as Cala Iris Islet."
624,Capel Island populationTotal 0.,Cachée Island populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Capel Island the same as Cachée Island?",Yes,Capel Island is the same as Cachée Island.,True,no
912,EDAG Biwak wheelbase 2.68.,Cadillac BLS wheelbase 2.68.,wheelbase is a functional property.,"Given the previous statements, is EDAG Biwak the same as Cadillac BLS?",Yes,EDAG Biwak is the same as Cadillac BLS.,True,"No, EDAG Biwak has a wheelbase of 2.68 and Cadillac BLS"
746,Ukrainian corvette Ternopil topSpeed 59.264.,Cabrini-class patrol boat topSpeed 59.264.,topSpeed is a functional property.,"Given the previous statements, is Ukrainian corvette Ternopil the same as Cabrini-class patrol boat?",Yes,Ukrainian corvette Ternopil is the same as Cabrini-class patrol boat.,True,"Yes, the Ukrainian corvette Ternopil and the Cabrini-class patrol"
1905,Ligier JS2 R wheelbase 2.68.,Cadillac BLS wheelbase 420.304.,wheelbase is a functional property.,"Given the previous statements, is Ligier JS2 R the same as Cadillac BLS?",No,Ligier JS2 R is not the same as Cadillac BLS.,False,"No, Ligier JS2 R and Cadillac BLS are not the same."
856,Rodrigo Leão weight 85000.0.,Cabous van der Westhuizen weight 85000.0.,weight is a functional property.,"Given the previous statements, is Rodrigo Leão the same as Cabous van der Westhuizen?",Yes,Rodrigo Leão is the same as Cabous van der Westhuizen.,True,"No, Rodrigo Leo is not the same as Cabous van der Westhui"
1307,Carol Chomsky deathYear 2008.,Cachupoy deathYear 19.446.,deathYear is a functional property.,"Given the previous statements, is Carol Chomsky the same as Cachupoy?",No,Carol Chomsky is not the same as Cachupoy.,False,"No, Carol Chomsky is not the same as Cachupoy."
1173,Anu Ramamoorthy birthYear 0001.,Barnabas birthYear 2000.0.,birthYear is a functional property.,"Given the previous statements, is Anu Ramamoorthy the same as Barnabas?",No,Anu Ramamoorthy is not the same as Barnabas.,False,"No, Anu Ramamoorthy is not the same as Barnabas."
780,Huangpu-class gunboat topSpeed 24.076.,Cadmus-class sloop topSpeed 24.076.,topSpeed is a functional property.,"Given the previous statements, is Huangpu-class gunboat the same as Cadmus-class sloop?",Yes,Huangpu-class gunboat is the same as Cadmus-class sloop.,True,no
350,Cyrillus diameter 98000.0.,Cabeus diameter 98000.0.,diameter is a functional property.,"Given the previous statements, is Cyrillus the same as Cabeus?",Yes,Cyrillus is the same as Cabeus.,True,"No, Cyrillus is not the same as Cabeus."
915,Volkswagen Touran  First generation 1T  1 wheelbase 2.68.,Cadillac BLS wheelbase 2.68.,wheelbase is a functional property.,"Given the previous statements, is Volkswagen Touran  First generation 1T  1 the same as Cadillac BLS?",Yes,Volkswagen Touran  First generation 1T  1 is the same as Cadillac BLS.,True,"Yes, the Volkswagen Touran First generation 1T 1 and Cadillac BLS have the same wheel"
1616,"Caniapiscau, Quebec populationTotal 0.",Cachée Island populationTotal 107775.0.,populationTotal is a functional property.,"Given the previous statements, is Caniapiscau, Quebec the same as Cachée Island?",No,"Caniapiscau, Quebec is not the same as Cachée Island.",False,"No, Caniapiscau, Quebec is not the same as Cachée Island"
1968,Blue Hole width 24.384.,Cable Bridge width 1989-07-19.,width is a functional property.,"Given the previous statements, is Blue Hole the same as Cable Bridge?",No,Blue Hole is not the same as Cable Bridge.,False,"No, Blue Hole and Cable Bridge are not the same."
662,"Cape Conway, Queensland populationTotal 0.",Caher Island populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Cape Conway, Queensland the same as Caher Island?",Yes,"Cape Conway, Queensland is the same as Caher Island.",True,no
158,Charles Clifton Brittlebank birthYear 0001.,Merritt k birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Charles Clifton Brittlebank the same as Merritt k?",Yes,Charles Clifton Brittlebank is the same as Merritt k.,True,no
1596,USS Sapphire length 50.292.,Cabalva length 2000.0.,length is a functional property.,"Given the previous statements, is USS Sapphire the same as Cabalva?",No,USS Sapphire is not the same as Cabalva.,False,"No, USS Sapphire is not the same as Cabalva."
1092,Renault Laguna  Second generation X74  1  2.2 dCi  1 acceleration 9.8.,Renault Koleos  First generation HY  1  2.0 L dCi  2 acceleration 80000.0.,acceleration is a functional property.,"Given the previous statements, is Renault Laguna  Second generation X74  1  2.2 dCi  1 the same as Renault Koleos  First generation HY  1  2.0 L dCi  2?",No,Renault Laguna  Second generation X74  1  2.2 dCi  1 is not the same as Renault Koleos  First generation HY  1  2.0 L dCi  2.,False,no
1903,Renault Colorale wheelbase 2.68.,Cadillac BLS wheelbase 52200.6.,wheelbase is a functional property.,"Given the previous statements, is Renault Colorale the same as Cadillac BLS?",No,Renault Colorale is not the same as Cadillac BLS.,False,"No, Renault Colorale and Cadillac BLS are not the same."
309,Carsten Thomassen deathYear 2008.,Cachupoy deathYear 2008.,deathYear is a functional property.,"Given the previous statements, is Carsten Thomassen the same as Cachupoy?",Yes,Carsten Thomassen is the same as Cachupoy.,True,"No, Carsten Thomassen is not the same as Cachupoy."
558,"Queen Victoria Street, Fremantle length 2000.0.",Cabahan length 2000.0.,length is a functional property.,"Given the previous statements, is Queen Victoria Street, Fremantle the same as Cabahan?",Yes,"Queen Victoria Street, Fremantle is the same as Cabahan.",True,"Yes, Queen Victoria Street, Fremantle and Cabahan are the same."
133,Apollos birthYear 0001.,Quartus birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Apollos the same as Quartus?",Yes,Apollos is the same as Quartus.,True,"Yes, Apollos and Quartus are both the same."
601,Pertamina Gas Negara netIncome 1.13E8.,Cabot Corporation netIncome 1.13E8.,netIncome is a functional property.,"Given the previous statements, is Pertamina Gas Negara the same as Cabot Corporation?",Yes,Pertamina Gas Negara is the same as Cabot Corporation.,True,"No, Pertamina Gas Negara is not the same as Cabot Corporation."
387,Lacus Luxuriae diameter 50000.0.,Cailleux diameter 50000.0.,diameter is a functional property.,"Given the previous statements, is Lacus Luxuriae the same as Cailleux?",Yes,Lacus Luxuriae is the same as Cailleux.,True,"No, Lacus Luxuriae is not the same as Cailleux."
113,45  Rover 45  1  997–2005  1 acceleration 9.3.,Renault Koleos  First generation HY  1  2.5 L 16V  1 acceleration 9.3.,acceleration is a functional property.,"Given the previous statements, is 45  Rover 45  1  997–2005  1 the same as Renault Koleos  First generation HY  1  2.5 L 16V  1?",Yes,45  Rover 45  1  997–2005  1 is the same as Renault Koleos  First generation HY  1  2.5 L 16V  1.,True,"No, Rover 45 1 997–2005 1 is not the same as Renault Koleo"
926,AMC Eagle wheelbase 2.77622.,Cadillac CT4 wheelbase 2.77622.,wheelbase is a functional property.,"Given the previous statements, is AMC Eagle the same as Cadillac CT4?",Yes,AMC Eagle is the same as Cadillac CT4.,True,"No, the AMC Eagle and Cadillac CT4 are not the same."
1594,USS Palos length 50.292.,Cabalva length 216.931.,length is a functional property.,"Given the previous statements, is USS Palos the same as Cabalva?",No,USS Palos is not the same as Cabalva.,False,"No, USS Palos is not the same as Cabalva."
1649,Cal Islet populationTotal 0.,Caher Island populationTotal 3.10896.,populationTotal is a functional property.,"Given the previous statements, is Cal Islet the same as Caher Island?",No,Cal Islet is not the same as Caher Island.,False,"No, Cal Islet is not the same as Caher Island."
1840,Camille Lacourt weight 85000.0.,Cabous van der Westhuizen weight 2.52476.,weight is a functional property.,"Given the previous statements, is Camille Lacourt the same as Cabous van der Westhuizen?",No,Camille Lacourt is not the same as Cabous van der Westhuizen.,False,"No, Camille Lacourt is not the same as Cabous van der Westhuizen."
880,Cameron Zurhaar weight 96000.0.,Cadan Murley weight 96000.0.,weight is a functional property.,"Given the previous statements, is Cameron Zurhaar the same as Cadan Murley?",Yes,Cameron Zurhaar is the same as Cadan Murley.,True,"No, Cameron Zurhaar is not the same as Cadan Murley."
931,Nissan Maxima  Eighth generation A36  1 wheelbase 2.77622.,Cadillac CT4 wheelbase 2.77622.,wheelbase is a functional property.,"Given the previous statements, is Nissan Maxima  Eighth generation A36  1 the same as Cadillac CT4?",Yes,Nissan Maxima  Eighth generation A36  1 is the same as Cadillac CT4.,True,"Yes, Nissan Maxima Eighth generation A36 1 and Cadillac CT4 have the same"
854,Rod Grinter weight 85000.0.,Cabous van der Westhuizen weight 85000.0.,weight is a functional property.,"Given the previous statements, is Rod Grinter the same as Cabous van der Westhuizen?",Yes,Rod Grinter is the same as Cabous van der Westhuizen.,True,"No, Rod Grinter is not the same as Cabous van der Westhuizen."
364,Tralles diameter 43000.0.,Cai Lun diameter 43000.0.,diameter is a functional property.,"Given the previous statements, is Tralles the same as Cai Lun?",Yes,Tralles is the same as Cai Lun.,True,"Yes, Tralles and Cai Lun are the same."
1545,Vocaloid latestReleaseDate 2022-10-13.,Caddy latestReleaseDate 317.0.,latestReleaseDate is a functional property.,"Given the previous statements, is Vocaloid the same as Caddy?",No,Vocaloid is not the same as Caddy.,False,"No, Vocaloid is not the same as Caddy."
1945,Hobson Lake width 1500.0.,Cabahan width 0001.,width is a functional property.,"Given the previous statements, is Hobson Lake the same as Cabahan?",No,Hobson Lake is not the same as Cabahan.,False,"No, Hobson Lake is not the same as Cabahan."
1167,Colin Hanlon birthYear 0001.,Merritt k birthYear 0065-04-28.,birthYear is a functional property.,"Given the previous statements, is Colin Hanlon the same as Merritt k?",No,Colin Hanlon is not the same as Merritt k.,False,"No, Colin Hanlon is not the same as Merritt k."
234,Camillo Milli deathYear 2022.,Cabo Anselmo deathYear 2022.,deathYear is a functional property.,"Given the previous statements, is Camillo Milli the same as Cabo Anselmo?",Yes,Camillo Milli is the same as Cabo Anselmo.,True,"No, Camillo Milli is not the same as Cabo Anselmo."
768,USS DuPage topSpeed 31.484.,Cachalot-class submarine topSpeed 31.484.,topSpeed is a functional property.,"Given the previous statements, is USS DuPage the same as Cachalot-class submarine?",Yes,USS DuPage is the same as Cachalot-class submarine.,True,"Yes, USS DuPage and Cachalot-class submarine are the same."
1554,Puerto Rico Highway 133 length 2000.0.,Cabahan length 320.0.,length is a functional property.,"Given the previous statements, is Puerto Rico Highway 133 the same as Cabahan?",No,Puerto Rico Highway 133 is not the same as Cabahan.,False,"No, Puerto Rico Highway 133 is not the same as Cabahan."
783,USS Florida topSpeed 24.076.,Cadmus-class sloop topSpeed 24.076.,topSpeed is a functional property.,"Given the previous statements, is USS Florida the same as Cadmus-class sloop?",Yes,USS Florida is the same as Cadmus-class sloop.,True,no
532,Rod Frawley height 0.0.,Carly McNaul height 0.0.,height is a functional property.,"Given the previous statements, is Rod Frawley the same as Carly McNaul?",Yes,Rod Frawley is the same as Carly McNaul.,True,"No, Rod Frawley is not the same as Carly McNaul."
715,USS George F. Elliott topSpeed 19.446.,Cabral-class ironclad topSpeed 19.446.,topSpeed is a functional property.,"Given the previous statements, is USS George F. Elliott the same as Cabral-class ironclad?",Yes,USS George F. Elliott is the same as Cabral-class ironclad.,True,"No, USS George F. Elliott is not the same as Cabral-class ironcla"
31,Hans Lineweaver birthDate 1907-12-25.,Cab Calloway birthDate 1907-12-25.,birthDate is a functional property.,"Given the previous statements, is Hans Lineweaver the same as Cab Calloway?",Yes,Hans Lineweaver is the same as Cab Calloway.,True,"No, Hans Lineweaver and Cab Calloway are not the same."
