ID,triple1,triple2,question,answer,inferred triple,label,LLM output
15,A is a Q.,Q is an equivalent class of S.,"Given the previous statements, is A a S?",Yes,A is a S.,True,No
1175,O is a Y.,Y is an equivalent class of W.,"Given the previous statements, is O a I?",No,O is not a I.,False,No
1173,O is a N.,N is an equivalent class of K.,"Given the previous statements, is O a Q?",No,O is not a Q.,False,No
84,C is a B.,B is an equivalent class of Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True,No
1007,J is a C.,C is an equivalent class of Z.,"Given the previous statements, is J a B?",No,J is not a B.,False,No
997,J is a V.,V is an equivalent class of I.,"Given the previous statements, is J a C?",No,J is not a C.,False,No
502,P is a G.,G is an equivalent class of K.,"Given the previous statements, is P a K?",Yes,P is a K.,True,No
450,N is a M.,M is an equivalent class of D.,"Given the previous statements, is N a D?",Yes,N is a D.,True,No
493,O is a W.,W is an equivalent class of C.,"Given the previous statements, is O a C?",Yes,O is a C.,True,No
1266,R is a Z.,Z is an equivalent class of X.,"Given the previous statements, is R a D?",No,R is not a D.,False,No
625,S is a Q.,Q is an equivalent class of X.,"Given the previous statements, is S a X?",Yes,S is a X.,True,No
920,G is a N.,N is an equivalent class of W.,"Given the previous statements, is G a C?",No,G is not a C.,False,No
1123,N is a B.,B is an equivalent class of E.,"Given the previous statements, is N a R?",No,N is not a R.,False,No
1079,L is a I.,I is an equivalent class of K.,"Given the previous statements, is L a P?",No,L is not a P.,False,No
195,F is a Q.,Q is an equivalent class of D.,"Given the previous statements, is F a D?",Yes,F is a D.,True,No
1199,P is a R.,R is an equivalent class of S.,"Given the previous statements, is P a B?",No,P is not a B.,False,No
1134,N is a X.,X is an equivalent class of W.,"Given the previous statements, is N a O?",No,N is not a O.,False,No
819,D is a N.,N is an equivalent class of F.,"Given the previous statements, is D a L?",No,D is not a L.,False,No
1193,P is a B.,B is an equivalent class of M.,"Given the previous statements, is P a C?",No,P is not a C.,False,No
862,F is a H.,H is an equivalent class of D.,"Given the previous statements, is F a X?",No,F is not a X.,False,No
1153,N is a E.,E is an equivalent class of Q.,"Given the previous statements, is N a F?",No,N is not a F.,False,No
158,E is a F.,F is an equivalent class of A.,"Given the previous statements, is E a A?",Yes,E is a A.,True,No
352,K is a B.,B is an equivalent class of V.,"Given the previous statements, is K a V?",Yes,K is a V.,True,No
572,R is a M.,M is an equivalent class of N.,"Given the previous statements, is R a N?",Yes,R is a N.,True,No
104,D is a S.,S is an equivalent class of P.,"Given the previous statements, is D a P?",Yes,D is a P.,True,No
1009,J is a E.,E is an equivalent class of X.,"Given the previous statements, is J a G?",No,J is not a G.,False,No
590,R is a Q.,Q is an equivalent class of S.,"Given the previous statements, is R a S?",Yes,R is a S.,True,No
294,I is a L.,L is an equivalent class of K.,"Given the previous statements, is I a K?",Yes,I is a K.,True,No
681,U is a A.,A is an equivalent class of X.,"Given the previous statements, is U a X?",Yes,U is a X.,True,No
1295,S is a L.,L is an equivalent class of R.,"Given the previous statements, is S a T?",No,S is not a T.,False,No
434,N is a X.,X is an equivalent class of D.,"Given the previous statements, is N a D?",Yes,N is a D.,True,No
674,U is a I.,I is an equivalent class of A.,"Given the previous statements, is U a A?",Yes,U is a A.,True,No
1213,P is a B.,B is an equivalent class of N.,"Given the previous statements, is P a A?",No,P is not a A.,False,No
889,F is a B.,B is an equivalent class of K.,"Given the previous statements, is F a L?",No,F is not a L.,False,No
1276,R is a I.,I is an equivalent class of D.,"Given the previous statements, is R a M?",No,R is not a M.,False,No
842,E is a W.,W is an equivalent class of C.,"Given the previous statements, is E a I?",No,E is not a I.,False,No
1026,K is a W.,W is an equivalent class of E.,"Given the previous statements, is K a A?",No,K is not a A.,False,No
918,G is a Z.,Z is an equivalent class of R.,"Given the previous statements, is G a M?",No,G is not a M.,False,No
517,P is a W.,W is an equivalent class of R.,"Given the previous statements, is P a R?",Yes,P is a R.,True,No
1212,P is a E.,E is an equivalent class of C.,"Given the previous statements, is P a S?",No,P is not a S.,False,No
1117,M is a X.,X is an equivalent class of S.,"Given the previous statements, is M a U?",No,M is not a U.,False,No
162,E is a G.,G is an equivalent class of B.,"Given the previous statements, is E a B?",Yes,E is a B.,True,No
443,N is a D.,D is an equivalent class of B.,"Given the previous statements, is N a B?",Yes,N is a B.,True,No
854,E is a W.,W is an equivalent class of U.,"Given the previous statements, is E a Y?",No,E is not a Y.,False,No
229,G is a X.,X is an equivalent class of C.,"Given the previous statements, is G a C?",Yes,G is a C.,True,No
1066,L is a M.,M is an equivalent class of F.,"Given the previous statements, is L a C?",No,L is not a C.,False,No
1327,T is a W.,W is an equivalent class of O.,"Given the previous statements, is T a E?",No,T is not a E.,False,No
385,L is a G.,G is an equivalent class of U.,"Given the previous statements, is L a U?",Yes,L is a U.,True,No
304,J is a Q.,Q is an equivalent class of M.,"Given the previous statements, is J a M?",Yes,J is a M.,True,No
1102,M is a P.,P is an equivalent class of G.,"Given the previous statements, is M a U?",No,M is not a U.,False,No
387,L is a Q.,Q is an equivalent class of P.,"Given the previous statements, is L a P?",Yes,L is a P.,True,No
372,L is a N.,N is an equivalent class of Z.,"Given the previous statements, is L a Z?",Yes,L is a Z.,True,No
1084,L is a T.,T is an equivalent class of P.,"Given the previous statements, is L a R?",No,L is not a R.,False,No
381,L is a Z.,Z is an equivalent class of E.,"Given the previous statements, is L a E?",Yes,L is a E.,True,No
98,C is a Y.,Y is an equivalent class of N.,"Given the previous statements, is C a N?",Yes,C is a N.,True,No
425,M is a Y.,Y is an equivalent class of S.,"Given the previous statements, is M a S?",Yes,M is a S.,True,No
872,F is a Q.,Q is an equivalent class of C.,"Given the previous statements, is F a D?",No,F is not a D.,False,No
833,E is a D.,D is an equivalent class of I.,"Given the previous statements, is E a K?",No,E is not a K.,False,No
900,G is a A.,A is an equivalent class of E.,"Given the previous statements, is G a J?",No,G is not a J.,False,No
1339,T is a L.,L is an equivalent class of B.,"Given the previous statements, is T a U?",No,T is not a U.,False,No
1093,M is a Z.,Z is an equivalent class of K.,"Given the previous statements, is M a H?",No,M is not a H.,False,No
22,A is a G.,G is an equivalent class of W.,"Given the previous statements, is A a W?",Yes,A is a W.,True,No
161,E is a U.,U is an equivalent class of L.,"Given the previous statements, is E a L?",Yes,E is a L.,True,No
1374,U is a G.,G is an equivalent class of O.,"Given the previous statements, is U a Y?",No,U is not a Y.,False,No
706,A is a K.,K is an equivalent class of U.,"Given the previous statements, is A a Q?",No,A is not a Q.,False,No
520,P is a M.,M is an equivalent class of Y.,"Given the previous statements, is P a Y?",Yes,P is a Y.,True,No
320,J is a D.,D is an equivalent class of E.,"Given the previous statements, is J a E?",Yes,J is a E.,True,No
750,B is a Z.,Z is an equivalent class of R.,"Given the previous statements, is B a N?",No,B is not a N.,False,No
796,D is a H.,H is an equivalent class of O.,"Given the previous statements, is D a X?",No,D is not a X.,False,No
671,U is a D.,D is an equivalent class of H.,"Given the previous statements, is U a H?",Yes,U is a H.,True,No
548,Q is a K.,K is an equivalent class of T.,"Given the previous statements, is Q a T?",Yes,Q is a T.,True,No
630,T is a K.,K is an equivalent class of V.,"Given the previous statements, is T a V?",Yes,T is a V.,True,No
571,R is a J.,J is an equivalent class of H.,"Given the previous statements, is R a H?",Yes,R is a H.,True,No
669,U is a W.,W is an equivalent class of V.,"Given the previous statements, is U a V?",Yes,U is a V.,True,No
177,F is a L.,L is an equivalent class of Y.,"Given the previous statements, is F a Y?",Yes,F is a Y.,True,No
863,F is a B.,B is an equivalent class of X.,"Given the previous statements, is F a A?",No,F is not a A.,False,No
374,L is a M.,M is an equivalent class of D.,"Given the previous statements, is L a D?",Yes,L is a D.,True,No
822,D is a B.,B is an equivalent class of M.,"Given the previous statements, is D a O?",No,D is not a O.,False,No
135,E is a X.,X is an equivalent class of O.,"Given the previous statements, is E a O?",Yes,E is a O.,True,No
432,N is a Y.,Y is an equivalent class of V.,"Given the previous statements, is N a V?",Yes,N is a V.,True,No
975,I is a D.,D is an equivalent class of Y.,"Given the previous statements, is I a F?",No,I is not a F.,False,No
1128,N is a W.,W is an equivalent class of L.,"Given the previous statements, is N a K?",No,N is not a K.,False,No
760,C is a K.,K is an equivalent class of A.,"Given the previous statements, is C a E?",No,C is not a E.,False,No
561,Q is a I.,I is an equivalent class of N.,"Given the previous statements, is Q a N?",Yes,Q is a N.,True,No
1155,N is a X.,X is an equivalent class of S.,"Given the previous statements, is N a B?",No,N is not a B.,False,No
878,F is a A.,A is an equivalent class of Z.,"Given the previous statements, is F a E?",No,F is not a E.,False,No
1057,L is a O.,O is an equivalent class of D.,"Given the previous statements, is L a C?",No,L is not a C.,False,No
652,T is a P.,P is an equivalent class of G.,"Given the previous statements, is T a G?",Yes,T is a G.,True,No
1247,Q is a L.,L is an equivalent class of V.,"Given the previous statements, is Q a H?",No,Q is not a H.,False,No
995,J is a U.,U is an equivalent class of W.,"Given the previous statements, is J a X?",No,J is not a X.,False,No
938,H is a Y.,Y is an equivalent class of W.,"Given the previous statements, is H a R?",No,H is not a R.,False,No
389,L is a B.,B is an equivalent class of A.,"Given the previous statements, is L a A?",Yes,L is a A.,True,No
860,F is a V.,V is an equivalent class of S.,"Given the previous statements, is F a J?",No,F is not a J.,False,No
518,P is a H.,H is an equivalent class of W.,"Given the previous statements, is P a W?",Yes,P is a W.,True,No
1225,Q is a D.,D is an equivalent class of F.,"Given the previous statements, is Q a N?",No,Q is not a N.,False,No
1269,R is a G.,G is an equivalent class of M.,"Given the previous statements, is R a E?",No,R is not a E.,False,No
497,P is a Z.,Z is an equivalent class of O.,"Given the previous statements, is P a O?",Yes,P is a O.,True,No
595,S is a W.,W is an equivalent class of P.,"Given the previous statements, is S a P?",Yes,S is a P.,True,No
355,K is a G.,G is an equivalent class of W.,"Given the previous statements, is K a W?",Yes,K is a W.,True,No
515,P is a F.,F is an equivalent class of C.,"Given the previous statements, is P a C?",Yes,P is a C.,True,No
1382,U is a E.,E is an equivalent class of Z.,"Given the previous statements, is U a C?",No,U is not a C.,False,No
808,D is a A.,A is an equivalent class of E.,"Given the previous statements, is D a M?",No,D is not a M.,False,No
1011,J is a K.,K is an equivalent class of W.,"Given the previous statements, is J a O?",No,J is not a O.,False,No
106,D is a T.,T is an equivalent class of F.,"Given the previous statements, is D a F?",Yes,D is a F.,True,No
191,F is a Y.,Y is an equivalent class of H.,"Given the previous statements, is F a H?",Yes,F is a H.,True,No
268,I is a W.,W is an equivalent class of M.,"Given the previous statements, is I a M?",Yes,I is a M.,True,No
612,S is a E.,E is an equivalent class of Z.,"Given the previous statements, is S a Z?",Yes,S is a Z.,True,No
987,I is a R.,R is an equivalent class of N.,"Given the previous statements, is I a A?",No,I is not a A.,False,No
543,Q is a H.,H is an equivalent class of J.,"Given the previous statements, is Q a J?",Yes,Q is a J.,True,No
264,H is a A.,A is an equivalent class of Q.,"Given the previous statements, is H a Q?",Yes,H is a Q.,True,No
857,E is a F.,F is an equivalent class of C.,"Given the previous statements, is E a U?",No,E is not a U.,False,No
941,H is a L.,L is an equivalent class of V.,"Given the previous statements, is H a W?",No,H is not a W.,False,No
453,N is a B.,B is an equivalent class of F.,"Given the previous statements, is N a F?",Yes,N is a F.,True,No
1270,R is a O.,O is an equivalent class of B.,"Given the previous statements, is R a K?",No,R is not a K.,False,No
705,A is a O.,O is an equivalent class of K.,"Given the previous statements, is A a Z?",No,A is not a Z.,False,No
1008,J is a B.,B is an equivalent class of C.,"Given the previous statements, is J a M?",No,J is not a M.,False,No
657,T is a E.,E is an equivalent class of F.,"Given the previous statements, is T a F?",Yes,T is a F.,True,No
806,D is a V.,V is an equivalent class of X.,"Given the previous statements, is D a P?",No,D is not a P.,False,No
1362,U is a J.,J is an equivalent class of S.,"Given the previous statements, is U a R?",No,U is not a R.,False,No
419,M is a I.,I is an equivalent class of Y.,"Given the previous statements, is M a Y?",Yes,M is a Y.,True,No
