ID,triple1,question,answer,inferred triple,label
1,A is different from V.,"Given the previous statements, is V diferent from A?",Yes,V is different from A.,True
2,A is different from P.,"Given the previous statements, is P diferent from A?",Yes,P is different from A.,True
3,A is different from J.,"Given the previous statements, is J diferent from A?",Yes,J is different from A.,True
4,A is different from E.,"Given the previous statements, is E diferent from A?",Yes,E is different from A.,True
5,A is different from W.,"Given the previous statements, is W diferent from A?",Yes,W is different from A.,True
6,A is different from C.,"Given the previous statements, is C diferent from A?",Yes,C is different from A.,True
7,A is different from C.,"Given the previous statements, is C diferent from A?",Yes,C is different from A.,True
8,A is different from H.,"Given the previous statements, is H diferent from A?",Yes,H is different from A.,True
9,A is different from X.,"Given the previous statements, is X diferent from A?",Yes,X is different from A.,True
10,A is different from M.,"Given the previous statements, is M diferent from A?",Yes,M is different from A.,True
11,A is different from M.,"Given the previous statements, is M diferent from A?",Yes,M is different from A.,True
12,A is different from I.,"Given the previous statements, is I diferent from A?",Yes,I is different from A.,True
13,A is different from F.,"Given the previous statements, is F diferent from A?",Yes,F is different from A.,True
14,A is different from V.,"Given the previous statements, is V diferent from A?",Yes,V is different from A.,True
15,A is different from T.,"Given the previous statements, is T diferent from A?",Yes,T is different from A.,True
16,A is different from S.,"Given the previous statements, is S diferent from A?",Yes,S is different from A.,True
17,A is different from P.,"Given the previous statements, is P diferent from A?",Yes,P is different from A.,True
18,A is different from F.,"Given the previous statements, is F diferent from A?",Yes,F is different from A.,True
19,A is different from N.,"Given the previous statements, is N diferent from A?",Yes,N is different from A.,True
20,A is different from Q.,"Given the previous statements, is Q diferent from A?",Yes,Q is different from A.,True
21,A is different from G.,"Given the previous statements, is G diferent from A?",Yes,G is different from A.,True
22,A is different from Q.,"Given the previous statements, is Q diferent from A?",Yes,Q is different from A.,True
23,A is different from J.,"Given the previous statements, is J diferent from A?",Yes,J is different from A.,True
24,A is different from V.,"Given the previous statements, is V diferent from A?",Yes,V is different from A.,True
25,A is different from L.,"Given the previous statements, is L diferent from A?",Yes,L is different from A.,True
26,A is different from L.,"Given the previous statements, is L diferent from A?",Yes,L is different from A.,True
27,A is different from T.,"Given the previous statements, is T diferent from A?",Yes,T is different from A.,True
28,A is different from O.,"Given the previous statements, is O diferent from A?",Yes,O is different from A.,True
29,A is different from K.,"Given the previous statements, is K diferent from A?",Yes,K is different from A.,True
30,A is different from H.,"Given the previous statements, is H diferent from A?",Yes,H is different from A.,True
31,A is different from W.,"Given the previous statements, is W diferent from A?",Yes,W is different from A.,True
32,A is different from O.,"Given the previous statements, is O diferent from A?",Yes,O is different from A.,True
33,A is different from H.,"Given the previous statements, is H diferent from A?",Yes,H is different from A.,True
34,A is different from D.,"Given the previous statements, is D diferent from A?",Yes,D is different from A.,True
35,A is different from O.,"Given the previous statements, is O diferent from A?",Yes,O is different from A.,True
36,A is different from F.,"Given the previous statements, is F diferent from A?",Yes,F is different from A.,True
37,A is different from Z.,"Given the previous statements, is Z diferent from A?",Yes,Z is different from A.,True
38,A is different from Z.,"Given the previous statements, is Z diferent from A?",Yes,Z is different from A.,True
39,A is different from F.,"Given the previous statements, is F diferent from A?",Yes,F is different from A.,True
40,A is different from V.,"Given the previous statements, is V diferent from A?",Yes,V is different from A.,True
41,B is different from Q.,"Given the previous statements, is Q diferent from B?",Yes,Q is different from B.,True
42,B is different from Z.,"Given the previous statements, is Z diferent from B?",Yes,Z is different from B.,True
43,B is different from C.,"Given the previous statements, is C diferent from B?",Yes,C is different from B.,True
44,B is different from O.,"Given the previous statements, is O diferent from B?",Yes,O is different from B.,True
45,B is different from I.,"Given the previous statements, is I diferent from B?",Yes,I is different from B.,True
46,B is different from P.,"Given the previous statements, is P diferent from B?",Yes,P is different from B.,True
47,B is different from U.,"Given the previous statements, is U diferent from B?",Yes,U is different from B.,True
48,B is different from M.,"Given the previous statements, is M diferent from B?",Yes,M is different from B.,True
49,B is different from C.,"Given the previous statements, is C diferent from B?",Yes,C is different from B.,True
50,B is different from Y.,"Given the previous statements, is Y diferent from B?",Yes,Y is different from B.,True
51,B is different from W.,"Given the previous statements, is W diferent from B?",Yes,W is different from B.,True
52,B is different from M.,"Given the previous statements, is M diferent from B?",Yes,M is different from B.,True
53,B is different from F.,"Given the previous statements, is F diferent from B?",Yes,F is different from B.,True
54,B is different from R.,"Given the previous statements, is R diferent from B?",Yes,R is different from B.,True
55,B is different from W.,"Given the previous statements, is W diferent from B?",Yes,W is different from B.,True
56,B is different from T.,"Given the previous statements, is T diferent from B?",Yes,T is different from B.,True
57,B is different from D.,"Given the previous statements, is D diferent from B?",Yes,D is different from B.,True
58,B is different from P.,"Given the previous statements, is P diferent from B?",Yes,P is different from B.,True
59,B is different from M.,"Given the previous statements, is M diferent from B?",Yes,M is different from B.,True
60,B is different from C.,"Given the previous statements, is C diferent from B?",Yes,C is different from B.,True
61,B is different from A.,"Given the previous statements, is A diferent from B?",Yes,A is different from B.,True
62,B is different from Z.,"Given the previous statements, is Z diferent from B?",Yes,Z is different from B.,True
63,B is different from T.,"Given the previous statements, is T diferent from B?",Yes,T is different from B.,True
64,B is different from D.,"Given the previous statements, is D diferent from B?",Yes,D is different from B.,True
65,B is different from Z.,"Given the previous statements, is Z diferent from B?",Yes,Z is different from B.,True
66,B is different from J.,"Given the previous statements, is J diferent from B?",Yes,J is different from B.,True
67,B is different from U.,"Given the previous statements, is U diferent from B?",Yes,U is different from B.,True
68,B is different from Q.,"Given the previous statements, is Q diferent from B?",Yes,Q is different from B.,True
69,B is different from Z.,"Given the previous statements, is Z diferent from B?",Yes,Z is different from B.,True
70,B is different from E.,"Given the previous statements, is E diferent from B?",Yes,E is different from B.,True
71,B is different from T.,"Given the previous statements, is T diferent from B?",Yes,T is different from B.,True
72,B is different from J.,"Given the previous statements, is J diferent from B?",Yes,J is different from B.,True
73,B is different from T.,"Given the previous statements, is T diferent from B?",Yes,T is different from B.,True
74,B is different from S.,"Given the previous statements, is S diferent from B?",Yes,S is different from B.,True
75,B is different from L.,"Given the previous statements, is L diferent from B?",Yes,L is different from B.,True
76,B is different from Z.,"Given the previous statements, is Z diferent from B?",Yes,Z is different from B.,True
77,B is different from P.,"Given the previous statements, is P diferent from B?",Yes,P is different from B.,True
78,B is different from Q.,"Given the previous statements, is Q diferent from B?",Yes,Q is different from B.,True
79,B is different from C.,"Given the previous statements, is C diferent from B?",Yes,C is different from B.,True
80,B is different from K.,"Given the previous statements, is K diferent from B?",Yes,K is different from B.,True
81,C is different from U.,"Given the previous statements, is U diferent from C?",Yes,U is different from C.,True
82,C is different from Q.,"Given the previous statements, is Q diferent from C?",Yes,Q is different from C.,True
83,C is different from T.,"Given the previous statements, is T diferent from C?",Yes,T is different from C.,True
84,C is different from K.,"Given the previous statements, is K diferent from C?",Yes,K is different from C.,True
85,C is different from H.,"Given the previous statements, is H diferent from C?",Yes,H is different from C.,True
86,C is different from P.,"Given the previous statements, is P diferent from C?",Yes,P is different from C.,True
87,C is different from H.,"Given the previous statements, is H diferent from C?",Yes,H is different from C.,True
88,C is different from D.,"Given the previous statements, is D diferent from C?",Yes,D is different from C.,True
89,C is different from V.,"Given the previous statements, is V diferent from C?",Yes,V is different from C.,True
90,C is different from N.,"Given the previous statements, is N diferent from C?",Yes,N is different from C.,True
91,C is different from Q.,"Given the previous statements, is Q diferent from C?",Yes,Q is different from C.,True
92,C is different from B.,"Given the previous statements, is B diferent from C?",Yes,B is different from C.,True
93,C is different from H.,"Given the previous statements, is H diferent from C?",Yes,H is different from C.,True
94,C is different from A.,"Given the previous statements, is A diferent from C?",Yes,A is different from C.,True
95,C is different from Y.,"Given the previous statements, is Y diferent from C?",Yes,Y is different from C.,True
96,C is different from U.,"Given the previous statements, is U diferent from C?",Yes,U is different from C.,True
97,C is different from Y.,"Given the previous statements, is Y diferent from C?",Yes,Y is different from C.,True
98,C is different from D.,"Given the previous statements, is D diferent from C?",Yes,D is different from C.,True
99,C is different from P.,"Given the previous statements, is P diferent from C?",Yes,P is different from C.,True
100,C is different from K.,"Given the previous statements, is K diferent from C?",Yes,K is different from C.,True
101,C is different from A.,"Given the previous statements, is A diferent from C?",Yes,A is different from C.,True
102,C is different from O.,"Given the previous statements, is O diferent from C?",Yes,O is different from C.,True
103,C is different from D.,"Given the previous statements, is D diferent from C?",Yes,D is different from C.,True
104,C is different from B.,"Given the previous statements, is B diferent from C?",Yes,B is different from C.,True
105,C is different from M.,"Given the previous statements, is M diferent from C?",Yes,M is different from C.,True
106,C is different from G.,"Given the previous statements, is G diferent from C?",Yes,G is different from C.,True
107,C is different from S.,"Given the previous statements, is S diferent from C?",Yes,S is different from C.,True
108,C is different from K.,"Given the previous statements, is K diferent from C?",Yes,K is different from C.,True
109,C is different from X.,"Given the previous statements, is X diferent from C?",Yes,X is different from C.,True
110,C is different from V.,"Given the previous statements, is V diferent from C?",Yes,V is different from C.,True
111,C is different from B.,"Given the previous statements, is B diferent from C?",Yes,B is different from C.,True
112,C is different from R.,"Given the previous statements, is R diferent from C?",Yes,R is different from C.,True
113,C is different from T.,"Given the previous statements, is T diferent from C?",Yes,T is different from C.,True
114,C is different from W.,"Given the previous statements, is W diferent from C?",Yes,W is different from C.,True
115,C is different from U.,"Given the previous statements, is U diferent from C?",Yes,U is different from C.,True
116,C is different from D.,"Given the previous statements, is D diferent from C?",Yes,D is different from C.,True
117,C is different from A.,"Given the previous statements, is A diferent from C?",Yes,A is different from C.,True
118,C is different from I.,"Given the previous statements, is I diferent from C?",Yes,I is different from C.,True
119,C is different from F.,"Given the previous statements, is F diferent from C?",Yes,F is different from C.,True
120,C is different from X.,"Given the previous statements, is X diferent from C?",Yes,X is different from C.,True
121,D is different from I.,"Given the previous statements, is I diferent from D?",Yes,I is different from D.,True
122,D is different from L.,"Given the previous statements, is L diferent from D?",Yes,L is different from D.,True
123,D is different from E.,"Given the previous statements, is E diferent from D?",Yes,E is different from D.,True
124,D is different from V.,"Given the previous statements, is V diferent from D?",Yes,V is different from D.,True
125,D is different from G.,"Given the previous statements, is G diferent from D?",Yes,G is different from D.,True
126,D is different from R.,"Given the previous statements, is R diferent from D?",Yes,R is different from D.,True
127,D is different from S.,"Given the previous statements, is S diferent from D?",Yes,S is different from D.,True
128,D is different from S.,"Given the previous statements, is S diferent from D?",Yes,S is different from D.,True
129,D is different from H.,"Given the previous statements, is H diferent from D?",Yes,H is different from D.,True
130,D is different from X.,"Given the previous statements, is X diferent from D?",Yes,X is different from D.,True
131,D is different from O.,"Given the previous statements, is O diferent from D?",Yes,O is different from D.,True
132,D is different from Y.,"Given the previous statements, is Y diferent from D?",Yes,Y is different from D.,True
133,D is different from S.,"Given the previous statements, is S diferent from D?",Yes,S is different from D.,True
134,D is different from W.,"Given the previous statements, is W diferent from D?",Yes,W is different from D.,True
135,D is different from J.,"Given the previous statements, is J diferent from D?",Yes,J is different from D.,True
136,D is different from S.,"Given the previous statements, is S diferent from D?",Yes,S is different from D.,True
137,D is different from M.,"Given the previous statements, is M diferent from D?",Yes,M is different from D.,True
138,D is different from V.,"Given the previous statements, is V diferent from D?",Yes,V is different from D.,True
139,D is different from U.,"Given the previous statements, is U diferent from D?",Yes,U is different from D.,True
140,D is different from T.,"Given the previous statements, is T diferent from D?",Yes,T is different from D.,True
141,D is different from T.,"Given the previous statements, is T diferent from D?",Yes,T is different from D.,True
142,D is different from E.,"Given the previous statements, is E diferent from D?",Yes,E is different from D.,True
143,D is different from K.,"Given the previous statements, is K diferent from D?",Yes,K is different from D.,True
144,D is different from P.,"Given the previous statements, is P diferent from D?",Yes,P is different from D.,True
145,D is different from Y.,"Given the previous statements, is Y diferent from D?",Yes,Y is different from D.,True
146,D is different from Z.,"Given the previous statements, is Z diferent from D?",Yes,Z is different from D.,True
147,D is different from K.,"Given the previous statements, is K diferent from D?",Yes,K is different from D.,True
148,D is different from M.,"Given the previous statements, is M diferent from D?",Yes,M is different from D.,True
149,D is different from A.,"Given the previous statements, is A diferent from D?",Yes,A is different from D.,True
150,D is different from V.,"Given the previous statements, is V diferent from D?",Yes,V is different from D.,True
151,D is different from R.,"Given the previous statements, is R diferent from D?",Yes,R is different from D.,True
152,D is different from J.,"Given the previous statements, is J diferent from D?",Yes,J is different from D.,True
153,D is different from M.,"Given the previous statements, is M diferent from D?",Yes,M is different from D.,True
154,D is different from U.,"Given the previous statements, is U diferent from D?",Yes,U is different from D.,True
155,D is different from B.,"Given the previous statements, is B diferent from D?",Yes,B is different from D.,True
156,D is different from Q.,"Given the previous statements, is Q diferent from D?",Yes,Q is different from D.,True
157,D is different from Z.,"Given the previous statements, is Z diferent from D?",Yes,Z is different from D.,True
158,D is different from N.,"Given the previous statements, is N diferent from D?",Yes,N is different from D.,True
159,D is different from M.,"Given the previous statements, is M diferent from D?",Yes,M is different from D.,True
160,D is different from C.,"Given the previous statements, is C diferent from D?",Yes,C is different from D.,True
161,E is different from Q.,"Given the previous statements, is Q diferent from E?",Yes,Q is different from E.,True
162,E is different from A.,"Given the previous statements, is A diferent from E?",Yes,A is different from E.,True
163,E is different from T.,"Given the previous statements, is T diferent from E?",Yes,T is different from E.,True
164,E is different from R.,"Given the previous statements, is R diferent from E?",Yes,R is different from E.,True
165,E is different from T.,"Given the previous statements, is T diferent from E?",Yes,T is different from E.,True
166,E is different from U.,"Given the previous statements, is U diferent from E?",Yes,U is different from E.,True
167,E is different from L.,"Given the previous statements, is L diferent from E?",Yes,L is different from E.,True
168,E is different from T.,"Given the previous statements, is T diferent from E?",Yes,T is different from E.,True
169,E is different from B.,"Given the previous statements, is B diferent from E?",Yes,B is different from E.,True
170,E is different from G.,"Given the previous statements, is G diferent from E?",Yes,G is different from E.,True
