ID,triple1,triple2,triple3,question,answer,inferred triple,label,LLM output
1891,I T 58.,C T 20.,T is a functional property.,"Given the previous statements, is C the same as I?",No,C is not the same as I.,False,"Yes, C is the same as I."
69,A W 89.,J W 89.,W is a functional property.,"Given the previous statements, is J the same as A?",Yes,J is the same as A.,True,"Yes, J and A are the same."
1848,I F 53.,M F 9.,F is a functional property.,"Given the previous statements, is M the same as I?",No,M is not the same as I.,False,"Yes, M and I are the same."
1207,C D 57.,S D 80.,D is a functional property.,"Given the previous statements, is S the same as C?",No,S is not the same as C.,False,"No, S is not the same as C."
186,B S 29.,K S 29.,S is a functional property.,"Given the previous statements, is K the same as B?",Yes,K is the same as B.,True,"Yes, K is the same as B."
1537,F E 95.,I E 9.,E is a functional property.,"Given the previous statements, is I the same as F?",No,I is not the same as F.,False,"Yes, I and F are the same."
401,E Y 87.,T Y 87.,Y is a functional property.,"Given the previous statements, is T the same as E?",Yes,T is the same as E.,True,"Yes, T and E are the same."
118,B J 28.,Q J 28.,J is a functional property.,"Given the previous statements, is Q the same as B?",Yes,Q is the same as B.,True,"Yes, Q and B are the same."
1676,G W 16.,J W 32.,W is a functional property.,"Given the previous statements, is J the same as G?",No,J is not the same as G.,False,no
1022,A Q 51.,Z Q 26.,Q is a functional property.,"Given the previous statements, is Z the same as A?",No,Z is not the same as A.,False,"Yes, Z is the same as A."
1845,I J 48.,S J 18.,J is a functional property.,"Given the previous statements, is S the same as I?",No,S is not the same as I.,False,"Yes, S and I are the same."
197,B D 59.,G D 59.,D is a functional property.,"Given the previous statements, is G the same as B?",Yes,G is the same as B.,True,"Yes, G and B are the same."
1657,G U 82.,A U 59.,U is a functional property.,"Given the previous statements, is A the same as G?",No,A is not the same as G.,False,"Yes, A and G are the same."
424,E V 37.,D V 37.,V is a functional property.,"Given the previous statements, is D the same as E?",Yes,D is the same as E.,True,"Yes, D and E are the same."
1352,D P 84.,K P 13.,P is a functional property.,"Given the previous statements, is K the same as D?",No,K is not the same as D.,False,no
1738,H D 4.,W D 88.,D is a functional property.,"Given the previous statements, is W the same as H?",No,W is not the same as H.,False,"Yes, W and H are the same."
1517,F U 38.,V U 21.,U is a functional property.,"Given the previous statements, is V the same as F?",No,V is not the same as F.,False,"No, V is not the same as F."
1928,J Y 1.,M Y 74.,Y is a functional property.,"Given the previous statements, is M the same as J?",No,M is not the same as J.,False,"Yes, M and J are the same."
551,F K 45.,W K 45.,K is a functional property.,"Given the previous statements, is W the same as F?",Yes,W is the same as F.,True,"Yes, W is the same as F."
941,J W 6.,M W 6.,W is a functional property.,"Given the previous statements, is M the same as J?",Yes,M is the same as J.,True,"Yes, M and J are the same."
317,D N 37.,C N 37.,N is a functional property.,"Given the previous statements, is C the same as D?",Yes,C is the same as D.,True,"Yes, C and D are the same."
1010,A M 49.,U M 54.,M is a functional property.,"Given the previous statements, is U the same as A?",No,U is not the same as A.,False,"Yes, U is the same as A."
168,B U 79.,Z U 79.,U is a functional property.,"Given the previous statements, is Z the same as B?",Yes,Z is the same as B.,True,"Yes, Z is the same as B."
1825,I S 6.,D S 34.,S is a functional property.,"Given the previous statements, is D the same as I?",No,D is not the same as I.,False,"Yes, D and I are the same."
870,I Y 79.,X Y 79.,Y is a functional property.,"Given the previous statements, is X the same as I?",Yes,X is the same as I.,True,"Yes, X is the same as I."
367,D T 72.,G T 72.,T is a functional property.,"Given the previous statements, is G the same as D?",Yes,G is the same as D.,True,"Yes, G and D are the same."
1203,C O 92.,T O 80.,O is a functional property.,"Given the previous statements, is T the same as C?",No,T is not the same as C.,False,"Yes, T and C are the same."
1297,C L 86.,G L 60.,L is a functional property.,"Given the previous statements, is G the same as C?",No,G is not the same as C.,False,"Yes, G and C are the same."
1652,G R 49.,K R 70.,R is a functional property.,"Given the previous statements, is K the same as G?",No,K is not the same as G.,False,"Yes, K and G are the same."
1143,B E 91.,K E 82.,E is a functional property.,"Given the previous statements, is K the same as B?",No,K is not the same as B.,False,"Yes, K and B are the same."
1213,C Z 32.,L Z 34.,Z is a functional property.,"Given the previous statements, is L the same as C?",No,L is not the same as C.,False,"Yes, L and C are the same."
1840,I T 40.,H T 56.,T is a functional property.,"Given the previous statements, is H the same as I?",No,H is not the same as I.,False,"Yes, H is the same as I."
221,C Y 31.,T Y 31.,Y is a functional property.,"Given the previous statements, is T the same as C?",Yes,T is the same as C.,True,"Yes, T and C are the same."
461,E U 45.,F U 45.,U is a functional property.,"Given the previous statements, is F the same as E?",Yes,F is the same as E.,True,"Yes, F and E are the same."
1948,J S 43.,U S 38.,S is a functional property.,"Given the previous statements, is U the same as J?",No,U is not the same as J.,False,"Yes, U and J are the same."
115,B E 56.,Q E 56.,E is a functional property.,"Given the previous statements, is Q the same as B?",Yes,Q is the same as B.,True,"Yes, Q and B are the same."
956,J V 97.,D V 97.,V is a functional property.,"Given the previous statements, is D the same as J?",Yes,D is the same as J.,True,"Yes, D is the same as J."
1251,C F 53.,G F 85.,F is a functional property.,"Given the previous statements, is G the same as C?",No,G is not the same as C.,False,"Yes, G is the same as C."
117,B I 50.,N I 50.,I is a functional property.,"Given the previous statements, is N the same as B?",Yes,N is the same as B.,True,"Yes, B and N are the same."
853,I O 87.,L O 87.,O is a functional property.,"Given the previous statements, is L the same as I?",Yes,L is the same as I.,True,"Yes, L is the same as I."
937,J F 20.,U F 20.,F is a functional property.,"Given the previous statements, is U the same as J?",Yes,U is the same as J.,True,"Yes, U and J are the same."
1953,J I 90.,H I 56.,I is a functional property.,"Given the previous statements, is H the same as J?",No,H is not the same as J.,False,"Yes, H and J are the same."
218,C M 15.,T M 15.,M is a functional property.,"Given the previous statements, is T the same as C?",Yes,T is the same as C.,True,"Yes, C and T are the same."
521,F N 92.,B N 92.,N is a functional property.,"Given the previous statements, is B the same as F?",Yes,B is the same as F.,True,"Yes, B and F are the same."
