ID,triple1,triple2,question,answer,inferred triple,label,LLM output
258,C D W.,D has domain U.,"Given the previous statements, is C a U?",Yes,C is a U.,True,No
1169,B F A.,F has domain I.,"Given the previous statements, is B a M?",No,B is not a M.,False,F
1912,J W X.,W has domain Y.,"Given the previous statements, is J a C?",No,J is not a C.,False,No
1303,D Y E.,Y has domain X.,"Given the previous statements, is D a S?",No,D is not a S.,False,No
792,H G S.,G has domain R.,"Given the previous statements, is H a R?",Yes,H is a R.,True,No
924,J Q Z.,Q has domain G.,"Given the previous statements, is J a G?",Yes,J is a G.,True,No
1744,H V N.,V has domain A.,"Given the previous statements, is H a Z?",No,H is not a Z.,False,H
275,C F P.,F has domain Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True,No
40,A U F.,U has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True,No
790,H K F.,K has domain C.,"Given the previous statements, is H a C?",Yes,H is a C.,True,No
734,H E Z.,E has domain T.,"Given the previous statements, is H a T?",Yes,H is a T.,True,No
1202,C L J.,L has domain O.,"Given the previous statements, is C a K?",No,C is not a K.,False,No
919,J T I.,T has domain W.,"Given the previous statements, is J a W?",Yes,J is a W.,True,No
1818,I S Z.,S has domain E.,"Given the previous statements, is I a G?",No,I is not a G.,False,No
1523,F S E.,S has domain V.,"Given the previous statements, is F a P?",No,F is not a P.,False,No
756,H P R.,P has domain B.,"Given the previous statements, is H a B?",Yes,H is a B.,True,No
1927,J L B.,L has domain O.,"Given the previous statements, is J a A?",No,J is not a A.,False,No
1137,B D E.,D has domain H.,"Given the previous statements, is B a W?",No,B is not a W.,False,No
7,A B V.,B has domain W.,"Given the previous statements, is A a W?",Yes,A is a W.,True,Yes
1503,F I G.,I has domain N.,"Given the previous statements, is F a A?",No,F is not a A.,False,No
1748,H W S.,W has domain N.,"Given the previous statements, is H a D?",No,H is not a D.,False,No
243,C P X.,P has domain U.,"Given the previous statements, is C a U?",Yes,C is a U.,True,No
88,A L M.,L has domain U.,"Given the previous statements, is A a U?",Yes,A is a U.,True,No
1323,D C F.,C has domain L.,"Given the previous statements, is D a K?",No,D is not a K.,False,No
562,F P T.,P has domain B.,"Given the previous statements, is F a B?",Yes,F is a B.,True,No
1335,D B R.,B has domain K.,"Given the previous statements, is D a P?",No,D is not a P.,False,No
579,F E S.,E has domain D.,"Given the previous statements, is F a D?",Yes,F is a D.,True,No
511,F A I.,A has domain U.,"Given the previous statements, is F a U?",Yes,F is a U.,True,Yes
1603,G Y J.,Y has domain S.,"Given the previous statements, is G a B?",No,G is not a B.,False,No
1558,F K R.,K has domain L.,"Given the previous statements, is F a U?",No,F is not a U.,False,No
552,F P R.,P has domain D.,"Given the previous statements, is F a D?",Yes,F is a D.,True,No
1953,J L R.,L has domain I.,"Given the previous statements, is J a O?",No,J is not a O.,False,No
918,J F H.,F has domain T.,"Given the previous statements, is J a T?",Yes,J is a T.,True,No
1730,H C D.,C has domain V.,"Given the previous statements, is H a G?",No,H is not a G.,False,No
845,I P E.,P has domain V.,"Given the previous statements, is I a V?",Yes,I is a V.,True,No
1696,G R E.,R has domain N.,"Given the previous statements, is G a J?",No,G is not a J.,False,No
497,E Q L.,Q has domain U.,"Given the previous statements, is E a U?",Yes,E is a U.,True,No
238,C W Y.,W has domain H.,"Given the previous statements, is C a H?",Yes,C is a H.,True,No
898,I W S.,W has domain H.,"Given the previous statements, is I a H?",Yes,I is a H.,True,No
1021,A E R.,E has domain S.,"Given the previous statements, is A a W?",No,A is not a W.,False,No
1673,G O Z.,O has domain H.,"Given the previous statements, is G a F?",No,G is not a F.,False,No
1410,E F L.,F has domain V.,"Given the previous statements, is E a J?",No,E is not a J.,False,No
659,G K Q.,K has domain B.,"Given the previous statements, is G a B?",Yes,G is a B.,True,No
753,H U J.,U has domain M.,"Given the previous statements, is H a M?",Yes,H is a M.,True,No
1406,E W L.,W has domain H.,"Given the previous statements, is E a T?",No,E is not a T.,False,No
1443,E P F.,P has domain K.,"Given the previous statements, is E a C?",No,E is not a C.,False,No
1060,A Z O.,Z has domain L.,"Given the previous statements, is A a K?",No,A is not a K.,False,No
1146,B J I.,J has domain D.,"Given the previous statements, is B a C?",No,B is not a C.,False,No
1322,D O B.,O has domain C.,"Given the previous statements, is D a R?",No,D is not a R.,False,No
708,H D T.,D has domain V.,"Given the previous statements, is H a V?",Yes,H is a V.,True,No
229,C T D.,T has domain M.,"Given the previous statements, is C a M?",Yes,C is a M.,True,No
757,H D X.,D has domain J.,"Given the previous statements, is H a J?",Yes,H is a J.,True,No
428,E I C.,I has domain V.,"Given the previous statements, is E a V?",Yes,E is a V.,True,No
1061,A B P.,B has domain H.,"Given the previous statements, is A a N?",No,A is not a N.,False,No
1680,G J W.,J has domain A.,"Given the previous statements, is G a N?",No,G is not a N.,False,No
1200,B A M.,A has domain C.,"Given the previous statements, is B a Z?",No,B is not a Z.,False,No
1612,G Q S.,Q has domain O.,"Given the previous statements, is G a D?",No,G is not a D.,False,No
470,E G J.,G has domain H.,"Given the previous statements, is E a H?",Yes,E is a H.,True,No
1008,A V U.,V has domain B.,"Given the previous statements, is A a Q?",No,A is not a Q.,False,No
1415,E Q G.,Q has domain C.,"Given the previous statements, is E a L?",No,E is not a L.,False,No
114,B U C.,U has domain I.,"Given the previous statements, is B a I?",Yes,B is a I.,True,No
1031,A Y P.,Y has domain O.,"Given the previous statements, is A a F?",No,A is not a F.,False,No
329,D I J.,I has domain M.,"Given the previous statements, is D a M?",Yes,D is a M.,True,No
1857,I V S.,V has domain X.,"Given the previous statements, is I a Y?",No,I is not a Y.,False,No
1151,B Y G.,Y has domain O.,"Given the previous statements, is B a Z?",No,B is not a Z.,False,No
1554,F E Q.,E has domain L.,"Given the previous statements, is F a T?",No,F is not a T.,False,No
1872,I Y J.,Y has domain M.,"Given the previous statements, is I a R?",No,I is not a R.,False,No
250,C X I.,X has domain V.,"Given the previous statements, is C a V?",Yes,C is a V.,True,No
1127,B E I.,E has domain O.,"Given the previous statements, is B a C?",No,B is not a C.,False,No
610,G N Q.,N has domain M.,"Given the previous statements, is G a M?",Yes,G is a M.,True,No
781,H K A.,K has domain B.,"Given the previous statements, is H a B?",Yes,H is a B.,True,H
1300,C R Y.,R has domain J.,"Given the previous statements, is C a N?",No,C is not a N.,False,No
1984,J E N.,E has domain B.,"Given the previous statements, is J a Q?",No,J is not a Q.,False,No
1670,G E J.,E has domain V.,"Given the previous statements, is G a X?",No,G is not a X.,False,No
63,A J B.,J has domain Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True,No
1618,G B N.,B has domain W.,"Given the previous statements, is G a E?",No,G is not a E.,False,No
1458,E U L.,U has domain S.,"Given the previous statements, is E a J?",No,E is not a J.,False,No
1547,F Z R.,Z has domain Y.,"Given the previous statements, is F a T?",No,F is not a T.,False,No
1015,A T P.,T has domain F.,"Given the previous statements, is A a X?",No,A is not a X.,False,No
647,G A Z.,A has domain V.,"Given the previous statements, is G a V?",Yes,G is a V.,True,No
1489,E H K.,H has domain S.,"Given the previous statements, is E a Z?",No,E is not a Z.,False,No
827,I L P.,L has domain H.,"Given the previous statements, is I a H?",Yes,I is a H.,True,No
201,C M Y.,M has domain S.,"Given the previous statements, is C a S?",Yes,C is a S.,True,No
539,F I Z.,I has domain L.,"Given the previous statements, is F a L?",Yes,F is a L.,True,No
