ID,triple1,question,answer,inferred triple,label,LLM output
1331,Canadian Pacific Air Lines is different from Canadian Pacific Air Lines.,"Given the previous statement, is California Pacific Airlines an Canadian Pacific Air Lines?",No,California Pacific Airlines is not different from Canadian Pacific Air Lines.,False,"No, California Pacific Airlines is not an airline."
288,Camptosaurus is different from Camposaurus.,"Given the previous statement, is Camposaurus an Camptosaurus?",Yes,Camposaurus is different from Camptosaurus.,True,"Yes, Camposaurus is different from Camptosaurus."
677,Carlos Olsen is different from Carlos Olses.,"Given the previous statement, is Carlos Olses an Carlos Olsen?",Yes,Carlos Olses is different from Carlos Olsen.,True,"Yes, Carlos Olsen is different from Carlos Olses."
1876,Castle in the Air is different from Castle in the Air.,"Given the previous statement, is The Air an Castle in the Air?",No,The Air is not different from Castle in the Air.,False,"Yes, The Air is an Castle in the Air."
586,Cariboo River Provincial Park is different from Caribou River Provincial Park.,"Given the previous statement, is Caribou River Provincial Park an Cariboo River Provincial Park?",Yes,Caribou River Provincial Park is different from Cariboo River Provincial Park.,True,"No, Caribou River Provincial Park is not an Cariboo River Provincial Park."
1590,Carl Albert Andersen is different from Carl Albert Andersen.,"Given the previous statement, is Carl Albert Anderson an Carl Albert Andersen?",No,Carl Albert Anderson is not different from Carl Albert Andersen.,False,"No, Carl Albert Anderson is not Carl Albert Andersen."
824,Casapueblo is different from Casa Pueblo.,"Given the previous statement, is Casa Pueblo an Casapueblo?",Yes,Casa Pueblo is different from Casapueblo.,True,"No, Casa Pueblo is not an Casapueblo."
291,Campy Russell is different from Cazzie Russell.,"Given the previous statement, is Cazzie Russell an Campy Russell?",Yes,Cazzie Russell is different from Campy Russell.,True,"Yes, Cazzie Russell is different from Campy Russell."
97,Caldicott School is different from Caldicot School.,"Given the previous statement, is Caldicot School an Caldicott School?",Yes,Caldicot School is different from Caldicott School.,True,"No, Caldicot School is not an Caldicott School."
1489,Capital Region International Airport is different from Capital Region International Airport.,"Given the previous statement, is Capital City Airport an Capital Region International Airport?",No,Capital City Airport is not different from Capital Region International Airport.,False,"Yes, Capital City Airport is an Capital Region International Airport."
1973,American Sugar Refining is different from American Sugar Refining.,"Given the previous statement, is American Sugar Refining Company an American Sugar Refining?",No,American Sugar Refining Company is not different from American Sugar Refining.,False,"Yes, American Sugar Refining Company is an American Sugar Refining."
579,Caretaker is different from The Caretaker.,"Given the previous statement, is The Caretaker an Caretaker?",Yes,The Caretaker is different from Caretaker.,True,"Yes, The Caretaker is different from The Caretaker."
184,Camano Island is different from Camino Island.,"Given the previous statement, is Camino Island an Camano Island?",Yes,Camino Island is different from Camano Island.,True,"No, Camino Island is not a Camano Island."
1052,Cagua is different from Cagua.,"Given the previous statement, is Puerto Rico an Cagua?",No,Puerto Rico is not different from Cagua.,False,"No, Puerto Rico is not an Cagua."
77,Calabazar is different from Calabazar de Sagua.,"Given the previous statement, is Calabazar de Sagua an Calabazar?",Yes,Calabazar de Sagua is different from Calabazar.,True,"No, Calabazar de Sagua is not an Calabazar."
904,Catalan Countries is different from Catalan counties.,"Given the previous statement, is Catalan counties an Catalan Countries?",Yes,Catalan counties is different from Catalan Countries.,True,"Yes, Catalan counties are different from Catalan countries."
86,Calaveras Hills High School is different from Calavera Hills School.,"Given the previous statement, is Calavera Hills School an Calaveras Hills High School?",Yes,Calavera Hills School is different from Calaveras Hills High School.,True,"No, Calaveras Hills High School is not the same as Calavera"
113,Calendar is different from Calender.,"Given the previous statement, is Calender an Calendar?",Yes,Calender is different from Calendar.,True,"Yes, Calendar is different from Calender."
1787,Carson and Others v. The United Kingdom is different from Carson and Others v. The United Kingdom.,"Given the previous statement, is Others v. The United Kingdom an Carson and Others v. The United Kingdom?",No,Others v. The United Kingdom is not different from Carson and Others v. The United Kingdom.,False,"Yes, Others v. The United Kingdom is an Carson and Others v. The United"
157,Callipelis is different from Callipeltis.,"Given the previous statement, is Callipeltis an Callipelis?",Yes,Callipeltis is different from Callipelis.,True,"Yes, Callipeltis is an Callipelis."
1160,Callocladia is different from Callocladia.,"Given the previous statement, is Calocladia elegans an Callocladia?",No,Calocladia elegans is not different from Callocladia.,False,"No, Calocladia elegans is not an Callocladia."
1870,Castle Donington is different from Castle Donington.,"Given the previous statement, is Castle Donnington an Castle Donington?",No,Castle Donnington is not different from Castle Donington.,False,"Yes, Castle Donington is an example of a castle."
1426,"Canora, Edmonton is different from Canora, Edmonton.","Given the previous statement, is Edmonton an Canora, Edmonton?",No,"Edmonton is not different from Canora, Edmonton.",False,"Yes, Edmonton is an Canora, Edmonton."
1832,Casetta is different from Casetta.,"Given the previous statement, is Belén Casetta an Casetta?",No,Belén Casetta is not different from Casetta.,False,"Yes, Belén Casetta is an Casetta."
1322,Canadian Amateur Hockey League is different from Canadian Amateur Hockey League.,"Given the previous statement, is Canadian Amateur Hockey Association an Canadian Amateur Hockey League?",No,Canadian Amateur Hockey Association is not different from Canadian Amateur Hockey League.,False,"Yes, the Canadian Amateur Hockey Association is an affiliate of the Canadian Amateur Hockey League."
962,American Orthodox Catholic Church is different from Orthodox Church.,"Given the previous statement, is Orthodox Church an American Orthodox Catholic Church?",Yes,Orthodox Church is different from American Orthodox Catholic Church.,True,"Yes, the American Orthodox Catholic Church is different from the Orthodox Church."
1978,American University of London is different from American University of London.,"Given the previous statement, is Richmond an American University of London?",No,Richmond is not different from American University of London.,False,"No, Richmond is not an American University of London."
1156,Callipelis is different from Callipelis.,"Given the previous statement, is Callilepis an Callipelis?",No,Callilepis is not different from Callipelis.,False,"No, Callilepis is not an Callipelis."
748,Carolyn Hayes is different from Caroline Hayes.,"Given the previous statement, is Caroline Hayes an Carolyn Hayes?",Yes,Caroline Hayes is different from Carolyn Hayes.,True,"No, Carolyn Hayes is not Carolyn Hayes."
638,Carlo de' Medici is different from Carlo de' Medici.,"Given the previous statement, is Carlo de' Medici an Carlo de' Medici?",Yes,Carlo de' Medici is different from Carlo de' Medici.,True,"Yes, Carlo de' Medici is an Carlo de' Medici."
897,Castra of Buciumi is different from Castra of Bucium.,"Given the previous statement, is Castra of Bucium an Castra of Buciumi?",Yes,Castra of Bucium is different from Castra of Buciumi.,True,"Yes, Castra of Bucium is an Castra of Bucium."
527,CarMax is different from Carfax.,"Given the previous statement, is Carfax an CarMax?",Yes,Carfax is different from CarMax.,True,"No, Carfax is not an CarMax."
279,Campbeltown railway station is different from Campbelltown railway station.,"Given the previous statement, is Campbelltown railway station an Campbeltown railway station?",Yes,Campbelltown railway station is different from Campbeltown railway station.,True,"Yes, Campbeltown railway station is different from Campbelltown railway station."
220,Cambridge Students' Union is different from Cambridge Union.,"Given the previous statement, is Cambridge Union an Cambridge Students' Union?",Yes,Cambridge Union is different from Cambridge Students' Union.,True,"Yes, Cambridge Students' Union is different from Cambridge Union."
1230,Camden City Hall is different from Camden City Hall.,"Given the previous statement, is Camden Town Hall an Camden City Hall?",No,Camden Town Hall is not different from Camden City Hall.,False,"No, Camden Town Hall is not an Camden City Hall."
550,Carbonari is different from Carabinieri.,"Given the previous statement, is Carabinieri an Carbonari?",Yes,Carabinieri is different from Carbonari.,True,"No, Carbonari are not Carabinieri."
1907,Catan is different from Catan.,"Given the previous statement, is Catan an Catan?",No,Catan is not different from Catan.,False,"Yes, Catan is different from Catan."
1570,Cardinal de Rohan is different from Cardinal de Rohan.,"Given the previous statement, is Armand Gaston Maximilien de Rohan an Cardinal de Rohan?",No,Armand Gaston Maximilien de Rohan is not different from Cardinal de Rohan.,False,"Yes, Armand Gaston Maximilien de Rohan is an Cardinal de Rohan."
1622,"Carleton, West Yorkshire is different from Carleton, West Yorkshire.","Given the previous statement, is Carlton an Carleton, West Yorkshire?",No,"Carlton is not different from Carleton, West Yorkshire.",False,"No, Carlton is not Carleton, West Yorkshire."
917,Amco is different from Amoco.,"Given the previous statement, is Amoco an Amco?",Yes,Amoco is different from Amco.,True,"No, Amco is not an Amco."
1380,Canning is different from Canning.,"Given the previous statement, is Caning an Canning?",No,Caning is not different from Canning.,False,"Yes, caning and caning are both types of cooking."
