ID,triple1,triple2,question,answer,inferred triple,label,LLM output
27,C is a J.,J is disjoint with Z.,"Given the previous statements, is C not a Z?",Yes,C is not a Z.,True,Yes
152,D is a A.,A is disjoint with B.,"Given the previous statements, is D not a Q?",No,D could be a Q.,False,Yes
193,H is a L.,L is disjoint with E.,"Given the previous statements, is H not a W?",No,H could be a W.,False,Yes
203,I is a U.,U is disjoint with S.,"Given the previous statements, is I not a E?",No,I could be a E.,False,Yes
30,C is a D.,D is disjoint with Z.,"Given the previous statements, is C not a Z?",Yes,C is not a Z.,True,Yes
103,J is a I.,I is disjoint with K.,"Given the previous statements, is J not a K?",Yes,J is not a K.,True,Yes
7,A is a J.,J is disjoint with W.,"Given the previous statements, is A not a W?",Yes,A is not a W.,True,Yes
59,F is a R.,R is disjoint with S.,"Given the previous statements, is F not a S?",Yes,F is not a S.,True,Yes
41,D is a O.,O is disjoint with B.,"Given the previous statements, is D not a B?",Yes,D is not a B.,True,Yes
196,H is a C.,C is disjoint with J.,"Given the previous statements, is H not a F?",No,H could be a F.,False,Yes
28,C is a N.,N is disjoint with J.,"Given the previous statements, is C not a J?",Yes,C is not a J.,True,Yes
99,I is a O.,O is disjoint with P.,"Given the previous statements, is I not a P?",Yes,I is not a P.,True,Yes
114,A is a F.,F is disjoint with B.,"Given the previous statements, is A not a I?",No,A could be a I.,False,Yes
14,B is a K.,K is disjoint with X.,"Given the previous statements, is B not a X?",Yes,B is not a X.,True,Yes
73,G is a V.,V is disjoint with X.,"Given the previous statements, is G not a X?",Yes,G is not a X.,True,Yes
108,J is a L.,L is disjoint with U.,"Given the previous statements, is J not a U?",Yes,J is not a U.,True,Yes
118,A is a C.,C is disjoint with R.,"Given the previous statements, is A not a F?",No,A could be a F.,False,Yes
168,F is a O.,O is disjoint with Z.,"Given the previous statements, is F not a L?",No,F could be a L.,False,Yes
20,B is a D.,D is disjoint with L.,"Given the previous statements, is B not a L?",Yes,B is not a L.,True,Yes
42,D is a A.,A is disjoint with L.,"Given the previous statements, is D not a L?",Yes,D is not a L.,True,Yes
128,B is a A.,A is disjoint with M.,"Given the previous statements, is B not a E?",No,B could be a E.,False,Yes
192,H is a W.,W is disjoint with P.,"Given the previous statements, is H not a Y?",No,H could be a Y.,False,Yes
207,I is a L.,L is disjoint with Z.,"Given the previous statements, is I not a U?",No,I could be a U.,False,Yes
132,B is a U.,U is disjoint with V.,"Given the previous statements, is B not a R?",No,B could be a R.,False,Yes
32,C is a S.,S is disjoint with W.,"Given the previous statements, is C not a W?",Yes,C is not a W.,True,Yes
