ID,triple1,question,answer,inferred triple,label,LLM output
852,V is different from R.,"Given the previous statements, is R diferent from V?",Yes,R is different from V.,True,No
794,T is different from Y.,"Given the previous statements, is Y diferent from T?",Yes,Y is different from T.,True,Yes
454,L is different from U.,"Given the previous statements, is U diferent from L?",Yes,U is different from L.,True,No
874,V is different from I.,"Given the previous statements, is I diferent from V?",Yes,I is different from V.,True,No
1728,S is different from S.,"Given the previous statements, is Z different from S?",No,Z is not different from S.,False,Yes
437,K is different from E.,"Given the previous statements, is E diferent from K?",Yes,E is different from K.,True,No
1937,X is different from X.,"Given the previous statements, is V different from X?",No,V is not different from X.,False,Yes
595,O is different from I.,"Given the previous statements, is I diferent from O?",Yes,I is different from O.,True,No
1721,S is different from S.,"Given the previous statements, is T different from S?",No,T is not different from S.,False,Yes
318,H is different from K.,"Given the previous statements, is K diferent from H?",Yes,K is different from H.,True,Yes
458,L is different from D.,"Given the previous statements, is D diferent from L?",Yes,D is different from L.,True,No
1740,S is different from S.,"Given the previous statements, is P different from S?",No,P is not different from S.,False,No
1144,D is different from D.,"Given the previous statements, is A different from D?",No,A is not different from D.,False,Yes
108,C is different from K.,"Given the previous statements, is K diferent from C?",Yes,K is different from C.,True,Yes
372,J is different from W.,"Given the previous statements, is W diferent from J?",Yes,W is different from J.,True,Yes
949,X is different from I.,"Given the previous statements, is I diferent from X?",Yes,I is different from X.,True,No
980,Y is different from V.,"Given the previous statements, is V diferent from Y?",Yes,V is different from Y.,True,No
1156,D is different from D.,"Given the previous statements, is C different from D?",No,C is not different from D.,False,Yes
10,A is different from M.,"Given the previous statements, is M diferent from A?",Yes,M is different from A.,True,Yes
183,E is different from Z.,"Given the previous statements, is Z diferent from E?",Yes,Z is different from E.,True,Yes
742,S is different from Q.,"Given the previous statements, is Q diferent from S?",Yes,Q is different from S.,True,No
1246,G is different from G.,"Given the previous statements, is E different from G?",No,E is not different from G.,False,No
1719,R is different from R.,"Given the previous statements, is B different from R?",No,B is not different from R.,False,No
1816,U is different from U.,"Given the previous statements, is R different from U?",No,R is not different from U.,False,No
1762,T is different from T.,"Given the previous statements, is N different from T?",No,N is not different from T.,False,Yes
1507,M is different from M.,"Given the previous statements, is D different from M?",No,D is not different from M.,False,Yes
1557,N is different from N.,"Given the previous statements, is P different from N?",No,P is not different from N.,False,No
1933,X is different from X.,"Given the previous statements, is V different from X?",No,V is not different from X.,False,Yes
385,J is different from F.,"Given the previous statements, is F diferent from J?",Yes,F is different from J.,True,No
1988,Y is different from Y.,"Given the previous statements, is L different from Y?",No,L is not different from Y.,False,No
1390,J is different from J.,"Given the previous statements, is P different from J?",No,P is not different from J.,False,No
1884,W is different from W.,"Given the previous statements, is D different from W?",No,D is not different from W.,False,Yes
1289,H is different from H.,"Given the previous statements, is C different from H?",No,C is not different from H.,False,Yes
808,U is different from O.,"Given the previous statements, is O diferent from U?",Yes,O is different from U.,True,Yes
1428,K is different from K.,"Given the previous statements, is A different from K?",No,A is not different from K.,False,Yes
41,B is different from Q.,"Given the previous statements, is Q diferent from B?",Yes,Q is different from B.,True,No
809,U is different from V.,"Given the previous statements, is V diferent from U?",Yes,V is different from U.,True,Yes
1546,N is different from N.,"Given the previous statements, is U different from N?",No,U is not different from N.,False,Yes
1285,H is different from H.,"Given the previous statements, is U different from H?",No,U is not different from H.,False,Yes
1157,D is different from D.,"Given the previous statements, is G different from D?",No,G is not different from D.,False,Yes
557,N is different from T.,"Given the previous statements, is T diferent from N?",Yes,T is different from N.,True,Yes
555,N is different from E.,"Given the previous statements, is E diferent from N?",Yes,E is different from N.,True,Yes
1141,D is different from D.,"Given the previous statements, is L different from D?",No,L is not different from D.,False,No
1926,X is different from X.,"Given the previous statements, is D different from X?",No,D is not different from X.,False,Yes
249,G is different from W.,"Given the previous statements, is W diferent from G?",Yes,W is different from G.,True,Yes
1825,U is different from U.,"Given the previous statements, is V different from U?",No,V is not different from U.,False,Yes
194,E is different from X.,"Given the previous statements, is X diferent from E?",Yes,X is different from E.,True,No
1672,Q is different from Q.,"Given the previous statements, is U different from Q?",No,U is not different from Q.,False,No
1846,V is different from V.,"Given the previous statements, is G different from V?",No,G is not different from V.,False,No
1181,E is different from E.,"Given the previous statements, is F different from E?",No,F is not different from E.,False,No
512,M is different from B.,"Given the previous statements, is B diferent from M?",Yes,B is different from M.,True,No
386,J is different from E.,"Given the previous statements, is E diferent from J?",Yes,E is different from J.,True,Yes
955,X is different from D.,"Given the previous statements, is D diferent from X?",Yes,D is different from X.,True,No
20,A is different from Q.,"Given the previous statements, is Q diferent from A?",Yes,Q is different from A.,True,No
1427,K is different from K.,"Given the previous statements, is X different from K?",No,X is not different from K.,False,No
1071,B is different from B.,"Given the previous statements, is P different from B?",No,P is not different from B.,False,No
1750,S is different from S.,"Given the previous statements, is M different from S?",No,M is not different from S.,False,Yes
1902,W is different from W.,"Given the previous statements, is X different from W?",No,X is not different from W.,False,Yes
323,I is different from Y.,"Given the previous statements, is Y diferent from I?",Yes,Y is different from I.,True,No
1025,A is different from A.,"Given the previous statements, is X different from A?",No,X is not different from A.,False,Yes
1897,W is different from W.,"Given the previous statements, is Q different from W?",No,Q is not different from W.,False,No
274,G is different from L.,"Given the previous statements, is L diferent from G?",Yes,L is different from G.,True,No
648,Q is different from N.,"Given the previous statements, is N diferent from Q?",Yes,N is different from Q.,True,No
251,G is different from F.,"Given the previous statements, is F diferent from G?",Yes,F is different from G.,True,No
616,P is different from H.,"Given the previous statements, is H diferent from P?",Yes,H is different from P.,True,No
1059,B is different from B.,"Given the previous statements, is F different from B?",No,F is not different from B.,False,No
1241,G is different from G.,"Given the previous statements, is X different from G?",No,X is not different from G.,False,Yes
100,C is different from K.,"Given the previous statements, is K diferent from C?",Yes,K is different from C.,True,Yes
1945,X is different from X.,"Given the previous statements, is L different from X?",No,L is not different from X.,False,No
248,G is different from M.,"Given the previous statements, is M diferent from G?",Yes,M is different from G.,True,No
412,K is different from J.,"Given the previous statements, is J diferent from K?",Yes,J is different from K.,True,No
785,T is different from E.,"Given the previous statements, is E diferent from T?",Yes,E is different from T.,True,No
1263,G is different from G.,"Given the previous statements, is S different from G?",No,S is not different from G.,False,Yes
1101,C is different from C.,"Given the previous statements, is D different from C?",No,D is not different from C.,False,Yes
1633,P is different from P.,"Given the previous statements, is Y different from P?",No,Y is not different from P.,False,Yes
1291,H is different from H.,"Given the previous statements, is T different from H?",No,T is not different from H.,False,Yes
755,S is different from N.,"Given the previous statements, is N diferent from S?",Yes,N is different from S.,True,Yes
1634,P is different from P.,"Given the previous statements, is L different from P?",No,L is not different from P.,False,No
1392,J is different from J.,"Given the previous statements, is X different from J?",No,X is not different from J.,False,Yes
1090,C is different from C.,"Given the previous statements, is A different from C?",No,A is not different from C.,False,Yes
1808,U is different from U.,"Given the previous statements, is J different from U?",No,J is not different from U.,False,No
420,K is different from S.,"Given the previous statements, is S diferent from K?",Yes,S is different from K.,True,No
