ID,triple1,triple2,question,answer,inferred triple,label,LLM output
1501,Primary motor cortex isPartOfAnatomicalStructure Precentral gyrus.,isPartOfAnatomicalStructure has range Bone.,"Given the previous statements, is Precentral gyrus an AnatomicalStructure?",No,Precentral gyrus is not an AnatomicalStructure.,False,Given the previous statements
1877,Kali Prasad Pandey  Tenure  1 constituencyDistrict Gopalganj.,constituencyDistrict has range Beverage.,"Given the previous statements, is Gopalganj a PopulatedPlace?",No,Gopalganj is not a PopulatedPlace.,False,The answer to your
529,Cambridge Rindge and Latin School nobelLaureates Eric Allin Cornell.,nobelLaureates has range Person.,"Given the previous statements, is Eric Allin Cornell a Person?",Yes,Eric Allin Cornell is a Person.,True,The answer to your
1486,Plantar metatarsal veins drainsTo Plantar venous arch.,drainsTo has range Sport.,"Given the previous statements, is Plantar venous arch an AnatomicalStructure?",No,Plantar venous arch is not an AnatomicalStructure.,False,The first two are
1283,Cape Breton University chancellor Annette Verschuren.,chancellor has range Curler.,"Given the previous statements, is Annette Verschuren a Person?",No,Annette Verschuren is not a Person.,False,The first one is
1355,Cabbio neighboringMunicipality Caneggio.,neighboringMunicipality has range BaseballLeague.,"Given the previous statements, is Caneggio a PopulatedPlace?",No,Caneggio is not a PopulatedPlace.,False,The answer to your
1933,Cameo-Parkway Records distributingCompany Universal Music Group.,distributingCompany has range FootballMatch.,"Given the previous statements, is Universal Music Group a Company?",No,Universal Music Group is not a Company.,False,The answer to your
1741,Cameroon Air Force aircraftAttack Aermacchi MB-326.,aircraftAttack has range Game.,"Given the previous statements, is Aermacchi MB-326 a MeanOfTransportation?",No,Aermacchi MB-326 is not a MeanOfTransportation.,False,The first two questions
1370,Calvin Borel raceHorse Street Sense.,raceHorse has range SocietalEvent.,"Given the previous statements, is Street Sense a Horse?",No,Street Sense is not a Horse.,False,The firstRace
1104,"Cameron Grimes billed Burlington, North Carolina.",billed has range ClassicalMusicComposition.,"Given the previous statements, is Burlington, North Carolina a PopulatedPlace?",No,"Burlington, North Carolina is not a PopulatedPlace.",False,The first one is
868,"Cabanagem commander Joaquim Marques Lisboa, Marquis of Tamandaré.",commander has range Person.,"Given the previous statements, is Joaquim Marques Lisboa, Marquis of Tamandaré a Person?",Yes,"Joaquim Marques Lisboa, Marquis of Tamandaré is a Person.",True,The answer to your
1692,Car song stylisticOrigin Rhythm and blues.,stylisticOrigin has range MythologicalFigure.,"Given the previous statements, is Rhythm and blues a MusicGenre?",No,Rhythm and blues is not a MusicGenre.,False,The answer to your
904,Cable Bridge crosses Tapti River.,crosses has range River.,"Given the previous statements, is Tapti River a River?",Yes,Tapti River is a River.,True,The answer to the
1544,Cabrini High School patronSaint Frances Xavier Cabrini.,patronSaint has range TelevisionSeason.,"Given the previous statements, is Frances Xavier Cabrini a Person?",No,Frances Xavier Cabrini is not a Person.,False,The answer is no
737,"Cache County, Utah largestCity Logan, Utah.",largestCity has range PopulatedPlace.,"Given the previous statements, is Logan, Utah a PopulatedPlace?",Yes,"Logan, Utah is a PopulatedPlace.",True,The answer to your
1620,Quincy House sisterCollege Branford College.,sisterCollege has range Poet.,"Given the previous statements, is Branford College a College?",No,Branford College is not a College.,False,The answer to the
1586,Cabeça do Cachorro ethnicGroup Indigenous peoples of Brazil.,ethnicGroup has range MilitaryUnit.,"Given the previous statements, is Indigenous peoples of Brazil an EthnicGroup?",No,Indigenous peoples of Brazil is not an EthnicGroup.,False,The answer is no
124,"Cabra, County Down county County Down.",county has range PopulatedPlace.,"Given the previous statements, is County Down a PopulatedPlace?",Yes,County Down is a PopulatedPlace.,True,The answer to your
1226,Cadí Tunnel routeStartLocation Urús.,routeStartLocation has range Band.,"Given the previous statements, is Urús a Place?",No,Urús is not a Place.,False,The answer to your
522,Carlos Arias Navarro monarch Juan Carlos I of Spain.,monarch has range Person.,"Given the previous statements, is Juan Carlos I of Spain a Person?",Yes,Juan Carlos I of Spain is a Person.,True,The answer to the
527,Pulmonary pleurae nerve Phrenic nerve.,nerve has range Nerve.,"Given the previous statements, is Phrenic nerve a Nerve?",Yes,Phrenic nerve is a Nerve.,True,The firstDriverTeam
1499,Entorhinal cortex isPartOfAnatomicalStructure Temporal lobe.,isPartOfAnatomicalStructure has range AustralianRulesFootballPlayer.,"Given the previous statements, is Temporal lobe an AnatomicalStructure?",No,Temporal lobe is not an AnatomicalStructure.,False,The answer to the
86,Kamaladdin Pirmoazzen  Tenure  1 alongside Mansour Haghighatpour.,alongside has range Person.,"Given the previous statements, is Mansour Haghighatpour a Person?",Yes,Mansour Haghighatpour is a Person.,True,19
604,Cal Niday lastRace 1955 Indianapolis 500.,lastRace has range GrandPrix.,"Given the previous statements, is 1955 Indianapolis 500 a GrandPrix?",Yes,1955 Indianapolis 500 is a GrandPrix.,True,The answer to the
435,Anterior cardinal vein organSystem Cardiovascular system.,organSystem has range AnatomicalStructure.,"Given the previous statements, is Cardiovascular system an AnatomicalStructure?",Yes,Cardiovascular system is an AnatomicalStructure.,True,The answer to the
1502,Canarian Spanish languageRegulator Academia Canaria de la Lengua.,languageRegulator has range Writer.,"Given the previous statements, is Academia Canaria de la Lengua a Language?",No,Academia Canaria de la Lengua is not a Language.,False,The first two are
714,Blue Origin NS-16 crewMember Wally Funk.,crewMember has range Astronaut.,"Given the previous statements, is Wally Funk an Astronaut?",Yes,Wally Funk is an Astronaut.,True,The answer is no
63,Presbyterian Hospital Invitational Criterium recentWinner Jake Keough.,recentWinner has range Person.,"Given the previous statements, is Jake Keough a Person?",Yes,Jake Keough is a Person.,True,The answer to your
752,Carrier Strike Group 10 aircraftHelicopter SH-60 Seahawk.,aircraftHelicopter has range MeanOfTransportation.,"Given the previous statements, is SH-60 Seahawk a MeanOfTransportation?",Yes,SH-60 Seahawk is a MeanOfTransportation.,True,The answer to your
677,Progressive rock musicFusionGenre Progressive soul.,musicFusionGenre has range MusicGenre.,"Given the previous statements, is Progressive soul a MusicGenre?",Yes,Progressive soul is a MusicGenre.,True,The answer to your
181,Kang Hyounhwa  Tenure  1 minister Park Yang-woo.,minister has range Politician.,"Given the previous statements, is Park Yang-woo a Politician?",Yes,Park Yang-woo is a Politician.,True,The answer to your
353,Camil Domínguez nationalTeam Dominican Republic  women's national volleyball team.,nationalTeam has range SportsTeam.,"Given the previous statements, is Dominican Republic  women's national volleyball team a SportsTeam?",Yes,Dominican Republic  women's national volleyball team is a SportsTeam.,True,The answer is no
1670,Americana derivative Folk rock.,derivative has range OrganisationMember.,"Given the previous statements, is Folk rock a MusicGenre?",No,Folk rock is not a MusicGenre.,False,The first one is
1129,Caboloan currency Barter.,currency has range Olympics.,"Given the previous statements, is Barter a Currency?",No,Barter is not a Currency.,False,19
1780,"Cab album For Me, It's You.",album has range TopLevelDomain.,"Given the previous statements, is For Me, It's You an Album?",No,"For Me, It's You is not an Album.",False,Given
188,"Cabbage Branch mouthMountain Ansonville, North Carolina.",mouthMountain has range Mountain.,"Given the previous statements, is Ansonville, North Carolina a Mountain?",Yes,"Ansonville, North Carolina is a Mountain.",True,The answer is no
1983,1924 Italian Grand Prix firstDriverCountry Italy.,firstDriverCountry has range TableTennisPlayer.,"Given the previous statements, is Italy a Country?",No,Italy is not a Country.,False,The first statement is
1099,Camillus de Lellis beatifiedBy Pope Benedict XIV.,beatifiedBy has range HorseTrainer.,"Given the previous statements, is Pope Benedict XIV a Person?",No,Pope Benedict XIV is not a Person.,False,The answer to your
538,Camilo Osías otherParty KALIBAPI.,otherParty has range PoliticalParty.,"Given the previous statements, is KALIBAPI a PoliticalParty?",Yes,KALIBAPI is a PoliticalParty.,True,The answer to your
678,Cabeça do Cachorro officialLanguage Nheengatu language.,officialLanguage has range Language.,"Given the previous statements, is Nheengatu language a Language?",Yes,Nheengatu language is a Language.,True,Epiblast is
403,Cambodia's Got Talent showJudge Preap Sovath.,showJudge has range Person.,"Given the previous statements, is Preap Sovath a Person?",Yes,Preap Sovath is a Person.,True,The answer to your
967,Caconeura ramburi family Platycnemididae.,family has range Species.,"Given the previous statements, is Platycnemididae a Species?",Yes,Platycnemididae is a Species.,True,Given the previous statements
1862,Cabell Midland High School colour Silver.,colour has range Organisation.,"Given the previous statements, is Silver a Colour?",No,Silver is not a Colour.,False,The first one is
1020,Quendorf jointCommunity Schüttorf.,jointCommunity has range TelevisionHost.,"Given the previous statements, is Schüttorf a PopulatedPlace?",No,Schüttorf is not a PopulatedPlace.,False,The answer to your
1759,Rotary Wing Test and Evaluation Squadron aircraftHelicopterMultirole Bell 412.,aircraftHelicopterMultirole has range LaunchPad.,"Given the previous statements, is Bell 412 a MeanOfTransportation?",No,Bell 412 is not a MeanOfTransportation.,False,The answer is no
1580,Cadillac CT6 battery KWh.,battery has range NCAATeamSeason.,"Given the previous statements, is KWh a Battery?",No,KWh is not a Battery.,False,Given
68,Saskatchewan Highway 155 subsequentInfrastructure Saskatchewan Highway 165.,subsequentInfrastructure has range Infrastructure.,"Given the previous statements, is Saskatchewan Highway 165 an Infrastructure?",Yes,Saskatchewan Highway 165 is an Infrastructure.,True,The answer to the
695,Cadoc veneratedIn Roman Catholic Church.,veneratedIn has range Organisation.,"Given the previous statements, is Roman Catholic Church an Organisation?",Yes,Roman Catholic Church is an Organisation.,True,The answer to your
1128,Caboloan currency Silver.,currency has range Non-ProfitOrganisation.,"Given the previous statements, is Silver a Currency?",No,Silver is not a Currency.,False,The first two questions
38,Lin Chuan  Tenure  1 vicePrimeMinister Lin Hsi-yao.,vicePrimeMinister has range Person.,"Given the previous statements, is Lin Hsi-yao a Person?",Yes,Lin Hsi-yao is a Person.,True,The first one is
1078,Canan Dağdeviren academicAdvisor Robert S. Langer.,academicAdvisor has range SpaceMission.,"Given the previous statements, is Robert S. Langer a Person?",No,Robert S. Langer is not a Person.,False,The first two are
1001,Galleria Giorgio Franchetti alla Ca' d'Oro location Ca' d'Oro.,location has range Year.,"Given the previous statements, is Ca' d'Oro a Place?",No,Ca' d'Oro is not a Place.,False,Given
128,Caboloan currency Silver.,currency has range Currency.,"Given the previous statements, is Silver a Currency?",Yes,Silver is a Currency.,True,The first two are
1498,Sciatic nerve innervates Posterior compartment of thigh.,innervates has range Album.,"Given the previous statements, is Posterior compartment of thigh an AnatomicalStructure?",No,Posterior compartment of thigh is not an AnatomicalStructure.,False,Given
439,Royal Rumble brand Raw.,brand has range TelevisionShow.,"Given the previous statements, is Raw a TelevisionShow?",Yes,Raw is a TelevisionShow.,True,The answer to the
1154,Cadwallader C. Washburn father Israel Washburn Sr..,father has range MusicFestival.,"Given the previous statements, is Israel Washburn Sr. a Person?",No,Israel Washburn Sr. is not a Person.,False,The first statement is
1411,Pre-Columbian Gold Museum curator Central Bank of Costa Rica.,curator has range Fish.,"Given the previous statements, is Central Bank of Costa Rica a Person?",No,Central Bank of Costa Rica is not a Person.,False,The answer to your
1606,Carl Forberg lastRace 1952 Indianapolis 500.,lastRace has range OlympicEvent.,"Given the previous statements, is 1952 Indianapolis 500 a GrandPrix?",No,1952 Indianapolis 500 is not a GrandPrix.,False,The answer to your
952,Cain and Abel endingTheme Give Me Love.,endingTheme has range Work.,"Given the previous statements, is Give Me Love a Work?",Yes,Give Me Love is a Work.,True,The firstWinner
1792,Cabbage associatedBand John Robb.,associatedBand has range ClubMoss.,"Given the previous statements, is John Robb a Band?",No,John Robb is not a Band.,False,The answer to the
1566,Stylomastoid artery supplies Semicircular canals.,supplies has range CricketLeague.,"Given the previous statements, is Semicircular canals an AnatomicalStructure?",No,Semicircular canals is not an AnatomicalStructure.,False,The first one is
348,Calais mayor Natacha Bouchart.,mayor has range Mayor.,"Given the previous statements, is Natacha Bouchart a Mayor?",Yes,Natacha Bouchart is a Mayor.,True,The lieutenancy
569,Prostate vein Pudendal plexus.,vein has range Vein.,"Given the previous statements, is Pudendal plexus a Vein?",Yes,Pudendal plexus is a Vein.,True,The answer to your
825,Cajun Classic Open Invitational champion Ron Cerrudo.,champion has range Athlete.,"Given the previous statements, is Ron Cerrudo an Athlete?",Yes,Ron Cerrudo is an Athlete.,True,The answer is no
1817,Cadena Súper broadcastNetwork Cadena Super.,broadcastNetwork has range Reptile.,"Given the previous statements, is Cadena Super a BroadcastNetwork?",No,Cadena Super is not a BroadcastNetwork.,False,The answer to the
1836,2007 US Open championInMixedDouble Victoria Azarenka.,championInMixedDouble has range Language.,"Given the previous statements, is Victoria Azarenka an Athlete?",No,Victoria Azarenka is not an Athlete.,False,The answer to the
369,Baylor College of Medicine provost Alicia D. Monroe.,provost has range Person.,"Given the previous statements, is Alicia D. Monroe a Person?",Yes,Alicia D. Monroe is a Person.,True,The following is a
832,1947 NCAA Tennis Championships championInDoubleMale Sam Match.,championInDoubleMale has range Athlete.,"Given the previous statements, is Sam Match an Athlete?",Yes,Sam Match is an Athlete.,True,The answer is no
17,Cadillac AOC growingGrape Sauvignon blanc.,growingGrape has range Grape.,"Given the previous statements, is Sauvignon blanc a Grape?",Yes,Sauvignon blanc is a Grape.,True,The firstDriver and
680,Cambodia officialLanguage French language.,officialLanguage has range Language.,"Given the previous statements, is French language a Language?",Yes,French language is a Language.,True,The answer to the
534,"College of Engineering, Kottarakkara officerInCharge Oommen Chandy Ministry Term 2.",officerInCharge has range Person.,"Given the previous statements, is Oommen Chandy Ministry Term 2 a Person?",Yes,Oommen Chandy Ministry Term 2 is a Person.,True,The answer is no
255,Cain Velasquez trainer Javier Mendez.,trainer has range Person.,"Given the previous statements, is Javier Mendez a Person?",Yes,Javier Mendez is a Person.,True,The answer to the
1510,Cairnbaan lieutenancyArea Argyll and Bute.,lieutenancyArea has range Novel.,"Given the previous statements, is Argyll and Bute a PopulatedPlace?",No,Argyll and Bute is not a PopulatedPlace.,False,CH-47
1592,Caitlin Yankowskas formerChoreographer Dalilah Sappenfield.,formerChoreographer has range TennisPlayer.,"Given the previous statements, is Dalilah Sappenfield a Person?",No,Dalilah Sappenfield is not a Person.,False,The answer to your
477,Cabinet Secretariat childOrganisation Research and Analysis Wing.,childOrganisation has range Organisation.,"Given the previous statements, is Research and Analysis Wing an Organisation?",Yes,Research and Analysis Wing is an Organisation.,True,The answer to the
428,Russel Norman  Tenure  1 viceLeader Jeanette Fitzsimons.,viceLeader has range Person.,"Given the previous statements, is Jeanette Fitzsimons a Person?",Yes,Jeanette Fitzsimons is a Person.,True,The firstWin
1313,Caitlin Fields formerPartner Max Settlage.,formerPartner has range LawFirm.,"Given the previous statements, is Max Settlage a Person?",No,Max Settlage is not a Person.,False,The answer to the
1003,Football Federation of the 3rd Department Cordillera location Caacupé.,location has range OlympicEvent.,"Given the previous statements, is Caacupé a Place?",No,Caacupé is not a Place.,False,The first one is
1874,Cabo composer Diego Amozurrutia.,composer has range Noble.,"Given the previous statements, is Diego Amozurrutia a Person?",No,Diego Amozurrutia is not a Person.,False,The answer is no
872,Cabaret Cruise company BBC Television.,company has range Organisation.,"Given the previous statements, is BBC Television an Organisation?",Yes,BBC Television is an Organisation.,True,The answer to your
334,Caltanissetta leaderName Roberto Gambino.,leaderName has range Person.,"Given the previous statements, is Roberto Gambino a Person?",Yes,Roberto Gambino is a Person.,True,The answer to your
1070,Savar Cantonment Public School and College superintendent Bangladesh Army.,superintendent has range HollywoodCartoon.,"Given the previous statements, is Bangladesh Army a Person?",No,Bangladesh Army is not a Person.,False,The answer is no
1025,Canarian People's Union spokesperson Fernando Sagaseta.,spokesperson has range MotorcycleRacingLeague.,"Given the previous statements, is Fernando Sagaseta a Person?",No,Fernando Sagaseta is not a Person.,False,The answer to your
1938,Capital Artists distributingLabel Media Asia Entertainment Group.,distributingLabel has range Project.,"Given the previous statements, is Media Asia Entertainment Group a RecordLabel?",No,Media Asia Entertainment Group is not a RecordLabel.,False,The answer to your
794,Cabbage associatedBand James Skelly.,associatedBand has range Band.,"Given the previous statements, is James Skelly a Band?",Yes,James Skelly is a Band.,True,The firstPopular
550,Cadet College Ormara principal Pakistan Navy.,principal has range Person.,"Given the previous statements, is Pakistan Navy a Person?",Yes,Pakistan Navy is a Person.,True,The answer to the
1045,Keila JK clubsRecordGoalscorer Timo Pikpoom.,clubsRecordGoalscorer has range YearInSpaceflight.,"Given the previous statements, is Timo Pikpoom a Person?",No,Timo Pikpoom is not a Person.,False,The first statement is
1433,Primitive ventricle organSystem Cardiovascular system.,organSystem has range PoliticalParty.,"Given the previous statements, is Cardiovascular system an AnatomicalStructure?",No,Cardiovascular system is not an AnatomicalStructure.,False,The first one is
1770,Royal Canadian Air Force aircraftPatrol CP-140 Aurora.,aircraftPatrol has range Company.,"Given the previous statements, is CP-140 Aurora a MeanOfTransportation?",No,CP-140 Aurora is not a MeanOfTransportation.,False,The answer is no
379,Cain Dingle televisionSeries Emmerdale.,televisionSeries has range TelevisionShow.,"Given the previous statements, is Emmerdale a TelevisionShow?",Yes,Emmerdale is a TelevisionShow.,True,The answer to your
1821,Castle of Cardona chain Paradores.,chain has range FigureSkater.,"Given the previous statements, is Paradores a Company?",No,Paradores is not a Company.,False,The answer to the
855,2009 Adelaide Film Festival closingFilm Easy Virtue.,closingFilm has range Film.,"Given the previous statements, is Easy Virtue a Film?",Yes,Easy Virtue is a Film.,True,The answer to the
1044,Al-Baqa'a SC clubsRecordGoalscorer Mohammad Abdel-Haleem.,clubsRecordGoalscorer has range Locomotive.,"Given the previous statements, is Mohammad Abdel-Haleem a Person?",No,Mohammad Abdel-Haleem is not a Person.,False,The answer to your
560,Cadoneghe saint St. Andrew.,saint has range Saint.,"Given the previous statements, is St. Andrew a Saint?",Yes,St. Andrew is a Saint.,True,The answer to the
1605,Carel Godin de Beaufort lastRace 1964 German Grand Prix.,lastRace has range SportsTeam.,"Given the previous statements, is 1964 German Grand Prix a GrandPrix?",No,1964 German Grand Prix is not a GrandPrix.,False,I think you are
156,Calvin Hultman father Oscar Hultman.,father has range Person.,"Given the previous statements, is Oscar Hultman a Person?",Yes,Oscar Hultman is a Person.,True,The answer is no
30,Liam Cosgrave  Tenure  4 taoiseach John A. Costello.,taoiseach has range Person.,"Given the previous statements, is John A. Costello a Person?",Yes,John A. Costello is a Person.,True,The answer is no
1939,Ca-bau-kan distributor Kalyana Shira Film.,distributor has range Enzyme.,"Given the previous statements, is Kalyana Shira Film an Organisation?",No,Kalyana Shira Film is not an Organisation.,False,The canonical place of
