ID,triple1,question,answer,inferred triple,label,LLM output
1936,X is different from X.,"Given the previous statements, is I different from X?",No,I is not different from X.,False,Yes
1990,Y is different from Y.,"Given the previous statements, is C different from Y?",No,C is not different from Y.,False,Yes
1325,I is different from I.,"Given the previous statements, is H different from I?",No,H is not different from I.,False,Yes
1882,W is different from W.,"Given the previous statements, is Y different from W?",No,Y is not different from W.,False,Yes
1042,B is different from B.,"Given the previous statements, is F different from B?",No,F is not different from B.,False,No
1250,G is different from G.,"Given the previous statements, is E different from G?",No,E is not different from G.,False,Yes
190,E is different from A.,"Given the previous statements, is A diferent from E?",Yes,A is different from E.,True,Yes
207,F is different from G.,"Given the previous statements, is G diferent from F?",Yes,G is different from F.,True,Yes
1127,D is different from D.,"Given the previous statements, is Q different from D?",No,Q is not different from D.,False,Yes
101,C is different from A.,"Given the previous statements, is A diferent from C?",Yes,A is different from C.,True,Yes
161,E is different from Q.,"Given the previous statements, is Q diferent from E?",Yes,Q is different from E.,True,Yes
611,P is different from I.,"Given the previous statements, is I diferent from P?",Yes,I is different from P.,True,Yes
1535,N is different from N.,"Given the previous statements, is G different from N?",No,G is not different from N.,False,Yes
1587,O is different from O.,"Given the previous statements, is I different from O?",No,I is not different from O.,False,Yes
1815,U is different from U.,"Given the previous statements, is B different from U?",No,B is not different from U.,False,Yes
1862,V is different from V.,"Given the previous statements, is L different from V?",No,L is not different from V.,False,Yes
1823,U is different from U.,"Given the previous statements, is X different from U?",No,X is not different from U.,False,Yes
1017,A is different from A.,"Given the previous statements, is C different from A?",No,C is not different from A.,False,Yes
31,A is different from W.,"Given the previous statements, is W diferent from A?",Yes,W is different from A.,True,Yes
1453,L is different from L.,"Given the previous statements, is G different from L?",No,G is not different from L.,False,Yes
598,O is different from S.,"Given the previous statements, is S diferent from O?",Yes,S is different from O.,True,Yes
133,D is different from S.,"Given the previous statements, is S diferent from D?",Yes,S is different from D.,True,Yes
1320,H is different from H.,"Given the previous statements, is D different from H?",No,D is not different from H.,False,Yes
1466,L is different from L.,"Given the previous statements, is K different from L?",No,K is not different from L.,False,Yes
715,R is different from D.,"Given the previous statements, is D diferent from R?",Yes,D is different from R.,True,Yes
708,R is different from B.,"Given the previous statements, is B diferent from R?",Yes,B is different from R.,True,Yes
1399,J is different from J.,"Given the previous statements, is W different from J?",No,W is not different from J.,False,Yes
1438,K is different from K.,"Given the previous statements, is Z different from K?",No,Z is not different from K.,False,Yes
1480,L is different from L.,"Given the previous statements, is V different from L?",No,V is not different from L.,False,Yes
1499,M is different from M.,"Given the previous statements, is K different from M?",No,K is not different from M.,False,Yes
217,F is different from E.,"Given the previous statements, is E diferent from F?",Yes,E is different from F.,True,Yes
1028,A is different from A.,"Given the previous statements, is V different from A?",No,V is not different from A.,False,Yes
142,D is different from E.,"Given the previous statements, is E diferent from D?",Yes,E is different from D.,True,Yes
466,L is different from T.,"Given the previous statements, is T diferent from L?",Yes,T is different from L.,True,Yes
1952,X is different from X.,"Given the previous statements, is C different from X?",No,C is not different from X.,False,Yes
485,M is different from D.,"Given the previous statements, is D diferent from M?",Yes,D is different from M.,True,Yes
264,G is different from E.,"Given the previous statements, is E diferent from G?",Yes,E is different from G.,True,Yes
301,H is different from E.,"Given the previous statements, is E diferent from H?",Yes,E is different from H.,True,Yes
1558,N is different from N.,"Given the previous statements, is W different from N?",No,W is not different from N.,False,Yes
259,G is different from W.,"Given the previous statements, is W diferent from G?",Yes,W is different from G.,True,Yes
754,S is different from N.,"Given the previous statements, is N diferent from S?",Yes,N is different from S.,True,Yes
568,O is different from A.,"Given the previous statements, is A diferent from O?",Yes,A is different from O.,True,Yes
1932,X is different from X.,"Given the previous statements, is W different from X?",No,W is not different from X.,False,Yes
1045,B is different from B.,"Given the previous statements, is P different from B?",No,P is not different from B.,False,Yes
1029,A is different from A.,"Given the previous statements, is I different from A?",No,I is not different from A.,False,Yes
377,J is different from D.,"Given the previous statements, is D diferent from J?",Yes,D is different from J.,True,Yes
1048,B is different from B.,"Given the previous statements, is P different from B?",No,P is not different from B.,False,Yes
533,N is different from K.,"Given the previous statements, is K diferent from N?",Yes,K is different from N.,True,Yes
1574,O is different from O.,"Given the previous statements, is F different from O?",No,F is not different from O.,False,Yes
597,O is different from Y.,"Given the previous statements, is Y diferent from O?",Yes,Y is different from O.,True,Yes
1359,I is different from I.,"Given the previous statements, is K different from I?",No,K is not different from I.,False,No
153,D is different from M.,"Given the previous statements, is M diferent from D?",Yes,M is different from D.,True,Yes
1479,L is different from L.,"Given the previous statements, is I different from L?",No,I is not different from L.,False,Yes
1995,Y is different from Y.,"Given the previous statements, is T different from Y?",No,T is not different from Y.,False,Yes
1393,J is different from J.,"Given the previous statements, is N different from J?",No,N is not different from J.,False,Yes
1880,V is different from V.,"Given the previous statements, is Y different from V?",No,Y is not different from V.,False,Yes
1013,A is different from A.,"Given the previous statements, is G different from A?",No,G is not different from A.,False,Yes
593,O is different from A.,"Given the previous statements, is A diferent from O?",Yes,A is different from O.,True,Yes
843,V is different from R.,"Given the previous statements, is R diferent from V?",Yes,R is different from V.,True,Yes
1967,Y is different from Y.,"Given the previous statements, is W different from Y?",No,W is not different from Y.,False,Yes
450,L is different from D.,"Given the previous statements, is D diferent from L?",Yes,D is different from L.,True,No
791,T is different from A.,"Given the previous statements, is A diferent from T?",Yes,A is different from T.,True,Yes
760,S is different from A.,"Given the previous statements, is A diferent from S?",Yes,A is different from S.,True,Yes
1329,I is different from I.,"Given the previous statements, is G different from I?",No,G is not different from I.,False,Yes
1871,V is different from V.,"Given the previous statements, is Y different from V?",No,Y is not different from V.,False,Yes
1642,Q is different from Q.,"Given the previous statements, is P different from Q?",No,P is not different from Q.,False,Yes
1205,F is different from F.,"Given the previous statements, is U different from F?",No,U is not different from F.,False,Yes
1336,I is different from I.,"Given the previous statements, is S different from I?",No,S is not different from I.,False,Yes
1337,I is different from I.,"Given the previous statements, is A different from I?",No,A is not different from I.,False,Yes
614,P is different from F.,"Given the previous statements, is F diferent from P?",Yes,F is different from P.,True,Yes
1409,K is different from K.,"Given the previous statements, is M different from K?",No,M is not different from K.,False,No
1449,L is different from L.,"Given the previous statements, is O different from L?",No,O is not different from L.,False,Yes
960,X is different from R.,"Given the previous statements, is R diferent from X?",Yes,R is different from X.,True,Yes
230,F is different from P.,"Given the previous statements, is P diferent from F?",Yes,P is different from F.,True,Yes
23,A is different from J.,"Given the previous statements, is J diferent from A?",Yes,J is different from A.,True,Yes
323,I is different from Y.,"Given the previous statements, is Y diferent from I?",Yes,Y is different from I.,True,Yes
1268,G is different from G.,"Given the previous statements, is R different from G?",No,R is not different from G.,False,Yes
1926,X is different from X.,"Given the previous statements, is D different from X?",No,D is not different from X.,False,Yes
1105,C is different from C.,"Given the previous statements, is Q different from C?",No,Q is not different from C.,False,Yes
