ID,triple1,triple2,triple3,question,answer,inferred triple,label,LLM output
421,E Y 42.,Q Y 42.,Y is a functional property.,"Given the previous statements, is Q the same as E?",Yes,Q is the same as E.,True,Yes
976,J I 11.,K I 11.,I is a functional property.,"Given the previous statements, is K the same as J?",Yes,K is the same as J.,True,Yes
283,C Y 94.,M Y 94.,Y is a functional property.,"Given the previous statements, is M the same as C?",Yes,M is the same as C.,True,Yes
1656,G H 17.,E H 28.,H is a functional property.,"Given the previous statements, is E the same as G?",No,E is not the same as G.,False,Yes
1918,J G 98.,O G 59.,G is a functional property.,"Given the previous statements, is O the same as J?",No,O is not the same as J.,False,No
148,B S 68.,K S 68.,S is a functional property.,"Given the previous statements, is K the same as B?",Yes,K is the same as B.,True,No
1600,F W 44.,Q W 92.,W is a functional property.,"Given the previous statements, is Q the same as F?",No,Q is not the same as F.,False,No
1730,H B 42.,E B 36.,B is a functional property.,"Given the previous statements, is E the same as H?",No,E is not the same as H.,False,Yes
1229,C S 58.,H S 63.,S is a functional property.,"Given the previous statements, is H the same as C?",No,H is not the same as C.,False,No
340,D X 53.,K X 53.,X is a functional property.,"Given the previous statements, is K the same as D?",Yes,K is the same as D.,True,Yes
985,J S 25.,K S 25.,S is a functional property.,"Given the previous statements, is K the same as J?",Yes,K is the same as J.,True,No
1364,D Y 64.,X Y 64.,Y is a functional property.,"Given the previous statements, is X the same as D?",No,X is not the same as D.,False,No
1379,D S 47.,F S 38.,S is a functional property.,"Given the previous statements, is F the same as D?",No,F is not the same as D.,False,No
1513,F P 32.,R P 8.,P is a functional property.,"Given the previous statements, is R the same as F?",No,R is not the same as F.,False,No
1387,D U 15.,S U 39.,U is a functional property.,"Given the previous statements, is S the same as D?",No,S is not the same as D.,False,Yes
38,A C 2.,B C 2.,C is a functional property.,"Given the previous statements, is B the same as A?",Yes,B is the same as A.,True,Yes
544,F G 28.,L G 28.,G is a functional property.,"Given the previous statements, is L the same as F?",Yes,L is the same as F.,True,No
1948,J S 43.,U S 38.,S is a functional property.,"Given the previous statements, is U the same as J?",No,U is not the same as J.,False,No
1935,J W 58.,V W 48.,W is a functional property.,"Given the previous statements, is V the same as J?",No,V is not the same as J.,False,No
1337,D P 4.,W P 26.,P is a functional property.,"Given the previous statements, is W the same as D?",No,W is not the same as D.,False,No
796,H K 84.,N K 84.,K is a functional property.,"Given the previous statements, is N the same as H?",Yes,N is the same as H.,True,No
1276,C E 4.,W E 45.,E is a functional property.,"Given the previous statements, is W the same as C?",No,W is not the same as C.,False,No
1827,I M 25.,D M 54.,M is a functional property.,"Given the previous statements, is D the same as I?",No,D is not the same as I.,False,No
1239,C R 45.,I R 77.,R is a functional property.,"Given the previous statements, is I the same as C?",No,I is not the same as C.,False,No
654,G Z 62.,A Z 62.,Z is a functional property.,"Given the previous statements, is A the same as G?",Yes,A is the same as G.,True,Yes
1196,B V 84.,A V 33.,V is a functional property.,"Given the previous statements, is A the same as B?",No,A is not the same as B.,False,No
572,F V 96.,A V 96.,V is a functional property.,"Given the previous statements, is A the same as F?",Yes,A is the same as F.,True,Yes
464,E B 17.,C B 17.,B is a functional property.,"Given the previous statements, is C the same as E?",Yes,C is the same as E.,True,Yes
1912,J C 74.,A C 97.,C is a functional property.,"Given the previous statements, is A the same as J?",No,A is not the same as J.,False,No
